,time,open,high,low,close,EMA90,EMA75,EMA60,EMA45,EMA,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Max_AFDD,Max_AFDDBar,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,ac,accum_winrate,side,result,profit,prob,results
0,2015-03-09T12:00:00+07:00,120.946,121.072,120.723,120.736,119.5127278,119.6209882,119.749104,119.9053788,120.1085427,120.181752,3,2,118.531,43,116.873,121.284,4,188,120.736,4,121.284,Sell,1,188,,,Sell,loss,-2.2049999999999983,-1.8602728400165343,Sellloss
1,2015-04-06T04:00:00+07:00,118.845,119.062,118.798,119.03,119.8348141,119.7890491,119.7211975,119.6358247,119.5449882,119.9365011,3,1,120.736,5,122.024,118.33,40,118,119.03,40,118.33,Buy,2,118,,,Buy,loss,-1.706000000000003,-1.4130002650410838,Buyloss
2,2015-05-21T08:00:00+07:00,121.074,121.209,121.026,121.045,119.9166796,119.9689504,120.0425623,120.1517831,120.3345225,120.912,3,2,119.03,111,118.496,121.485,2,200,121.045,2,121.485,Sell,3,200,,,Sell,loss,-2.0150000000000006,-1.6928505418801987,Sellloss
3,2015-07-08T00:00:00+07:00,122.275,122.652,122.215,122.522,123.0247193,122.9885741,122.9281176,122.8460066,122.7457753,122.81866,3,1,121.045,69,125.856,121.842,11,202,122.522,195,120.64,Buy,4,202,,,Buy,win,1.4770000000000039,1.2202073608988424,Buywin
4,2015-07-20T08:00:00+07:00,124.106,124.194,124.103,124.141,123.1820496,123.228711,123.3055515,123.4399424,123.6666422,123.7155029,3,2,122.522,7,120.413,124.231,7,51,124.141,7,124.231,Sell,5,51,,,Sell,loss,-1.6189999999999998,-1.3213953412448374,Sellloss
5,2015-08-24T16:00:00+07:00,120.685,120.715,119.54,119.639,123.7439637,123.6728277,123.5486819,123.333122,122.9425163,121.8773788,3,1,124.141,102,125.28,119.54,51,152,119.639,152,119.54,Buy,6,152,,,Buy,loss,-4.5020000000000095,-3.6265214554418037,Buyloss
6,2015-10-30T08:00:00+07:00,120.899,121.486,120.293,121.313,120.2957524,120.3499915,120.4303365,120.5432513,120.6898997,120.1524687,3,2,119.639,2,116.082,121.738,266,293,121.313,266,121.738,Sell,7,293,,,Sell,loss,-1.6740000000000066,-1.3992092879412288,Sellloss
7,2015-12-23T09:00:00+07:00,121.004,121.048,120.977,121.018,121.8560355,121.7733981,121.6679222,121.5419714,121.397038,121.6693925,3,1,121.313,82,123.756,120.343,39,228,121.018,222,120.256,Buy,8,228,,,Buy,loss,-0.2950000000000017,-0.24317261958734984,Buyloss
8,2016-02-01T05:00:00+07:00,121.324,121.487,121.102,121.277,118.6560558,118.6568313,118.7282369,118.909787,119.2654749,119.282624,3,2,121.018,110,115.97,121.688,2,156,121.277,2,121.688,Sell,9,156,,,Sell,loss,-0.25900000000000034,-0.21401774942570556,Sellloss
9,2016-02-10T21:00:00+07:00,114.851,115.197,113.726,114.144,117.5795057,117.3849989,117.1281493,116.7464373,116.1316964,115.6157072,3,1,121.277,0,121.487,113.726,47,46,114.144,46,113.726,Buy,10,46,,,Buy,loss,-7.132999999999996,-5.881576885971779,Buyloss
10,2016-04-26T00:00:00+07:00,111.229,111.336,111.055,111.184,110.0155666,109.9385428,109.9169971,109.9958948,110.2477918,110.776981,3,2,114.144,256,107.63,111.88,5,320,111.184,319,115.197,Sell,11,320,,,Sell,win,2.960000000000008,2.593215587328294,Sellwin
11,2016-06-09T20:00:00+07:00,106.631,106.639,106.387,106.581,108.4928933,108.3549065,108.1558381,107.8606169,107.4380662,107.4100291,3,1,111.184,14,111.882,105.549,164,197,106.581,164,105.549,Buy,12,197,,,Buy,loss,-4.602999999999994,-4.139984170384223,Buyloss
12,2016-07-19T20:00:00+07:00,106.446,106.534,105.952,106.099,104.0583777,104.1346669,104.3195984,104.6549824,105.171378,105.119049,3,2,106.581,64,98.787,106.812,106,169,106.099,165,107.261,Sell,13,169,,,Sell,win,0.4819999999999993,0.4522382038074322,Sellwin
13,2016-08-04T00:00:00+07:00,101.339,101.342,101.091,101.231,103.7189342,103.5824225,103.371244,103.0191202,102.4401568,101.571,3,1,106.099,9,107.494,100.678,6,67,101.231,6,100.678,Buy,14,67,,,Buy,loss,-4.868000000000009,-4.588167654737565,Buyloss
14,2016-09-05T12:00:00+07:00,103.578,103.578,103.279,103.375,102.1063316,102.1933685,102.3563368,102.6244092,103.0158346,102.888447,3,2,101.231,53,99.539,104.32,4,136,103.375,4,104.32,Sell,15,136,,,Sell,loss,-2.1440000000000055,-2.1179283025950606,Sellloss
15,2016-09-23T12:00:00+07:00,101.103,101.113,100.768,100.966,101.8015202,101.7466558,101.6622978,101.5266745,101.3135556,101.3574821,3,1,103.375,5,103.807,100.099,8,84,100.966,8,100.099,Buy,16,84,,,Buy,loss,-2.409000000000006,-2.3303506650544192,Buyloss
16,2016-10-11T12:00:00+07:00,103.928,104.072,103.67,103.894,102.3810985,102.4934378,102.6537649,102.8838031,103.1963919,103.0168931,3,2,100.966,11,100.083,104.163,16,73,103.894,16,104.163,Sell,17,73,,,Sell,loss,-2.9280000000000115,-2.8999861339460926,Sellloss
17,2017-01-13T09:00:00+07:00,114.95,115.183,114.816,114.979,116.1372366,116.1372991,116.0546747,115.8701644,115.559342,116.2127819,3,1,103.894,283,118.662,113.757,5,395,114.979,270,101.19,Buy,18,395,,,Buy,win,11.084999999999994,10.669528557953292,Buywin
18,2017-03-14T16:00:00+07:00,115.056,115.138,114.796,114.865,114.0847659,114.1815707,114.3099931,114.4731518,114.6648752,114.49526,3,2,114.979,102,111.594,115.504,12,255,114.865,227,115.624,Sell,19,255,,,Sell,win,0.11400000000000432,0.09914854016820839,Sellwin
