,time,open,high,low,close,EMA90,EMA,EMA60,EMA45,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
0,2015-01-28T21:00:00+07:00,1.51974,1.52017,1.51603,1.51766,1.514220346,1.513242673,1.512472708,1.512023879,1.512003701,1.514001346,3,2,1.5015,3,1.49512,22,1.51766,16,1.52237,Sell,1,22,Sell,loss,-0.016159999999999952,-1.0762570762570731,Sellloss
1,2015-01-30T21:00:00+07:00,1.50564,1.50631,1.49888,1.50195,1.512997091,1.512063964,1.511279973,1.510656613,1.510042379,1.511930206,3,1,1.51766,1,1.52023,12,1.50195,0,1.49888,Buy,2,12,Buy,loss,-0.015710000000000113,-1.0351462119315336,Buyloss
2,2015-02-05T01:00:00+07:00,1.52015,1.52335,1.51646,1.51789,1.512267766,1.511651605,1.511264901,1.511204358,1.511700501,1.507604826,3,2,1.50195,11,1.49881,20,1.51789,19,1.52509,Sell,3,20,Sell,loss,-0.015940000000000065,-1.0612869935750235,Sellloss
3,2015-03-03T21:00:00+07:00,1.53505,1.5394,1.53505,1.5382,1.538026294,1.539261889,1.540393085,1.54115303,1.541068984,1.539918139,3,1,1.51789,92,1.55524,113,1.5382,0,1.51646,Buy,4,113,Buy,win,0.02031000000000005,1.3380416235695638,Buywin
4,2015-04-06T20:00:00+07:00,1.4949,1.49814,1.49342,1.49437,1.489197011,1.487881736,1.486919597,1.486542938,1.487033104,1.484978719,3,2,1.5382,66,1.46346,145,1.49437,1,1.5394,Sell,5,145,Sell,win,0.043830000000000036,2.8494344038486568,Sellwin
5,2015-04-10T12:00:00+07:00,1.47136,1.47202,1.46232,1.46382,1.48630028,1.485064043,1.483983675,1.482975627,1.481556986,1.49082461,3,1,1.49437,0,1.49814,22,1.46382,0,1.46232,Buy,6,22,Buy,loss,-0.030550000000000077,-2.044339755214577,Buyloss
6,2015-04-17T00:00:00+07:00,1.4921,1.49701,1.49116,1.49292,1.481361611,1.480251918,1.479357158,1.47880795,1.479094786,1.479553956,3,2,1.46382,7,1.45658,28,1.49292,0,1.49701,Sell,7,28,Sell,loss,-0.029100000000000126,-1.9879493380333735,Sellloss
7,2015-05-25T20:00:00+07:00,1.54663,1.54712,1.54565,1.54681,1.550291439,1.55291711,1.555148908,1.556485507,1.556093385,1.560932949,3,1,1.49292,118,1.58148,161,1.54681,15,1.48563,Buy,8,161,Buy,win,0.05388999999999999,3.609704471773437,Buywin
8,2015-06-11T00:00:00+07:00,1.55066,1.5539,1.55065,1.55284,1.53701845,1.536676442,1.536170887,1.535886805,1.536731016,1.535872345,3,2,1.54681,31,1.51702,74,1.55284,73,1.55543,Sell,9,74,Sell,loss,-0.00602999999999998,-0.3898345627452615,Sellloss
9,2015-07-02T16:00:00+07:00,1.56037,1.564,1.55619,1.56128,1.566746466,1.56806985,1.569099066,1.569444894,1.568448678,1.569558728,3,1,1.55284,34,1.59301,94,1.56128,4,1.54207,Buy,10,94,Buy,win,0.008440000000000003,0.5435202596532807,Buywin
10,2015-07-15T20:00:00+07:00,1.56057,1.5645,1.55767,1.56276,1.555863006,1.555292445,1.554502753,1.553764965,1.553998509,1.552325881,3,2,1.56128,26,1.53301,56,1.56276,54,1.56756,Sell,11,56,Sell,loss,-0.0014799999999999258,-0.09479401516703767,Sellloss
11,2015-07-24T20:00:00+07:00,1.54862,1.55261,1.54731,1.55088,1.556687111,1.556484777,1.556251801,1.556019467,1.555575329,1.560177747,3,1,1.56276,10,1.5673,42,1.55088,40,1.54666,Buy,12,42,Buy,loss,-0.01187999999999989,-0.7601935038009605,Buyloss
12,2015-07-29T08:00:00+07:00,1.56087,1.56191,1.56033,1.56042,1.556708573,1.556597018,1.556514076,1.556531664,1.556711404,1.550878193,3,2,1.55088,0,1.54696,16,1.56042,13,1.56278,Sell,13,16,Sell,loss,-0.009539999999999882,-0.6151346332404752,Sellloss
