,time,open,high,low,close,EMA90,EMA75,EMA60,EMA45,EMA,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,ac,accum_winrate,side,result,profit,prob,results
0,2015-03-03T10:00:00Z,1.11724,1.11775,1.11544,1.11698,1.131407912,1.129972506,1.128464679,1.126618593,1.124025649,1.121574168,3,1,1.13616,47,1.15337,165,1.11698,6,1.1097,Buy,1,165,,,Buy,loss,-0.019179999999999975,-1.6881425151387106,Buyloss
1,2015-04-28T13:00:00Z,1.09263,1.09897,1.09184,1.09685,1.078711926,1.078983312,1.079707293,1.081118469,1.083622541,1.083689957,3,2,1.11698,51,1.04623,242,1.09685,2,1.12174,Sell,2,242,,,Sell,win,0.02012999999999998,1.8021808805887285,Sellwin
2,2015-05-25T21:00:00Z,1.09774,1.09812,1.09347,1.09434,1.114634364,1.115026687,1.114642235,1.112937845,1.10918245,1.111200813,3,1,1.09685,79,1.14666,116,1.09434,0,1.09184,Buy,3,116,,,Buy,loss,-0.0025100000000000122,-0.22883712449286703,Buyloss
3,2015-06-10T21:00:00Z,1.13211,1.13262,1.13,1.13014,1.115303142,1.116366068,1.117833974,1.12008102,1.12348633,1.122107429,3,2,1.09434,11,1.0819,73,1.13014,69,1.13864,Sell,4,73,,,Sell,loss,-0.03579999999999983,-3.2713781822833696,Sellloss
4,2015-06-29T09:00:00Z,1.11178,1.11417,1.10831,1.11258,1.121584494,1.1217205,1.121485455,1.120561541,1.118405534,1.118597505,3,1,1.13014,34,1.14361,75,1.11258,72,1.09537,Buy,5,75,,,Buy,loss,-0.01756000000000002,-1.5537897959544853,Buyloss
5,2015-07-29T01:00:00Z,1.10735,1.10838,1.10554,1.10556,1.100236193,1.099668748,1.099428167,1.09984205,1.101433427,1.102173933,3,2,1.11258,93,1.0808,131,1.10556,3,1.1278,Sell,6,131,,,Sell,win,0.007019999999999804,0.630965863128926,Sellwin
6,2015-08-06T09:00:00Z,1.08862,1.09208,1.08731,1.08833,1.096605362,1.095860913,1.095119324,1.094269967,1.092968419,1.09435,3,1,1.10556,15,1.1114,38,1.08833,30,1.08479,Buy,7,38,,,Buy,loss,-0.01723000000000008,-1.558486197040421,Buyloss
7,2015-08-24T05:00:00Z,1.14551,1.15009,1.14199,1.14713,1.110797826,1.112416623,1.11459758,1.117581237,1.121947709,1.132797343,3,2,1.08833,8,1.08551,72,1.14713,0,1.15009,Sell,8,72,,,Sell,loss,-0.05879999999999996,-5.4027730559664775,Sellloss
8,2015-09-06T21:00:00Z,1.11613,1.1174,1.11421,1.1166,1.121230985,1.121935199,1.12225288,1.121786451,1.1199953,1.126056534,3,1,1.14713,2,1.17139,58,1.1166,50,1.10871,Buy,9,58,,,Buy,loss,-0.030529999999999946,-2.6614245987813017,Buyloss
9,2015-09-18T09:00:00Z,1.14487,1.14602,1.141,1.14224,1.126909634,1.127905457,1.129017633,1.130430771,1.132517531,1.128363062,3,2,1.1166,3,1.11212,58,1.14224,0,1.14602,Sell,10,58,,,Sell,loss,-0.025639999999999885,-2.2962564929249405,Sellloss
10,2015-10-28T01:00:00Z,1.10312,1.10395,1.1025,1.10342,1.121901348,1.120731072,1.118916314,1.11605931,1.11162958,1.10785,3,1,1.14224,113,1.14951,166,1.10342,152,1.09963,Buy,11,166,,,Buy,loss,-0.038819999999999855,-3.3985852360274422,Buyloss
11,2015-12-09T06:00:00Z,1.09074,1.09373,1.09061,1.09309,1.075321871,1.075559248,1.076595137,1.078753633,1.082395198,1.085438545,3,2,1.10342,159,1.05167,182,1.09309,4,1.10957,Sell,12,182,,,Sell,win,0.010330000000000172,0.9361802396186558,Sellwin
12,2016-01-05T22:00:00Z,1.0748,1.07727,1.07391,1.07613,1.088139474,1.088236,1.088026174,1.087224692,1.085361867,1.088414746,3,1,1.09309,24,1.10595,106,1.07613,104,1.07105,Buy,13,106,,,Buy,loss,-0.016959999999999864,-1.5515648299773912,Buyloss
13,2016-02-04T14:00:00Z,1.12023,1.1221,1.11574,1.1197,1.09174974,1.092560626,1.093718305,1.095512312,1.098614123,1.10694,3,2,1.07613,4,1.07114,131,1.1197,130,1.12392,Sell,14,131,,,Sell,loss,-0.04356999999999989,-4.0487673422355925,Sellloss
14,2016-02-19T02:00:00Z,1.11207,1.11287,1.11174,1.11249,1.112152892,1.113683475,1.115067434,1.115930321,1.115546097,1.11404172,3,1,1.1197,30,1.13763,63,1.11249,60,1.10707,Buy,15,63,,,Buy,loss,-0.007209999999999939,-0.643922479235504,Buyloss
15,2016-03-11T18:00:00Z,1.1156,1.1165,1.11435,1.11443,1.101723699,1.101728278,1.1019518,1.102774212,1.104877062,1.08668635,3,2,1.11249,87,1.08216,95,1.11443,88,1.12181,Sell,16,95,,,Sell,loss,-0.0019400000000000528,-0.17438358996485837,Sellloss
16,2016-04-25T17:00:00Z,1.12658,1.12779,1.12581,1.12648,1.130285553,1.130395949,1.130182147,1.129553105,1.128442281,1.128641345,3,1,1.11443,129,1.14645,186,1.12648,17,1.10577,Buy,17,186,,,Buy,win,0.012049999999999894,1.081270245775858,Buywin
17,2016-05-02T17:00:00Z,1.15237,1.1536,1.15139,1.15293,1.134123556,1.134837518,1.135688807,1.136956916,1.13928921,1.143329794,3,2,1.12648,0,1.12438,31,1.15293,0,1.1536,Sell,18,31,,,Sell,loss,-0.026450000000000085,-2.3480221575172293,Sellloss
18,2016-05-13T13:00:00Z,1.13168,1.13316,1.12828,1.12941,1.138801066,1.139198619,1.139432014,1.139356324,1.138664348,1.141426844,3,1,1.15293,3,1.16162,53,1.12941,0,1.12828,Buy,19,53,,,Buy,loss,-0.023519999999999985,-2.040019775701906,Buyloss
19,2016-06-09T01:00:00Z,1.13991,1.14153,1.13954,1.14045,1.127043481,1.127333212,1.128100796,1.129706422,1.132623628,1.136449418,3,2,1.12941,64,1.10977,112,1.14045,0,1.14153,Sell,20,112,,,Sell,loss,-0.011039999999999939,-0.977501527346131,Sellloss
20,2016-06-28T17:00:00Z,1.10521,1.10904,1.10346,1.10634,1.121100218,1.120118553,1.118735747,1.116626106,1.113198737,1.119133341,3,1,1.14045,65,1.14278,82,1.10634,66,1.09114,Buy,21,82,,,Buy,loss,-0.03410999999999986,-2.990924635012483,Buyloss
21,2016-08-02T21:00:00Z,1.12216,1.12268,1.12141,1.12142,1.109066166,1.109308498,1.109962967,1.111279206,1.113695322,1.117632067,3,2,1.10634,111,1.09518,152,1.12142,151,1.12336,Sell,22,152,,,Sell,loss,-0.015079999999999982,-1.3630529493645698,Sellloss
22,2016-09-05T13:00:00Z,1.11545,1.1155,1.1139,1.11526,1.120122215,1.12007569,1.119741114,1.118990096,1.117820969,1.124258071,3,1,1.12142,71,1.13662,142,1.11526,16,1.10456,Buy,23,142,,,Buy,loss,-0.006160000000000165,-0.5493035615558992,Buyloss
23,2016-11-04T17:00:00Z,1.11196,1.11419,1.11123,1.11386,1.101790729,1.101713902,1.102123165,1.103337831,1.105750685,1.106086,3,2,1.11526,217,1.08508,266,1.11386,18,1.13269,Sell,24,266,,,Sell,win,0.0013999999999998458,0.12553126625180192,Sellwin
24,2016-11-13T22:00:00Z,1.08301,1.08401,1.07726,1.07961,1.099046276,1.098477159,1.097846678,1.096881915,1.094809735,1.098258385,3,1,1.11386,14,1.12993,31,1.07961,0,1.07726,Buy,25,31,,,Buy,loss,-0.034250000000000114,-3.074892715422056,Buyloss
25,2016-12-08T06:00:00Z,1.07728,1.08051,1.07583,1.0802,1.069554257,1.068859683,1.068660462,1.069261277,1.071014323,1.068677886,3,2,1.07961,91,1.05046,111,1.0802,0,1.08611,Sell,26,111,,,Sell,loss,-0.0005900000000000905,-0.054649364122237705,Sellloss
26,2016-12-19T06:00:00Z,1.04656,1.04793,1.04476,1.04478,1.059966144,1.058449722,1.056782324,1.054715352,1.051743974,1.048154239,3,1,1.0802,1,1.08733,42,1.04478,32,1.03663,Buy,27,42,,,Buy,loss,-0.03542000000000001,-3.279022403258656,Buyloss
27,2017-01-12T14:00:00Z,1.06524,1.06756,1.06324,1.06484,1.053274973,1.053451409,1.054033637,1.055134883,1.056836739,1.048160354,3,2,1.04478,57,1.03401,99,1.06484,98,1.06845,Sell,28,99,,,Sell,loss,-0.020059999999999967,-1.9200214399203628,Sellloss
28,2017-02-13T14:00:00Z,1.06236,1.06247,1.05917,1.05956,1.068684597,1.068801471,1.068603932,1.067890643,1.066408612,1.066530038,3,1,1.06484,89,1.08287,132,1.05956,11,1.05789,Buy,29,132,,,Buy,loss,-0.005279999999999951,-0.49584914165507976,Buyloss
29,2017-03-19T21:00:00Z,1.07324,1.07533,1.07321,1.07504,1.064114253,1.064795073,1.065835164,1.067400246,1.069690046,1.070955221,3,2,1.05956,42,1.04935,147,1.07504,143,1.07823,Sell,30,147,,,Sell,loss,-0.015479999999999938,-1.4609838045981292,Sellloss
30,2017-04-04T13:00:00Z,1.0655,1.06681,1.06468,1.06603,1.072157869,1.072467779,1.072500625,1.071955638,1.070373973,1.0678698,3,1,1.07504,34,1.09057,70,1.06603,69,1.06345,Buy,31,70,,,Buy,loss,-0.009009999999999962,-0.8381083494567609,Buyloss
31,2017-04-24T13:00:00Z,1.08572,1.08735,1.0835,1.08412,1.069668,1.070075353,1.070755125,1.071977468,1.074192892,1.07004444,3,2,1.06603,24,1.05693,85,1.08412,81,1.09184,Sell,32,85,,,Sell,loss,-0.01808999999999994,-1.696950367250447,Sellloss
32,2017-06-21T05:00:00Z,1.11333,1.11456,1.11272,1.11424,1.118190113,1.118406461,1.118273233,1.117716545,1.116687785,1.118278409,3,1,1.08412,222,1.12957,250,1.11424,0,1.0835,Buy,33,250,,,Buy,win,0.030119999999999925,2.7782902261742173,Buywin
33,2017-06-30T01:00:00Z,1.14301,1.14443,1.14301,1.14403,1.124428999,1.125547229,1.126950173,1.1289959,1.132374389,1.14006475,3,2,1.11424,1,1.11272,42,1.14403,40,1.14455,Sell,34,42,,,Sell,loss,-0.029790000000000205,-2.673571223434826,Sellloss
