,time,open,high,low,close,EMA,EMA75,EMA60,EMA45,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
0,2015-01-29T18:00:00Z,0.71365,0.71843,0.71296,0.7168100000000001,0.74768135,0.7364272709999999,0.725588032,0.7184204540000001,0.714523675,0.726679623,3,1,0.69631,14,0.72925,29,0.7168100000000001,4,0.68976,Buy,1,29,Buy,win,0.020500000000000074,0.02303370786516862,Buywin
1,2015-02-19T18:00:00Z,0.73923,0.73997,0.73839,0.7397100000000001,0.728113676,0.726617333,0.726459503,0.72769506,0.7301208220000001,0.730014,3,2,0.7168100000000001,16,0.7064600000000001,91,0.7397100000000001,90,0.74043,Sell,2,91,Sell,loss,-0.02290000000000003,-0.02573033707865172,Sellloss
2,2015-03-26T17:00:00Z,0.7532399999999999,0.75464,0.75202,0.75365,0.7573071459999999,0.7577705379999999,0.75786662,0.75730785,0.755838157,0.754705807,3,1,0.7397100000000001,90,0.7743899999999999,150,0.75365,6,0.7332,Buy,3,150,Buy,win,0.013939999999999952,0.015662921348314554,Buywin
3,2015-04-29T05:00:00Z,0.7639600000000001,0.7652800000000001,0.7615,0.76165,0.7470709640000001,0.747607865,0.748500828,0.749951015,0.752359874,0.7550466690000001,3,2,0.75365,29,0.7235,142,0.76165,139,0.7673,Sell,4,142,Sell,loss,-0.008000000000000007,-0.008988764044943828,Sellloss
4,2015-05-06T21:00:00Z,0.7298399999999999,0.73077,0.72849,0.7297600000000001,0.741579249,0.741003133,0.740205252,0.738978037,0.7370038729999999,0.74068,3,1,0.76165,0,0.7652800000000001,34,0.7297600000000001,23,0.72754,Buy,5,34,Buy,loss,-0.031889999999999974,-0.035831460674157274,Buyloss
5,2015-08-07T05:00:00Z,0.72207,0.7247,0.72173,0.7245,0.710942252,0.711497204,0.712437222,0.7139464040000001,0.716324544,0.7167191999999999,3,2,0.7297600000000001,345,0.69438,399,0.7245,32,0.74832,Sell,6,399,Sell,win,0.005260000000000042,0.005910112359550609,Sellwin
6,2015-08-21T09:00:00Z,0.70089,0.7017800000000001,0.69906,0.69989,0.713938635,0.713896458,0.7135800729999999,0.7126734859999999,0.710596407,0.7039587840000001,3,1,0.7245,10,0.7308600000000001,61,0.69989,59,0.69752,Buy,7,61,Buy,loss,-0.02461000000000002,-0.02765168539325845,Buyloss
7,2015-09-15T05:00:00Z,0.68947,0.69191,0.68781,0.69121,0.6875623120000001,0.6867867209999999,0.6863502090000001,0.6865261709999999,0.68760574,0.6855306090000001,3,2,0.69989,8,0.6533399999999999,102,0.69121,2,0.7018300000000001,Sell,8,102,Sell,win,0.008680000000000021,0.009752808988764069,Sellwin
8,2015-09-29T09:00:00Z,0.67828,0.68165,0.6762600000000001,0.68124,0.6875222209999999,0.68708724,0.6866189159999999,0.6859302829999999,0.684663903,0.686700577,3,1,0.69121,15,0.70011,61,0.68124,60,0.67251,Buy,9,61,Buy,loss,-0.009970000000000034,-0.011202247191011275,Buyloss
9,2015-10-07T13:00:00Z,0.69824,0.70333,0.69809,0.70153,0.6884465479999999,0.688531648,0.688813948,0.689415143,0.6906965190000001,0.691130435,3,2,0.68124,0,0.67251,38,0.70153,0,0.70333,Sell,10,38,Sell,loss,-0.02029000000000003,-0.022797752808988797,Sellloss
10,2015-12-08T06:00:00Z,0.7217600000000001,0.72405,0.71858,0.71941,0.732695882,0.733869288,0.734689985,0.7347710940000001,0.733337602,0.7289540840000001,3,1,0.70153,240,0.75489,262,0.71941,58,0.6873,Buy,11,262,Buy,win,0.017880000000000007,0.020089887640449448,Buywin
11,2016-01-03T22:00:00Z,0.72855,0.7302,0.72241,0.72263,0.719358389,0.7192681879999999,0.7193805129999999,0.7199509409999999,0.72128297,0.720228256,3,2,0.71941,23,0.7046100000000001,101,0.72263,99,0.73125,Sell,12,101,Sell,loss,-0.0032200000000000006,-0.0036179775280898883,Sellloss
12,2016-01-08T18:00:00Z,0.6975399999999999,0.6977800000000001,0.69097,0.69107,0.71486531,0.7140477740000001,0.71300233,0.7115001129999999,0.708849614,0.7056111999999999,3,1,0.72263,0,0.7302,29,0.69107,0,0.69097,Buy,13,29,Buy,loss,-0.03156000000000003,-0.035460674157303404,Buyloss
13,2016-01-26T14:00:00Z,0.71197,0.7157,0.71113,0.71539,0.703714425,0.703118847,0.7028061999999999,0.7030839590000001,0.704514372,0.70049,3,2,0.69107,30,0.6806399999999999,72,0.71539,0,0.7157,Sell,14,72,Sell,loss,-0.02432000000000001,-0.027325842696629223,Sellloss
14,2016-02-09T14:00:00Z,0.68065,0.6896,0.68056,0.68712,0.709202593,0.709031063,0.708638232,0.707585543,0.7048328770000001,0.6978300000000001,3,1,0.71539,18,0.72805,60,0.68712,59,0.67966,Buy,15,60,Buy,loss,-0.028270000000000017,-0.03176404494382024,Buyloss
15,2016-02-22T06:00:00Z,0.71115,0.71427,0.70958,0.71385,0.704890825,0.7047676940000001,0.7047916040000001,0.705155234,0.7062724859999999,0.7011522,3,2,0.68712,11,0.67523,53,0.71385,0,0.71427,Sell,16,53,Sell,loss,-0.02673000000000003,-0.030033707865168575,Sellloss
16,2016-04-05T17:00:00Z,0.71853,0.7216600000000001,0.71823,0.7208100000000001,0.733584432,0.7336083809999999,0.7332901890000001,0.7325095709999999,0.73102148,0.727784,3,1,0.71385,79,0.75558,189,0.7208100000000001,14,0.70658,Buy,17,189,Buy,win,0.006960000000000077,0.00782022471910121,Buywin
17,2016-04-14T17:00:00Z,0.7448199999999999,0.74544,0.74335,0.74361,0.7316019579999999,0.73165383,0.7317863029999999,0.73230223,0.733919216,0.7404056,3,2,0.7208100000000001,12,0.71548,43,0.74361,42,0.74602,Sell,18,43,Sell,loss,-0.02279999999999993,-0.02561797752808981,Sellloss
18,2016-04-29T09:00:00Z,0.73452,0.73621,0.7330300000000001,0.73383,0.742962479,0.743584446,0.7440407059999999,0.7440213720000001,0.742775518,0.739110926,3,1,0.74361,27,0.75976,64,0.73383,0,0.7330300000000001,Buy,19,64,Buy,loss,-0.009780000000000011,-0.010988764044943833,Buyloss
19,2016-06-23T09:00:00Z,0.72159,0.7258899999999999,0.72142,0.7255699999999999,0.7155695009999999,0.7156355759999999,0.71587547,0.71638909,0.717440176,0.715868608,3,2,0.73383,204,0.70323,235,0.7255699999999999,0,0.73866,Sell,20,235,Sell,win,0.008260000000000045,0.009280898876404545,Sellwin
20,2016-08-02T05:00:00Z,0.72706,0.73098,0.72675,0.73077,0.737391248,0.737517403,0.737321876,0.736669096,0.735389897,0.736000014,3,1,0.7255699999999999,79,0.7552,167,0.73077,4,0.70978,Buy,21,167,Buy,win,0.0052000000000000934,0.005842696629213588,Buywin
21,2016-08-08T05:00:00Z,0.74541,0.74938,0.74528,0.7491399999999999,0.739117076,0.739500409,0.7398586909999999,0.7403493609999999,0.741419699,0.74432,3,2,0.73077,0,0.72372,25,0.7491399999999999,0,0.74938,Sell,22,25,Sell,loss,-0.018369999999999886,-0.02064044943820212,Sellloss
22,2016-08-19T01:00:00Z,0.73209,0.73253,0.72877,0.73056,0.742126528,0.742164175,0.741938943,0.7412397709999999,0.7395847790000001,0.7400131759999999,3,1,0.7491399999999999,13,0.7570100000000001,53,0.73056,0,0.72877,Buy,23,53,Buy,loss,-0.01857999999999993,-0.020876404494381943,Buyloss
23,2016-09-06T01:00:00Z,0.74541,0.74826,0.74534,0.74732,0.7400631590000001,0.7401619220000001,0.74036182,0.740789763,0.741622661,0.7394505690000001,3,2,0.73056,3,0.7277,73,0.74732,0,0.74826,Sell,24,73,Sell,loss,-0.016759999999999997,-0.0188314606741573,Sellloss
24,2016-09-13T13:00:00Z,0.73016,0.7320399999999999,0.72573,0.72735,0.739362145,0.7391804,0.738881169,0.738321201,0.737081165,0.733762,3,1,0.74732,1,0.75005,33,0.72735,0,0.72573,Buy,25,33,Buy,loss,-0.019969999999999932,-0.022438202247190935,Buyloss
25,2016-09-22T09:00:00Z,0.74292,0.7437600000000001,0.74041,0.7419,0.737563575,0.737473157,0.737472303,0.7377047179999999,0.738527363,0.7395211629999999,3,2,0.72735,10,0.72473,42,0.7419,39,0.74433,Sell,26,42,Sell,loss,-0.014549999999999952,-0.016348314606741517,Sellloss
