,time,open,high,low,close,EMA90,EMA75,EMA60,EMA,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
0,2014-02-12T10:00:00Z,1288.04,1292.31,1286.16,1290.09,1261.44418,1263.581866,1266.215453,1269.490958,1274.166025,1278.4769,3,2,1231.87,0,1231.44,87,1290.09,82,1293.75,Sell,1,87,Sell,loss,-58.22,-111.9615385,Sellloss
1,2014-03-27T01:00:00Z,1306.38,1306.51,1302.61,1303.12,1333.038811,1332.209188,1330.036529,1325.98968,1319.500766,1311.653108,3,1,1290.09,135,1391.97,184,1303.12,5,1286.15,Buy,2,184,Buy,win,13.03,25.05769231,Buywin
2,2014-04-14T21:00:00Z,1327.6,1328.13,1325.26,1325.36,1311.734897,1311.289195,1311.432556,1312.838453,1316.274055,1318.8888,3,2,1303.12,19,1277,78,1325.36,76,1331.08,Sell,3,78,Sell,loss,-22.24,-42.76923077,Sellloss
3,2014-04-23T17:00:00Z,1283.17,1285.24,1282.44,1283.62,1300.96958,1299.30054,1297.415842,1295.079217,1291.64628,1293.216319,3,1,1325.36,0,1328.13,37,1283.62,30,1276.1,Buy,4,37,Buy,loss,-41.74,-80.26923077,Buyloss
4,2014-06-20T09:00:00Z,1308.55,1313.99,1307.49,1313.11,1273.843757,1274.780505,1276.720832,1280.207518,1286.089673,1299.784584,3,2,1283.62,174,1240.23,251,1313.11,248,1321.91,Sell,5,251,Sell,loss,-29.49,-56.71153846,Sellloss
5,2014-07-24T17:00:00Z,1290.64,1293.9,1288.99,1293.38,1309.715,1309.489932,1308.678457,1307.157505,1304.892098,1308.034093,3,1,1313.11,84,1345.09,146,1293.38,145,1287.51,Buy,6,146,Buy,loss,-19.73,-37.94230769,Buyloss
6,2014-10-17T05:00:00Z,1238.18,1241.63,1237.05,1239.01,1226.326671,1226.602268,1227.740174,1229.966023,1233.37335,1230.301376,3,2,1293.38,308,1182.67,364,1239.01,64,1322.66,Sell,7,364,Sell,win,54.37,104.5576923,Sellwin
7,2014-11-03T10:00:00Z,1170.19,1173.76,1167.99,1170.85,1217.473118,1215.276352,1212.080999,1206.992452,1198.443847,1176.108589,3,1,1239.01,13,1255.2,67,1170.85,62,1161.06,Buy,8,67,Buy,loss,-68.16,-131.0769231,Buyloss
8,2014-11-25T22:00:00Z,1200.6,1202.73,1198.44,1199.13,1187.64242,1187.700208,1188.669061,1190.855091,1194.138717,1190.20758,3,2,1170.85,23,1130.1,100,1199.13,85,1207.68,Sell,9,100,Sell,loss,-28.28,-54.38461538,Sellloss
9,2014-12-23T06:00:00Z,1178.58,1184.73,1177.7,1180.21,1199.701421,1199.542541,1198.873741,1197.23793,1193.99775,1194.861705,3,1,1199.13,57,1238.13,115,1180.21,17,1142.65,Buy,10,115,Buy,loss,-18.92,-36.38461538,Buyloss
10,2015-01-15T02:00:00Z,1228.53,1232.11,1227.78,1229.38,1212.460582,1214.610435,1217.409343,1221.108573,1225.801215,1226.89,3,2,1180.21,36,1166.86,88,1229.38,85,1244.29,Sell,11,88,Sell,loss,-49.17,-94.55769231,Sellloss
11,2015-02-10T14:00:00Z,1237.7075,1240.0485,1232.318,1233.7305,1257.862527,1259.231626,1258.755924,1255.993668,1250.82754,1251.047485,3,1,1229.38,33,1307.49,111,1233.7305,1,1225.91,Buy,12,111,Buy,win,4.3505,8.366346154,Buywin
