,time,open,high,low,close,EMA90,EMA75,EMA60,EMA,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,ac,accum_winrate,side,result,profit,prob,results
0,2015-02-10T13:00:00+07:00,0.74241,0.74377,0.73962,0.73968,0.743857813,0.741509618,0.739751525,0.738503038,0.738394638,0.734108332,3,2,0.75061,44,0.71762,74,0.73968,0,0.75274,Sell,1,74,,,Sell,win,0.010929999999999995,1.456148998814297,Sellwin
1,2015-03-09T12:00:00+07:00,0.73329,0.73866,0.73265,0.73863,0.749683375,0.749616176,0.74945833,0.748873755,0.747251489,0.743927309,3,1,0.73968,73,0.76135,114,0.73863,12,0.73133,Buy,2,114,,,Buy,loss,-0.0010499999999999954,-0.14195327709279626,Buyloss
2,2015-03-20T20:00:00+07:00,0.74618,0.75835,0.74589,0.75704,0.740833633,0.740287734,0.739837861,0.739700333,0.740467087,0.737478383,3,2,0.73863,16,0.71621,57,0.75704,0,0.75835,Sell,3,57,,,Sell,loss,-0.018410000000000037,-2.4924522426654803,Sellloss
3,2015-04-01T12:00:00+07:00,0.74668,0.74708,0.73912,0.73991,0.750242843,0.750801891,0.751428606,0.751911086,0.751538717,0.749885668,3,1,0.75704,11,0.76972,46,0.73991,0,0.73912,Buy,4,46,,,Buy,loss,-0.01713000000000009,-2.262760224030446,Buyloss
4,2015-04-09T20:00:00+07:00,0.75868,0.75962,0.7536,0.755,0.752448348,0.752976053,0.753535415,0.754088458,0.754666068,0.75143619,3,2,0.73991,1,0.73912,39,0.755,15,0.76303,Sell,5,39,,,Sell,loss,-0.015090000000000048,-2.0394372288521643,Sellloss
5,2015-04-14T16:00:00+07:00,0.74403,0.75127,0.7436,0.75048,0.751495202,0.751650157,0.751668611,0.751405496,0.750601331,0.752036996,3,1,0.755,3,0.75981,17,0.75048,11,0.74217,Buy,6,17,,,Buy,loss,-0.0045199999999999685,-0.5986754966887375,Buyloss
6,2015-04-17T12:00:00+07:00,0.76613,0.77073,0.76605,0.77014,0.754079073,0.75463698,0.755293871,0.756168294,0.757687673,0.759536823,3,2,0.75048,1,0.7436,18,0.77014,0,0.77073,Sell,7,18,,,Sell,loss,-0.01966000000000001,-2.6196567530114074,Sellloss
7,2015-04-27T04:00:00+07:00,0.75838,0.76191,0.75838,0.76056,0.759027354,0.759762424,0.760500605,0.761139237,0.761332168,0.762172602,3,1,0.77014,1,0.77405,34,0.76056,25,0.75363,Buy,8,34,,,Buy,loss,-0.009580000000000033,-1.2439296751240076,Buyloss
8,2015-04-29T20:00:00+07:00,0.7695,0.77444,0.76864,0.773,0.761465713,0.762364935,0.763341438,0.76441016,0.765666665,0.76712,3,2,0.76056,0,0.75833,17,0.773,0,0.77444,Sell,9,17,,,Sell,loss,-0.012440000000000007,-1.6356368991269599,Sellloss
9,2015-05-04T04:00:00+07:00,0.75228,0.75395,0.75077,0.7511,0.760720525,0.761194014,0.761535602,0.761588529,0.760991403,0.761883121,3,1,0.773,0,0.77444,14,0.7511,12,0.75071,Buy,10,14,,,Buy,loss,-0.02190000000000003,-2.833117723156537,Buyloss
10,2015-08-22T00:00:00+07:00,0.67041,0.67043,0.66776,0.66789,0.65942991,0.659331318,0.659475766,0.659956033,0.661000855,0.657953978,3,2,0.7511,434,0.64672,480,0.66789,11,0.75773,Sell,11,480,,,Sell,win,0.08321,11.078418319797633,Sellwin
11,2015-09-01T08:00:00+07:00,0.63508,0.63887,0.6346,0.6375,0.651518318,0.650397312,0.649035282,0.64723197,0.644668947,0.652692825,3,1,0.66789,0,0.67043,38,0.6375,5,0.61968,Buy,12,38,,,Buy,loss,-0.030390000000000028,-4.550150473880434,Buyloss
12,2015-09-18T16:00:00+07:00,0.64174,0.64565,0.64101,0.64511,0.636705018,0.635781869,0.63506398,0.634744319,0.635124888,0.633475232,3,2,0.6375,28,0.62437,81,0.64511,0,0.64565,Sell,13,81,,,Sell,loss,-0.007610000000000006,-1.1937254901960794,Sellloss
