,index,status,open_price,weeknum_open,close_price,open_time,high_setup,real_high,high_bar,low_setup,real_low,low_bar,range,DD_point,DD_bar,DD_point2,DD_point%,weeknum_close,TP_get,TP_bar,TP_same,side,result,profit,profit%,prob,acc_prob,TP_con,re_count_up,re_count_down,accum_winrate,accum_profit%,setup,accum_winrate20,accum_winrate50
10,11,Sell loss,108.399,5,109.134,2020-01-31 15:30:00,109.089,109.089,22,108.605,108.605,44,4840.0,109.134,90,-0.7349999999999994,-150.0,6,108.331,0.0,108.331,Sell,loss,-1.5185950413223297,-150.0,-0.004253767622751624,-0.00022756521797422495,loss,0,0,72.72727272727273,-89.0,0.3333333333333333,,
11,12,Buy win,109.134,6,109.38811199999999,2020-02-04 12:30:00,109.089,109.089,112,108.605,108.605,134,4840.0,109.061,0,-0.07299999999999329,-15.0,6,109.38811199999999,7.0,0.0,Buy,win,0.5250247933884192,55.0,0.0014706576845613985,-8.604664276292301e-05,normal,3,55,75.0,-34.0,-0.08943089430894309,,
12,13,Buy win,109.935,7,110.03215000000002,2020-02-12 08:00:00,109.924,109.924,52,109.579,109.749,131,3450.0,109.868,0,-0.06700000000000728,-20.0,7,110.03215000000002,14.0,0.0,Buy,win,0.2815942028985789,30.0,0.0007887792798279521,-1.875234102516339e-05,swap_TP,2,0,76.92307692307692,-4.0,-0.43169398907103823,,
13,14,Buy win,109.97,8,110.106152,2020-02-19 01:30:00,109.943,109.943,68,109.679,109.679,46,2640.0,109.926,0,-0.04399999999999693,-15.0,8,110.106152,1.0,0.0,Buy,win,0.5157272727272643,50.0,0.0014446142093200679,8.577384114235314e-05,normal,3,2,78.57142857142857,46.0,0.19298245614035087,,
14,15,Sell win,111.585,8,111.381126,2020-02-21 15:00:00,112.157,112.017,57,111.624,111.624,14,5330.0,111.769,3,-0.1840000000000117,-35.0,8,111.381126,14.0,0.0,Sell,win,0.38250281425890903,40.0,0.001071436454506748,0.00015148468203331282,swap_TP,0,1,80.0,86.0,-0.6056338028169014,,
15,16,Sell win,110.145,9,109.99278399999999,2020-02-25 15:00:00,110.983,110.983,28,110.371,110.371,43,6120.0,110.461,0,-0.3160000000000025,-50.0,9,109.99278399999999,8.0,0.0,Sell,win,0.24871895424837853,25.0,0.0006966917485948978,0.00018556012369341188,normal,0,2,81.25,111.0,0.2112676056338028,,
16,17,Sell win,109.954,9,109.847242,2020-02-27 20:30:00,110.588,110.221,42,109.99,109.99,81,5980.0,110.347,12,-0.3930000000000007,-65.0,9,109.847242,18.0,109.771,Sell,win,0.17852508361203917,20.0,0.0005000702622185971,0.0002040607200772463,same_hi,0,4,82.3529411764706,131.0,0.3170731707317073,,
17,18,Buy loss,108.524,10,107.727,2020-03-03 12:30:00,108.46,108.46,32,107.553,107.738,25,9070.0,107.727,26,-0.796999999999997,-90.0,10,108.524,0.0,108.524,Buy,loss,-0.8787210584343993,-90.0,-0.0024614035250263284,5.597937312704771e-05,loss,2,4,77.77777777777777,41.0,0.12280701754385964,,
18,19,Sell win,107.727,10,107.291804,2020-03-03 12:30:00,108.46,108.46,58,107.553,107.738,51,9070.0,108.074,0,-0.3469999999999942,-40.0,10,107.291804,5.0,108.524,Sell,win,0.47981918412349117,50.0,0.0013440313280770062,0.0001237715812823087,swap_TP,4,4,78.94736842105263,91.0,-0.06422018348623854,,
19,20,Sell win,106.851,10,106.426072,2020-03-05 10:00:00,107.714,107.714,21,106.918,106.918,70,7960.0,107.033,2,-0.18200000000000216,-25.0,10,106.426072,15.0,0.0,Sell,win,0.5338291457286412,55.0,0.001495319735934569,0.00019234898901492173,normal,0,1,80.0,146.0,0.5384615384615384,,
20,21,Sell win,103.706,11,103.449862,2020-03-12 01:00:00,105.296,105.296,32,104.155,104.155,39,11410.0,104.72,0,-1.0139999999999958,-90.0,11,103.449862,1.0,0.0,Sell,win,0.22448553900088158,20.0,0.0006288110336159148,0.0002131328959006833,normal,0,0,80.95238095238095,166.0,0.09859154929577464,,
21,22,Sell loss,105.963,12,107.435,2020-03-16 09:00:00,107.333,107.333,15,105.967,105.967,22,13660.0,107.435,60,-1.4720000000000084,-110.0,12,105.308,0.0,105.308,Sell,loss,-1.0775988286969318,-110.0,-0.0030184841139970077,6.624121363260644e-05,loss,0,0,77.27272727272727,56.0,0.1891891891891892,,
22,23,Buy win,107.435,12,107.615426,2020-03-17 15:00:00,107.333,107.333,75,105.967,106.876,82,13660.0,106.753,30,-0.6820000000000022,-50.0,12,107.615426,43.0,107.854,Buy,win,0.13208345534406818,15.0,0.0003699816676304431,7.944732032816456e-05,swap_TP,1,23,78.26086956521739,71.0,-0.044585987261146494,,
23,24,Buy win,111.352,12,111.46,2020-03-20 16:00:00,111.311,111.311,33,109.509,109.689,17,18020.0,109.668,28,-1.6839999999999975,-95.0,13,111.46,48.0,111.46,Buy,win,0.05993340732518839,5.0,0.00016788069278764255,8.31320441806428e-05,same_hi,1,0,79.16666666666667,76.0,0.32,,
