,time,open,high,low,close,EMA90,EMA75,EMA60,EMA,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
0,2015-02-23T02:00:00Z,0.78403,0.7844899999999999,0.78303,0.78345,0.7815938179999999,0.7806509779999999,0.780070777,0.779979505,0.7805777620000001,0.777205859,3,2,0.79996,25,0.76261,108,0.78345,1,0.8025100000000001,Sell,1,108,Sell,win,0.016510000000000025,0.018344444444444472,Sellwin
1,2015-03-10T17:00:00Z,0.76203,0.76331,0.76072,0.76252,0.77763721,0.776818208,0.775877448,0.774562678,0.772387002,0.769850261,3,1,0.78345,20,0.7912899999999999,70,0.76252,67,0.76032,Buy,2,70,Buy,loss,-0.020930000000000004,-0.02325555555555556,Buyloss
2,2015-04-23T01:00:00Z,0.7733800000000001,0.77596,0.77195,0.7757,0.7708309640000001,0.7711681779999999,0.771751746,0.772664556,0.7739127020000001,0.7715192479999999,3,2,0.76252,101,0.75331,189,0.7757,59,0.79382,Sell,3,189,Sell,loss,-0.01317999999999997,-0.014644444444444411,Sellloss
3,2015-05-24T21:00:00Z,0.78183,0.78315,0.78033,0.78083,0.792460128,0.792885063,0.792946192,0.79236535,0.790686758,0.7920058879999999,3,1,0.7757,90,0.81633,131,0.78083,2,0.7710899999999999,Buy,4,131,Buy,win,0.005130000000000079,0.005700000000000088,Buywin
4,2015-06-18T17:00:00Z,0.7811899999999999,0.78177,0.7792899999999999,0.77954,0.774132897,0.773725303,0.7735270879999999,0.7737038540000001,0.774392558,0.767402204,3,2,0.78083,35,0.75983,114,0.77954,112,0.78493,Sell,5,114,Sell,win,0.0012900000000000134,0.001433333333333348,Sellwin
5,2015-07-03T13:00:00Z,0.75249,0.7525,0.75093,0.7518,0.76902326,0.768222559,0.76726285,0.765982295,0.7640563340000001,0.762366,3,1,0.77954,0,0.78177,65,0.7518,0,0.75093,Buy,6,65,Buy,loss,-0.027739999999999987,-0.03082222222222221,Buyloss
6,2015-08-14T13:00:00Z,0.7379600000000001,0.7397600000000001,0.7366,0.73887,0.7357953740000001,0.7354284090000001,0.73530651,0.7354479,0.7358136690000001,0.7307480409999999,3,2,0.7518,166,0.72148,181,0.73887,0,0.75485,Sell,7,181,Sell,win,0.012929999999999997,0.014366666666666663,Sellwin
7,2015-08-24T09:00:00Z,0.72436,0.725,0.72095,0.7232,0.733995022,0.7335421390000001,0.7330994120000001,0.73252137,0.731493067,0.733619858,3,1,0.73887,0,0.7397600000000001,35,0.7232,33,0.72007,Buy,8,35,Buy,loss,-0.015670000000000073,-0.017411111111111193,Buyloss
8,2015-09-15T09:00:00Z,0.71302,0.71354,0.71158,0.7117,0.709350914,0.708191523,0.7073213359999999,0.707071,0.7080251000000001,0.71029,3,2,0.7232,57,0.6907300000000001,97,0.7117,0,0.7276,Sell,9,97,Sell,win,0.011499999999999955,0.012777777777777728,Sellwin
9,2015-09-29T01:00:00Z,0.6958,0.69644,0.69458,0.69499,0.7073164540000001,0.706498712,0.705610599,0.704444799,0.702606418,0.7040804,3,1,0.7117,18,0.7279899999999999,58,0.69499,42,0.69386,Buy,10,58,Buy,loss,-0.016710000000000003,-0.01856666666666667,Buyloss
