,time,open,high,low,close,EMA90,EMA75,EMA60,EMA,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
0,2015-01-29T14:00:00Z,32.727,32.78,32.712,32.77,32.6960387,32.66882189,32.64092322,32.62146541,32.61276855,32.55801647,3,2,32.605,19,32.4975,29,32.77,0,32.78,Sell,1,29,Sell,loss,-0.165,-0.506057353,Sellloss
1,2015-02-02T18:00:00Z,32.5865,32.5865,32.5705,32.575,32.68717849,32.66612786,32.646921,32.63628903,32.63424933,32.73473805,3,1,32.77,1,32.799,13,32.575,9,32.534,Buy,2,13,Buy,loss,-0.195,-0.595056454,Buyloss
2,2015-02-11T02:00:00Z,32.633,32.645,32.6245,32.634,32.64393372,32.63155052,32.62226392,32.61794156,32.61743837,32.58135742,3,2,32.575,2,32.48,39,32.634,25,32.659,Sell,3,39,Sell,loss,-0.059,-0.181120491,Sellloss
3,2015-02-13T06:00:00Z,32.5895,32.62,32.5895,32.6145,32.64375499,32.63488034,32.62936366,32.62835294,32.63053889,32.7054331,3,1,32.634,7,32.7315,13,32.6145,12,32.5805,Buy,4,13,Buy,loss,-0.0195,-0.059753631,Buyloss
4,2015-03-05T18:00:00Z,32.452,32.452,32.4245,32.425,32.47274623,32.45607204,32.43822688,32.41943011,32.4029301,32.38549071,3,2,32.6145,56,32.296,88,32.425,2,32.634,Sell,5,88,Sell,win,0.1895,0.58102991,Sellwin
5,2015-03-19T09:00:00Z,32.75,32.7695,32.7305,32.7645,32.71753241,32.73937244,32.76725633,32.80005502,32.82948351,32.90803416,3,1,32.425,35,32.952,58,32.7645,2,32.404,Buy,6,58,Buy,win,0.3395,1.047031611,Buywin
6,2015-04-07T17:00:00Z,32.5955,32.607,32.564,32.567,32.54837023,32.5376918,32.52435148,32.50924373,32.4970729,32.43365148,3,2,32.7645,70,32.382,81,32.567,2,32.7875,Sell,7,81,Sell,win,0.1975,0.602786553,Sellwin
7,2015-04-14T13:00:00Z,32.443,32.5105,32.4305,32.481,32.5459167,32.54030123,32.53498198,32.53132312,32.53032648,32.58685657,3,1,32.567,21,32.629,29,32.481,0,32.4305,Buy,8,29,Buy,loss,-0.086,-0.264070992,Buyloss
8,2015-04-23T17:00:00Z,32.445,32.4515,32.4295,32.434,32.45571752,32.44399184,32.43142354,32.41862526,32.40770227,32.36450736,3,2,32.481,35,32.343,44,32.434,3,32.517,Sell,9,44,Sell,win,0.047,0.144699978,Sellwin
9,2015-05-18T17:00:00Z,33.4145,33.4465,33.4,33.4025,33.31216796,33.36819253,33.42451754,33.47268439,33.49495466,33.57362412,3,1,32.434,76,33.895,102,33.4025,1,32.4125,Buy,10,102,Buy,win,0.9685,2.986064007,Buywin
10,2015-05-20T05:00:00Z,33.598,33.6595,33.549,33.5815,33.34478715,33.39482288,33.44260873,33.48053732,33.4976033,33.32618707,3,2,33.4025,2,33.344,10,33.5815,0,33.6595,Sell,11,10,Sell,loss,-0.179,-0.535888032,Sellloss
11,2015-05-21T17:00:00Z,33.4065,33.413,33.402,33.4115,33.37038932,33.4141254,33.45338344,33.48113265,33.48907494,33.61596692,3,1,33.5815,0,33.6595,9,33.4115,7,33.393,Buy,12,9,Buy,loss,-0.17,-0.506231109,Buyloss
12,2015-05-25T13:00:00Z,33.5965,33.5965,33.5805,33.59,33.39593858,33.43319786,33.46479605,33.4856926,33.49352822,33.37741837,3,2,33.4115,5,33.3315,12,33.59,11,33.603,Sell,13,12,Sell,loss,-0.1785,-0.53424719,Sellloss
13,2015-06-10T01:00:00Z,33.695,33.7635,33.694,33.6975,33.66910229,33.69552477,33.71789467,33.73526569,33.74593943,33.88677661,3,1,33.59,54,33.943,69,33.6975,2,33.5805,Buy,14,69,Buy,win,0.1075,0.320035725,Buywin
14,2015-06-23T05:00:00Z,33.749,33.7555,33.725,33.744,33.67461074,33.68108169,33.68317001,33.68153252,33.67874043,33.61133845,3,2,33.6975,39,33.5855,56,33.744,35,33.796,Sell,15,56,Sell,loss,-0.0465,-0.137992433,Sellloss
15,2015-09-15T13:00:00Z,35.9395,35.9415,35.9195,35.921,35.89792332,35.93865981,35.97554901,36.00600059,36.02286939,36.04228,3,1,33.744,340,36.263,362,35.921,0,33.725,Buy,16,362,Buy,win,2.177,6.451517307,Buywin
16,2015-09-22T13:00:00Z,36.083,36.1345,36.0635,36.074,35.86397968,35.87826957,35.88388015,35.8792244,35.86731508,35.76327198,3,2,35.921,18,35.491,31,36.074,0,36.1345,Sell,17,31,Sell,loss,-0.153,-0.42593469,Sellloss
17,2015-10-06T13:00:00Z,36.326,36.326,36.257,36.258,36.22789725,36.26429857,36.30138778,36.33810053,36.36680899,36.49911501,3,1,36.074,45,36.6685,60,36.258,3,36.047,Buy,18,60,Buy,win,0.184,0.510062649,Buywin
18,2015-10-22T01:00:00Z,35.6275,35.642,35.577,35.625,35.64416046,35.60210122,35.55330044,35.50468967,35.47693318,35.38790557,3,2,36.258,43,35.1375,70,35.625,0,36.364,Sell,19,70,Sell,win,0.633,1.745821612,Sellwin
19,2015-10-26T21:00:00Z,35.473,35.5015,35.4515,35.4555,35.60384273,35.57045241,35.53637419,35.50876172,35.49858785,35.63365268,3,1,35.625,3,35.663,17,35.4555,6,35.357,Buy,20,17,Buy,loss,-0.1695,-0.475789474,Buyloss
20,2015-10-29T09:00:00Z,35.603,35.6895,35.589,35.6745,35.5870861,35.56227068,35.54055801,35.52850031,35.53365557,35.38292903,3,2,35.4555,11,35.39,16,35.6745,12,35.691,Sell,21,16,Sell,loss,-0.219,-0.617675678,Sellloss
21,2015-11-04T22:00:00Z,35.5305,35.5655,35.5205,35.5425,35.57887401,35.56500207,35.55546757,35.55232093,35.55297986,35.60269436,3,1,35.6745,2,35.7285,27,35.5425,24,35.4345,Buy,22,27,Buy,loss,-0.132,-0.370012194,Buyloss
22,2015-11-05T22:00:00Z,35.559,35.581,35.546,35.574,35.57782927,35.56581821,35.55820109,35.55659685,35.55881046,35.44882307,3,2,35.5425,2,35.4935,7,35.574,3,35.619,Sell,23,7,Sell,loss,-0.0315,-0.088626292,Sellloss
