Index,status,open_time,open_price,high_setup,real_high,high_bar,low_setup,real_low,low_bar,DD_point,DD_bar,TP_get,TP_bar,TP_same,side,result,profit,prob
0,Sell win,2019-01-22T03:00:00Z,0.71524,0.72071,0.71587,21,0.71602,0.71602,138,0.72213,15,0.7161127,71,0.71444,Sell,win,0.186076759,0.000890319
1,Buy win,2019-01-25T15:00:00Z,0.71659,0.71606,0.71606,39,0.70847,0.71468,14,0.7138,33,0.71691284,59,0.72028,Buy,win,0.042534914,0.000203516
2,Sell win,2019-02-04T14:00:00Z,0.7233,0.72901,0.72689,33,0.72384,0.72384,19,0.72541,0,0.7219551,14,0,Sell,win,0.260135397,0.001244667
3,Sell loss,2019-02-12T22:00:00Z,0.70942,0.71151,0.71151,82,0.70944,0.70944,89,0.71204,4,0.70816074,0,0,Sell,loss,-1.265700483,-0.006055983
4,Buy win,2019-02-13T02:00:00Z,0.71204,0.71151,0.71151,86,0.70944,0.70944,93,0.71076,0,0.71278926,1,0,Buy,win,0.361961353,0.001731873
5,Sell loss,2019-02-15T07:00:00Z,0.70859,0.71292,0.71292,24,0.70879,0.70879,34,0.7145,11,0.70859,0,0.70859,Sell,loss,-1.430992736,-0.006846855
6,Buy win,2019-02-15T18:00:00Z,0.7145,0.71292,0.71292,35,0.70879,0.70879,45,0.71247,0,0.71547234,8,0.70859,Buy,win,0.235433414,0.001126476
7,Buy win,2019-02-19T17:00:00Z,0.71703,0.71603,0.71603,29,0.71067,0.71067,6,0.7141,19,0.71744,23,0.71744,Buy,win,0.076492537,0.000365993
8,Sell win,2019-03-01T16:00:00Z,0.70796,0.71933,0.71151,65,0.70866,0.70866,10,0.7109,6,0.7068987,33,0,Sell,win,0.099465792,0.000475913
9,Sell loss,2019-03-07T19:00:00Z,0.7011,0.70602,0.70602,42,0.70226,0.70226,27,0.70614,43,0.70069,0,0.70069,Sell,loss,-1.340425532,-0.006413519
10,Buy win,2019-03-11T13:00:00Z,0.70614,0.70602,0.70602,85,0.70226,0.70226,70,0.7051,3,0.70834368,23,0.70069,Buy,win,0.586085106,0.002804235
11,Sell loss,2019-03-14T10:00:00Z,0.70444,0.70955,0.70919,15,0.70513,0.70513,33,0.71067,40,0.70444,0,0.70444,Sell,loss,-1.409502262,-0.00674403
12,Buy win,2019-03-18T02:00:00Z,0.71067,0.70955,0.70919,55,0.70513,0.70591,73,0.70865,0,0.71121704,2,0.70444,Buy,win,0.123764706,0.000592176
13,Buy win,2019-03-20T18:00:00Z,0.71427,0.71194,0.71194,59,0.70603,0.70603,18,0.70942,0,0.71559238,6,0,Buy,win,0.223752961,0.001070588
14,Sell loss,2019-03-28T16:00:00Z,0.70679,0.71014,0.71014,11,0.70703,0.70703,25,0.71035,23,0.70679,0,0.70679,Sell,loss,-1.144694534,-0.005477007
15,Buy win,2019-03-29T15:00:00Z,0.71035,0.71014,0.71014,34,0.70703,0.70703,48,0.70844,0,0.71206198,6,0.70679,Buy,win,0.550475884,0.002633856
16,Buy win,2019-04-04T01:00:00Z,0.71263,0.71245,0.71245,10,0.7057,0.71087,26,0.70976,12,0.71263,28,0.71263,Buy,win,0,0
17,Buy win,2019-04-08T17:00:00Z,0.71297,0.71278,0.71278,35,0.70906,0.70906,14,0.7119,5,0.71507896,19,0,Buy,win,0.566924731,0.002712559
18,Buy win,2019-04-10T09:00:00Z,0.7156,0.71498,0.71498,25,0.71127,0.71127,8,0.7131,4,0.71727278,8,0,Buy,win,0.450884097,0.00215734
19,Buy win,2019-04-12T12:00:00Z,0.71836,0.71712,0.71712,44,0.71181,0.71439,18,0.71396,38,0.71852,62,0.71852,Buy,win,0.030131827,0.000144171
20,Sell loss,2019-04-25T09:00:00Z,0.70006,0.72007,0.70454,148,0.70052,0.70052,15,0.70463,39,0.69803564,0,0,Sell,loss,-0.233759591,-0.001118467
21,Buy win,2019-04-29T00:00:00Z,0.70463,0.72007,0.70454,187,0.70052,0.70052,54,0.70391,14,0.70573,16,0.70573,Buy,win,0.056265985,0.000269215
22,Sell win,2019-05-08T19:00:00Z,0.69959,0.70395,0.70237,36,0.7002,0.7002,23,0.70046,0,0.69885894,3,0,Sell,win,0.194949333,0.000932772
23,Sell win,2019-05-13T11:00:00Z,0.69684,0.70171,0.70171,34,0.69695,0.69695,47,0.69781,1,0.69400832,11,0,Sell,win,0.594890756,0.002846367
24,Buy win,2019-05-24T07:00:00Z,0.69006,0.69006,0.69006,7,0.68677,0.68677,66,0.68913,0,0.69209322,7,0,Buy,win,0.618,0.002956938
