,time,open,high,low,close,EMA90,EMA75,EMA60,EMA,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
0,2015-02-03T10:00:00Z,0.90517,0.9107799999999999,0.9030100000000001,0.90717,0.9218358590000001,0.921862283,0.921638373,0.9208626540000001,0.919244585,0.9261060059999999,3,1,0.92956,22,0.93248,45,0.90717,0,0.9030100000000001,Buy,1,45,Buy,loss,-0.02239000000000002,-0.031097222222222252,Buyloss
1,2015-02-16T10:00:00Z,0.9353100000000001,0.93645,0.9339700000000001,0.93614,0.9256868009999999,0.926246363,0.926931678,0.927848096,0.9291835390000001,0.924653469,3,2,0.90717,1,0.9030100000000001,55,0.93614,54,0.93671,Sell,2,55,Sell,loss,-0.02896999999999994,-0.04023611111111103,Sellloss
2,2015-03-10T21:00:00Z,0.92245,0.92481,0.92112,0.92268,0.934127528,0.933974753,0.933395793,0.932099318,0.9296156259999999,0.926973582,3,1,0.93614,72,0.9519200000000001,99,0.92268,97,0.91785,Buy,3,99,Buy,loss,-0.013460000000000027,-0.018694444444444482,Buyloss
3,2015-03-19T13:00:00Z,0.93932,0.94189,0.9385100000000001,0.9407200000000001,0.9359305370000001,0.936185884,0.936465643,0.9369063879999999,0.9377642079999999,0.934352051,3,2,0.92268,6,0.9142600000000001,41,0.9407200000000001,36,0.94584,Sell,4,41,Sell,loss,-0.018040000000000167,-0.02505555555555579,Sellloss
4,2015-04-29T21:00:00Z,0.9223100000000001,0.9223100000000001,0.9122399999999999,0.9160200000000001,0.93284414,0.931622677,0.9301305000000001,0.928355794,0.9263572859999999,0.9305517440000001,3,1,0.9407200000000001,9,0.96194,176,0.9160200000000001,0,0.9122399999999999,Buy,5,176,Buy,loss,-0.024700000000000055,-0.03430555555555563,Buyloss
5,2015-07-23T09:00:00Z,0.86797,0.86823,0.8629899999999999,0.86436,0.85344516,0.853602412,0.8541385840000001,0.855114176,0.856708076,0.855740215,3,2,0.9160200000000001,262,0.8357700000000001,364,0.86436,0,0.9274,Sell,6,364,Sell,win,0.05166000000000004,0.07175000000000005,Sellwin
6,2015-08-14T17:00:00Z,0.8558399999999999,0.8567899999999999,0.8547899999999999,0.85503,0.858999478,0.859036255,0.858921314,0.858521014,0.857693873,0.861467102,3,1,0.86436,21,0.8714,98,0.85503,82,0.8506799999999999,Buy,7,98,Buy,loss,-0.00933000000000006,-0.012958333333333417,Buyloss
7,2015-08-23T21:00:00Z,0.87756,0.8812200000000001,0.87413,0.87545,0.8623732040000001,0.8629479,0.8636830040000001,0.8647506540000001,0.8666137629999999,0.8700747999999999,3,2,0.85503,0,0.8546,32,0.87545,31,0.88308,Sell,8,32,Sell,loss,-0.020419999999999994,-0.0283611111111111,Sellloss
8,2015-09-03T09:00:00Z,0.84205,0.8446299999999999,0.8408899999999999,0.8428,0.853124517,0.851971865,0.8503735309999999,0.848141143,0.845115168,0.850532379,3,1,0.87545,0,0.8812200000000001,51,0.8428,4,0.8234299999999999,Buy,9,51,Buy,loss,-0.03264999999999996,-0.045347222222222164,Buyloss
9,2015-09-30T09:00:00Z,0.85562,0.8563200000000001,0.8514700000000001,0.85454,0.843737634,0.843951848,0.844572512,0.845793902,0.847878296,0.845987132,3,2,0.8428,30,0.82915,115,0.85454,114,0.8571200000000001,Sell,10,115,Sell,loss,-0.011739999999999973,-0.016305555555555518,Sellloss
10,2015-11-09T06:00:00Z,0.87141,0.8715200000000001,0.86795,0.86821,0.876296532,0.87641063,0.8759474279999999,0.874649171,0.872345334,0.8744648759999999,3,1,0.85454,115,0.90092,167,0.86821,10,0.8452700000000001,Buy,11,167,Buy,win,0.013670000000000071,0.01898611111111121,Buywin
11,2015-11-26T18:00:00Z,0.87344,0.8739100000000001,0.8726799999999999,0.87302,0.871263323,0.871195855,0.871221453,0.8715306829999999,0.872330605,0.871187532,3,2,0.86821,45,0.8584200000000001,82,0.87302,54,0.8777799999999999,Sell,12,82,Sell,loss,-0.004809999999999981,-0.006680555555555529,Sellloss
12,2016-01-08T18:00:00Z,0.92599,0.92817,0.92542,0.92627,0.9352821379999999,0.936722327,0.937517908,0.937303012,0.935709268,0.9408785279999999,3,1,0.87302,130,0.95729,174,0.92627,3,0.8702200000000001,Buy,13,174,Buy,win,0.05325000000000002,0.07395833333333336,Buywin
13,2016-04-01T09:00:00Z,0.8989799999999999,0.90205,0.89854,0.90041,0.891756861,0.8915974090000001,0.8918606020000001,0.892759352,0.894560583,0.8927,3,2,0.92627,317,0.87529,359,0.90041,43,0.94557,Sell,14,359,Sell,win,0.025859999999999994,0.03591666666666666,Sellwin
14,2016-04-14T01:00:00Z,0.8849,0.88566,0.8787,0.8794299999999999,0.8894038240000001,0.888958927,0.8884629059999999,0.8877588359999999,0.88661701,0.889210005,3,1,0.90041,0,0.90205,52,0.8794299999999999,0,0.8787,Buy,15,52,Buy,loss,-0.02098000000000011,-0.02913888888888904,Buyloss
15,2016-06-08T05:00:00Z,0.89143,0.8915200000000001,0.8888299999999999,0.8889299999999999,0.8857214859999999,0.886469233,0.887409508,0.888559399,0.88983069,0.8852499629999999,3,2,0.8794299999999999,57,0.8610899999999999,236,0.8889299999999999,221,0.90066,Sell,16,236,Sell,loss,-0.009499999999999953,-0.013194444444444378,Sellloss
16,2016-07-20T17:00:00Z,0.9173100000000001,0.91794,0.9159999999999999,0.91689,0.926564004,0.926955615,0.926732943,0.925512911,0.9227566690000001,0.92064133,3,1,0.8889299999999999,152,0.95529,183,0.91689,1,0.88685,Buy,17,183,Buy,win,0.027960000000000096,0.03883333333333347,Buywin
17,2016-08-01T01:00:00Z,0.93958,0.94221,0.93827,0.94168,0.92792097,0.928499628,0.929128904,0.9301164279999999,0.932127864,0.934785658,3,2,0.91689,6,0.9083200000000001,45,0.94168,43,0.9430700000000001,Sell,18,45,Sell,loss,-0.02478999999999998,-0.03443055555555553,Sellloss
18,2016-08-18T13:00:00Z,0.932,0.93315,0.92955,0.93096,0.9348753740000001,0.9350986170000001,0.935111217,0.934793247,0.933985831,0.9370637959999999,3,1,0.94168,47,0.9575899999999999,81,0.93096,76,0.9285399999999999,Buy,19,81,Buy,loss,-0.010719999999999952,-0.014888888888888821,Buyloss
19,2016-08-30T21:00:00Z,0.94529,0.94865,0.94478,0.9483,0.93987749,0.9405378440000001,0.94126217,0.94210609,0.943102157,0.9383643840000001,3,2,0.93096,4,0.9276399999999999,51,0.9483,0,0.94865,Sell,20,51,Sell,loss,-0.017340000000000022,-0.024083333333333363,Sellloss
20,2016-10-06T13:00:00Z,0.94258,0.9469,0.9424299999999999,0.94486,0.9538752640000001,0.953596085,0.9529720909999999,0.951877767,0.9501281659999999,0.947715141,3,1,0.9483,88,0.9735,160,0.94486,159,0.9416700000000001,Buy,21,160,Buy,loss,-0.0034399999999999986,-0.004777777777777776,Buyloss
21,2016-10-21T17:00:00Z,0.95347,0.9552700000000001,0.95299,0.95457,0.945633072,0.94526229,0.945081367,0.9454088359999999,0.946825149,0.946511835,3,2,0.94486,38,0.92984,68,0.95457,0,0.9552700000000001,Sell,22,68,Sell,loss,-0.009709999999999996,-0.013486111111111107,Sellloss
22,2016-11-16T18:00:00Z,0.94985,0.951,0.94875,0.95055,0.9644953759999999,0.9649306879999999,0.9649506990000001,0.964086002,0.961524587,0.958516588,3,1,0.95457,74,0.9924700000000001,108,0.95055,107,0.94652,Buy,23,108,Buy,loss,-0.0040200000000000236,-0.005583333333333366,Buyloss
23,2017-01-18T02:00:00Z,0.9416,0.94205,0.9401,0.94015,0.93281238,0.9326448740000001,0.9327640490000001,0.933331342,0.934635597,0.9334306370000001,3,2,0.95055,211,0.9202600000000001,255,0.94015,58,0.9632700000000001,Sell,24,255,Sell,win,0.010399999999999965,0.014444444444444395,Sellwin
24,2017-02-14T22:00:00Z,0.93663,0.9385100000000001,0.93632,0.9375600000000001,0.94726617,0.9471347309999999,0.946604013,0.945399201,0.9431132720000001,0.941004834,3,1,0.94015,84,0.9653,119,0.9375600000000001,118,0.9346,Buy,25,119,Buy,loss,-0.002589999999999981,-0.003597222222222196,Buyloss
25,2017-03-28T05:00:00Z,0.9420000000000001,0.9421799999999999,0.93958,0.9409700000000001,0.9385114370000001,0.938464503,0.938591975,0.938988721,0.939718046,0.936704538,3,2,0.9375600000000001,131,0.92724,177,0.9409700000000001,59,0.96093,Sell,26,177,Sell,loss,-0.003410000000000024,-0.004736111111111145,Sellloss
26,2017-04-10T21:00:00Z,0.9272,0.9285899999999999,0.9261299999999999,0.9265200000000001,0.9350121570000001,0.934577227,0.934059325,0.933371979,0.9323441179999999,0.9327762409999999,3,1,0.9409700000000001,0,0.9421799999999999,58,0.9265200000000001,0,0.9261299999999999,Buy,27,58,Buy,loss,-0.014449999999999963,-0.020069444444444393,Buyloss
27,2017-04-19T17:00:00Z,0.9429799999999999,0.94471,0.9429700000000001,0.9441700000000001,0.93430367,0.934290527,0.9344756670000001,0.9350565129999999,0.9364930109999999,0.9384592279999999,3,2,0.9265200000000001,11,0.91714,42,0.9441700000000001,0,0.94471,Sell,28,42,Sell,loss,-0.017649999999999944,-0.02451388888888881,Sellloss
28,2017-05-16T13:00:00Z,0.93684,0.93821,0.9344899999999999,0.935,0.9415233000000001,0.941562363,0.941431197,0.9409949459999999,0.940062016,0.94527653,3,1,0.9441700000000001,55,0.95524,113,0.935,35,0.93176,Buy,29,113,Buy,loss,-0.009170000000000011,-0.012736111111111127,Buyloss
29,2017-05-29T09:00:00Z,0.95084,0.9535799999999999,0.95025,0.9527700000000001,0.944051265,0.9444787029999999,0.9450252659999999,0.9458083840000001,0.947036808,0.944173222,3,2,0.935,18,0.9333799999999999,54,0.9527700000000001,0,0.9535799999999999,Sell,30,54,Sell,loss,-0.017770000000000064,-0.024680555555555643,Sellloss
30,2017-07-04T05:00:00Z,0.9444,0.94639,0.9438,0.94558,0.95633261,0.955886453,0.955071728,0.95374313,0.951681234,0.950496138,3,1,0.9527700000000001,53,0.9758100000000001,155,0.94558,0,0.9438,Buy,31,155,Buy,loss,-0.007190000000000141,-0.009986111111111307,Buyloss
31,2017-09-21T01:00:00Z,0.9053,0.90602,0.9031600000000001,0.9034,0.893302105,0.8924830290000001,0.892196129,0.892833955,0.895044297,0.9025476,3,2,0.94558,301,0.87408,342,0.9034,18,0.9470200000000001,Sell,32,342,Sell,win,0.042179999999999995,0.058583333333333334,Sellwin
32,2017-10-09T21:00:00Z,0.88645,0.88749,0.88574,0.88679,0.8939333890000001,0.893595281,0.893212275,0.892572755,0.89131942,0.8917654890000001,3,1,0.9034,10,0.90622,77,0.88679,71,0.8839899999999999,Buy,33,77,Buy,loss,-0.016610000000000014,-0.023069444444444462,Buyloss
