time,open,high,low,close,Basis,Upper,Lower,%K,%D
2022-07-01T08:45:00+07:00,0.68847,0.689,0.68821,0.68833,0.6895115,0.690742715,0.688280285,19.17857849,14.84884982
2022-07-01T09:00:00+07:00,0.68833,0.68904,0.68805,0.68873,0.6894435,0.690689538,0.688197462,36.56869498,24.04044464
2022-07-01T09:15:00+07:00,0.68873,0.68877,0.68786,0.68805,0.6893335,0.690661088,0.688005912,32.56572693,29.4376668
2022-07-01T09:30:00+07:00,0.68805,0.68817,0.68716,0.68762,0.689211,0.690687887,0.687734113,32.72855802,33.95432665
2022-07-01T09:45:00+07:00,0.68762,0.688,0.68704,0.68767,0.689089,0.690649435,0.687528565,24.02326001,29.77251499
2022-07-01T10:00:00+07:00,0.68767,0.68775,0.68557,0.68594,0.6889135,0.690979639,0.686847361,22.2103031,26.32070704
2022-07-01T10:15:00+07:00,0.68594,0.68619,0.68404,0.68445,0.6886545,0.691462079,0.685846921,16.94363344,21.05906552
2022-07-01T10:30:00+07:00,0.68445,0.68472,0.68414,0.68418,0.6883695,0.69172531,0.68501369,7.573576942,15.57583783
2022-07-01T10:45:00+07:00,0.68418,0.68419,0.6824,0.68321,0.6880385,0.692003433,0.684073567,8.840730778,11.11931372
2022-07-01T11:00:00+07:00,0.68321,0.6836,0.68248,0.68263,0.6876725,0.692178549,0.683166451,7.384393881,7.932900534
2022-07-01T11:15:00+07:00,0.68263,0.68293,0.6813,0.68145,0.687252,0.692388542,0.682115458,7.276945266,7.834023308
2022-07-01T11:30:00+07:00,0.68145,0.68248,0.68136,0.68235,0.686879,0.692294237,0.681463763,12.68943482,9.116924657
2022-07-01T11:45:00+07:00,0.68235,0.6826,0.68213,0.68225,0.6865035,0.692105847,0.680901153,22.21373712,14.06003907
2022-07-01T12:00:00+07:00,0.68225,0.68252,0.68167,0.68239,0.6861435,0.691830922,0.680456078,36.98834368,23.96383854
2022-07-01T12:15:00+07:00,0.68239,0.68262,0.68167,0.68259,0.685775,0.691379992,0.680170008,53.13479365,37.44562482
2022-07-01T12:30:00+07:00,0.68259,0.68273,0.68177,0.68237,0.6854305,0.690983065,0.679877935,66.75167879,52.29160538
2022-07-01T12:45:00+07:00,0.68237,0.68319,0.68232,0.68281,0.6851175,0.690517807,0.679717193,75.95457734,65.28034993
2022-07-01T13:00:00+07:00,0.68281,0.68337,0.6824,0.68301,0.684841,0.690075799,0.679606201,75.84871905,72.8516584
2022-07-01T13:15:00+07:00,0.68301,0.68372,0.68284,0.68317,0.6845835,0.68961099,0.67955601,75.66475371,75.82268337
2022-07-01T13:30:00+07:00,0.68317,0.68318,0.68254,0.68291,0.6843055,0.689049513,0.679561487,70.15193319,73.88846865
2022-07-01T13:45:00+07:00,0.68291,0.68318,0.68185,0.68225,0.6840015,0.688444662,0.679558338,51.00754817,65.60807836
