time,open,high,low,close,%K,%D,ATR
2020-01-03T11:00:00+07:00,108.182,108.23,108.126,108.133,20.90066433,14.81894571,0.152714286
2020-01-03T12:00:00+07:00,108.133,108.165,108.08,108.122,27.01368831,21.16477985,0.125142857
2020-01-03T13:00:00+07:00,108.122,108.152,108.081,108.141,36.76482927,28.22639397,0.117
2020-01-03T14:00:00+07:00,108.141,108.142,107.914,107.945,32.05614806,31.94488854,0.1245
2020-01-03T15:00:00+07:00,107.945,108.073,107.929,107.993,31.05915784,33.29337839,0.130428571
2020-01-03T16:00:00+07:00,107.993,108.069,107.921,108.068,32.05490275,31.72340288,0.136642857
2020-01-03T17:00:00+07:00,108.068,108.132,108.016,108.051,47.97253563,37.02886541,0.14
2020-01-03T18:00:00+07:00,108.051,108.117,107.997,108.028,56.30586896,45.44443578,0.145571429
2020-01-03T19:00:00+07:00,108.028,108.156,108.022,108.085,59.11675308,54.46505256,0.150642857
2020-01-03T20:00:00+07:00,108.085,108.163,108.085,108.157,72.43596507,62.61952904,0.149857143
2020-01-03T21:00:00+07:00,108.157,108.269,108.143,108.219,82.97518075,71.50929963,0.146714286
2020-01-03T22:00:00+07:00,108.219,108.219,107.997,108.038,64.73727921,73.38280834,0.142928571
2020-01-03T23:00:00+07:00,108.038,108.04,107.916,107.947,35.15768205,60.956714,0.134285714
2020-01-04T00:00:00+07:00,107.947,107.989,107.934,107.968,12.86209243,37.58568456,0.125357143
2020-01-04T01:00:00+07:00,107.968,108.074,107.84,108.043,23.6106984,23.87682429,0.134642857
2020-01-04T02:00:00+07:00,108.043,108.091,108.011,108.012,35.81093709,24.09457597,0.134285714
2020-01-04T03:00:00+07:00,108.012,108.12,108.012,108.093,61.01969198,40.14710915,0.136928571
2020-01-04T04:00:00+07:00,108.093,108.124,108.074,108.075,72.82873583,56.55312163,0.124214286
2020-01-06T05:00:00+07:00,107.84,107.934,107.799,107.8,57.80377135,63.88406638,0.133642857
2020-01-06T06:00:00+07:00,107.8,107.981,107.771,107.969,46.38160758,59.00470492,0.138071429
2020-01-06T07:00:00+07:00,107.969,108.122,107.948,108.067,46.75034503,50.31190798,0.142214286
2020-01-06T08:00:00+07:00,108.067,108.085,107.916,107.947,63.26723324,52.13306195,0.145714286
2020-01-06T09:00:00+07:00,107.947,108.057,107.929,108.03,69.16674065,59.72810631,0.145285714
2020-01-06T10:00:00+07:00,108.03,108.076,108.008,108.056,68.28137064,66.90511484,0.144571429
2020-01-06T11:00:00+07:00,108.056,108.104,108.033,108.062,75.2865138,70.9115417,0.140642857
2020-01-06T12:00:00+07:00,108.062,108.072,108.033,108.059,76.04473246,73.20420563,0.127571429
2020-01-06T13:00:00+07:00,108.059,108.072,107.971,108.052,72.40777683,74.57967436,0.125928571
2020-01-06T14:00:00+07:00,108.052,108.178,108.026,108.102,69.87818941,72.77689957,0.132857143
