time,open,high,low,close,Basis90,Upper90,Lower90,Basis20,Upper20,Lower20,RSI
2022-01-05T01:30:00+07:00,0.6632,0.66331,0.66283,0.6631,0.661778222,0.663804331,0.659752114,0.661899,0.663656497,0.660141503,61.33867143
2022-01-05T02:00:00+07:00,0.6631,0.66325,0.66277,0.66289,0.661796333,0.663832704,0.659759963,0.661933,0.663738891,0.660127109,58.73980152
2022-01-05T02:30:00+07:00,0.66289,0.66374,0.66289,0.66361,0.661818667,0.663889727,0.659747606,0.6620185,0.663966384,0.660070616,64.3213697
2022-01-05T03:00:00+07:00,0.66361,0.66404,0.66361,0.66398,0.661823,0.663910434,0.659735566,0.662109,0.664236533,0.659981467,66.80640798
2022-01-05T03:30:00+07:00,0.66398,0.66402,0.66328,0.66328,0.661828,0.663927181,0.659728819,0.6622145,0.664354542,0.660074458,58.50421095
2022-01-05T04:00:00+07:00,0.66328,0.66381,0.66328,0.66378,0.661829333,0.663933314,0.659725352,0.662343,0.664534366,0.660151634,62.12485527
2022-01-05T04:30:00+07:00,0.66378,0.66379,0.66266,0.66266,0.661822222,0.663910541,0.659733904,0.6624055,0.664557815,0.660253185,51.32242017
2022-01-05T05:00:00+07:00,0.66266,0.66279,0.66163,0.66164,0.661793556,0.663819324,0.659767788,0.662452,0.664493094,0.660410906,43.84512653
2022-01-05T05:30:00+07:00,0.66164,0.66324,0.66161,0.66243,0.661793333,0.663818818,0.659767849,0.6625525,0.664369078,0.660735922,49.92968707
2022-01-05T06:00:00+07:00,0.66243,0.66364,0.66243,0.66364,0.661804667,0.663859725,0.659749609,0.662714,0.66429959,0.66112841,57.52162459
2022-01-05T06:30:00+07:00,0.66364,0.66366,0.66319,0.6632,0.661806111,0.663864904,0.659747318,0.662809,0.66426686,0.66135114,54.29755377
2022-01-05T07:00:00+07:00,0.6632,0.66364,0.66318,0.66359,0.661816333,0.663901153,0.659731513,0.6629085,0.664292484,0.661524516,56.61854833
2022-01-05T07:30:00+07:00,0.66359,0.66369,0.66314,0.66357,0.661826556,0.663936496,0.659716615,0.6630175,0.664239889,0.661795111,56.46019503
2022-01-05T08:00:00+07:00,0.66357,0.66386,0.66313,0.66331,0.661828222,0.663942606,0.659713839,0.6630795,0.664226853,0.661932147,54.33275109
2022-01-05T08:30:00+07:00,0.66331,0.66349,0.6623,0.66284,0.661826,0.6639357,0.6597163,0.6631015,0.66421218,0.66199082,50.61959178
2022-01-05T09:00:00+07:00,0.66284,0.66313,0.66244,0.66307,0.661827556,0.663940713,0.659714398,0.6631455,0.664175014,0.662115986,52.33625351
2022-01-05T09:30:00+07:00,0.66307,0.66323,0.66264,0.66265,0.661826222,0.66393715,0.659715295,0.663127,0.664177944,0.662076056,48.9872237
2022-01-05T10:00:00+07:00,0.66265,0.66281,0.66208,0.66218,0.661820889,0.66392578,0.659715998,0.6630725,0.6641985,0.6619465,45.47995034
2022-01-05T10:30:00+07:00,0.66218,0.66291,0.66213,0.66281,0.661818556,0.663918584,0.659718527,0.6630715,0.664198394,0.661944606,50.58684338
2022-01-05T11:00:00+07:00,0.66281,0.66303,0.66262,0.66297,0.661817556,0.663915303,0.659719808,0.66306,0.664186108,0.661933892,51.82114448
2022-01-05T11:30:00+07:00,0.66297,0.66304,0.66262,0.66276,0.661813222,0.663901532,0.659724912,0.663043,0.664176421,0.661909579,50.05388507
2022-01-05T12:00:00+07:00,0.66276,0.66288,0.66222,0.66231,0.661797889,0.663850818,0.659744959,0.663014,0.664190459,0.661837541,46.40207167
2022-01-05T12:30:00+07:00,0.66231,0.66234,0.66177,0.66189,0.661788889,0.663833003,0.659744774,0.662928,0.664167397,0.661688603,43.23180624
2022-01-05T13:00:00+07:00,0.66189,0.66211,0.66174,0.66198,0.661782333,0.66382016,0.659744506,0.662828,0.664034028,0.661621972,44.11295114
2022-01-05T13:30:00+07:00,0.66198,0.66244,0.66197,0.66217,0.661788444,0.663827586,0.659749303,0.6627725,0.663992301,0.661552699,46.01791902
2022-01-05T14:00:00+07:00,0.66217,0.66228,0.66192,0.66199,0.661785222,0.663822162,0.659748283,0.662683,0.663855742,0.661510258,44.47138072
2022-01-05T14:30:00+07:00,0.66199,0.66247,0.66184,0.66211,0.661790222,0.663828117,0.659752328,0.6626555,0.663854608,0.661456392,45.77962735
2022-01-05T15:00:00+07:00,0.66211,0.66241,0.66152,0.66231,0.661801889,0.66383953,0.659764248,0.662689,0.663807479,0.661570521,47.9794182
2022-01-05T15:30:00+07:00,0.66231,0.66308,0.6623,0.66259,0.661818333,0.663857262,0.659779405,0.662697,0.663810231,0.661583769,50.97804382
2022-01-05T16:00:00+07:00,0.66259,0.6632,0.66252,0.66279,0.661835,0.663880892,0.659789108,0.6626545,0.663682089,0.661626911,53.05942717
2022-01-05T16:30:00+07:00,0.66279,0.66387,0.66274,0.66373,0.661859444,0.663942411,0.659776478,0.662681,0.663787777,0.661574223,61.36272268
2022-01-05T17:00:00+07:00,0.66373,0.66395,0.66329,0.66349,0.661886222,0.663990277,0.659782168,0.662676,0.663767099,0.661584901,58.51662719
2022-01-05T17:30:00+07:00,0.66349,0.66378,0.66317,0.66354,0.661917444,0.664035294,0.659799595,0.6626745,0.66376075,0.66158825,58.94386176
2022-01-05T18:00:00+07:00,0.66354,0.66411,0.66326,0.66355,0.661948556,0.664079117,0.659817994,0.6626865,0.663805379,0.661567621,59.03473224
2022-01-05T18:30:00+07:00,0.66355,0.66444,0.66355,0.66403,0.661983778,0.664145772,0.659821784,0.662746,0.664008543,0.661483457,63.24045601
2022-01-05T19:00:00+07:00,0.66403,0.66443,0.66385,0.66424,0.662017889,0.664223876,0.659811902,0.6628045,0.664220741,0.661388259,64.93652176
2022-01-05T19:30:00+07:00,0.66424,0.66442,0.66403,0.66424,0.662061778,0.664285611,0.659837944,0.662884,0.664429256,0.661338744,64.93652176
2022-01-05T20:00:00+07:00,0.66424,0.66514,0.66393,0.66495,0.662110667,0.664392124,0.659829209,0.6630225,0.664773395,0.661271605,70.30827881
2022-01-05T20:30:00+07:00,0.66495,0.66507,0.66402,0.66445,0.662149,0.664470113,0.659827887,0.6631045,0.664958485,0.661250515,62.98969257
