time,open,high,low,close,EMA60,ParabolicSAR
2019-01-04T11:00:00Z,0.70423,0.70491,0.70409,0.70433,0.700073613,0.701026514
2019-01-04T12:00:00Z,0.70433,0.70475,0.70406,0.70462,0.700271282,0.701379593
2019-01-04T13:00:00Z,0.70462,0.70472,0.70259,0.70435,0.700448617,0.701704425
2019-01-04T14:00:00Z,0.70435,0.70452,0.70345,0.70392,0.700599547,0.702003271
2019-01-04T15:00:00Z,0.70392,0.71053,0.70353,0.71052,0.701030871,0.70227821
2019-01-04T16:00:00Z,0.71052,0.71126,0.70943,0.71068,0.701450398,0.703103389
2019-01-04T17:00:00Z,0.71068,0.71175,0.71,0.71102,0.701866468,0.70353
2019-01-04T18:00:00Z,0.71102,0.71214,0.71092,0.7118,0.702298361,0.7046808
2019-01-04T19:00:00Z,0.7118,0.71246,0.71138,0.71162,0.702703649,0.705874272
2019-01-04T20:00:00Z,0.71162,0.7117,0.71111,0.71155,0.703088273,0.707059703
2019-01-04T21:00:00Z,0.71155,0.71222,0.71132,0.71147,0.703452696,0.708031756
2019-01-06T22:00:00Z,0.7114,0.71209,0.71087,0.71154,0.703804318,0.70882884
2019-01-06T23:00:00Z,0.71154,0.71246,0.71154,0.71234,0.704175435,0.709482449
2019-01-07T00:00:00Z,0.71234,0.71262,0.71148,0.7115,0.704493894,0.710018408
2019-01-07T01:00:00Z,0.7115,0.71311,0.71146,0.71295,0.704861551,0.710538727
2019-01-07T02:00:00Z,0.71295,0.71358,0.7124,0.7127,0.705202353,0.711052981
2019-01-07T03:00:00Z,0.7127,0.71378,0.71218,0.71351,0.705563555,0.71146
2019-01-07T04:00:00Z,0.71351,0.71378,0.71313,0.71319,0.70589514,0.711924
2019-01-07T05:00:00Z,0.71319,0.71351,0.71303,0.71307,0.70620709,0.71218
2019-01-07T06:00:00Z,0.71307,0.71349,0.71255,0.71324,0.706512869,0.7125
