time,open,high,low,close,Basis,Upper1,Lower1,Upper2.5,Lower2.5,Upper2,Lower2
2015-01-07T06:00:00Z,0.8071,0.80814,0.80534,0.80612,0.809811,0.812488217,0.807133783,0.816504042,0.803117958,0.815165433,0.804456567
2015-01-07T10:00:00Z,0.80612,0.80809,0.80508,0.80551,0.809406,0.812090544,0.806721456,0.816117359,0.802694641,0.814775087,0.804036913
2015-01-07T14:00:00Z,0.80551,0.80561,0.80324,0.80508,0.8089495,0.811553377,0.806345623,0.815459192,0.802439808,0.814157254,0.803741746
2015-01-07T18:00:00Z,0.80508,0.809,0.80358,0.80738,0.808777,0.811364812,0.806189188,0.81524653,0.80230747,0.813952624,0.803601376
2015-01-07T22:00:00Z,0.80738,0.81061,0.80696,0.80933,0.808683,0.811214255,0.806151745,0.815011137,0.802354863,0.81374551,0.80362049
2015-01-08T02:00:00Z,0.80933,0.81158,0.8085,0.81131,0.8088285,0.811422172,0.806234828,0.815312679,0.802344321,0.814015843,0.803641157
2015-01-08T06:00:00Z,0.81131,0.81252,0.80924,0.81108,0.8089705,0.811605479,0.806335521,0.815557948,0.802383052,0.814240458,0.803700542
2015-01-08T10:00:00Z,0.81108,0.81156,0.80938,0.81082,0.80926,0.811760792,0.806759208,0.81551198,0.80300802,0.814261584,0.804258416
2015-01-08T14:00:00Z,0.81082,0.81305,0.80935,0.81282,0.8094685,0.812081078,0.806855922,0.815999944,0.802937056,0.814693656,0.804243344
2015-01-08T18:00:00Z,0.81282,0.81295,0.81041,0.81223,0.8096985,0.812341406,0.807055594,0.816305765,0.803091235,0.814984312,0.804412688
2015-01-08T22:00:00Z,0.81223,0.81398,0.81054,0.81301,0.8098965,0.812630183,0.807162817,0.816730708,0.803062292,0.815363866,0.804429134
2015-01-09T02:00:00Z,0.81301,0.81469,0.813,0.81398,0.8101805,0.813026317,0.807334683,0.817295043,0.803065957,0.815872134,0.804488866
2015-01-09T06:00:00Z,0.81398,0.81409,0.81137,0.81206,0.810202,0.813060284,0.807343716,0.817347709,0.803056291,0.815918568,0.804485432
2015-01-09T10:00:00Z,0.81206,0.81741,0.81196,0.81534,0.8102555,0.813198193,0.807312807,0.817612234,0.802898766,0.816140887,0.804370113
