index,status,open_price,high_bar,low_bar,range,TP_bar,side,setup,consec,profit%
125,Sell win,0.88263,142,192,80,137,Sell,0.149700599,6,0
126,Sell loss,0.87994,37,47,40,0,Sell,0.119047619,7,-80
127,Buy loss,0.88311,122,132,40,0,Buy,-0.039370079,6,-110
128,Sell win,0.87866,137,147,40,1,Sell,0.035211268,0,5
129,Buy loss,0.87916,45,9,30,0,Buy,0.666666667,1,-105
130,Sell win,0.87616,90,54,30,37,Sell,-0.25,0,0
131,Sell win,0.87493,17,68,35,22,Sell,0.6,1,50
132,Sell win,0.87023,8,21,30,15,Sell,0.448275862,2,5
133,Sell win,0.86894,25,7,25,14,Sell,-0.5625,3,20
134,Sell win,0.86448,17,57,30,30,Sell,0.540540541,4,25
135,Buy win,0.86134,31,50,45,1,Buy,-0.234567901,5,20
136,Buy win,0.86629,15,35,25,2,Buy,-0.4,6,20
137,Sell win,0.86257,25,46,25,2,Sell,0.295774648,7,50
138,Sell win,0.86034,7,19,10,2,Sell,0.461538462,8,45
139,Sell win,0.85594,23,48,20,21,Sell,0.352112676,9,30
140,Buy loss,0.85787,42,49,25,0,Buy,-0.076923077,10,-120
141,Sell loss,0.85505,55,62,25,0,Sell,0.05982906,9,-100
142,Buy win,0.85737,61,68,25,35,Buy,-0.054263566,0,45
143,Buy win,0.85969,52,11,35,32,Buy,0.650793651,1,60
144,Buy win,0.85974,17,95,60,2,Buy,-0.696428571,2,15
145,Sell win,0.85157,188,37,100,1,Sell,-0.671111111,3,15
146,Buy loss,0.8552,42,55,40,0,Buy,-0.134020619,4,-105
147,Sell win,0.85084,89,102,40,48,Sell,0.068062827,0,10
148,Buy win,0.85003,28,41,25,2,Buy,-0.188405797,1,60
149,Buy win,0.85941,17,49,105,2,Buy,-0.484848485,2,0
150,Buy win,0.86657,50,17,30,4,Buy,0.492537313,3,30
151,Buy loss,0.86801,23,16,15,0,Buy,0.179487179,4,-120
152,Sell win,0.86645,25,18,15,4,Sell,-0.162790698,0,55
153,Sell loss,0.86489,5,37,40,0,Sell,0.761904762,1,-110
154,Buy win,0.86923,64,96,40,131,Buy,-0.2,0,60
155,Sell win,0.86225,8,16,30,2,Sell,0.333333333,1,25
156,Buy win,0.86403,17,6,25,38,Buy,0.47826087,2,60
157,Buy loss,0.87182,15,62,45,0,Buy,-0.61038961,3,-45
158,Sell win,0.86963,30,77,45,1,Sell,0.439252336,0,15
159,Sell win,0.86851,38,54,20,87,Sell,0.173913043,1,10
160,Buy win,0.86999,22,47,20,11,Buy,-0.362318841,2,35
161,Sell win,0.8666,48,28,40,5,Sell,-0.263157895,3,15
162,Sell win,0.86461,12,17,35,25,Sell,0.172413793,4,60
163,Buy loss,0.8694,46,86,65,0,Buy,-0.303030303,5,-60
164,Sell win,0.86528,78,118,65,3,Sell,0.204081633,0,15
165,Sell win,0.85855,14,42,20,25,Sell,0.5,1,10
166,Buy win,0.86149,37,22,25,52,Buy,0.254237288,2,30
167,Buy win,0.86305,14,64,45,39,Buy,-0.641025641,3,15
168,Buy win,0.86195,13,41,25,2,Buy,-0.518518519,4,45
169,Buy win,0.86506,49,9,25,4,Buy,0.689655172,5,45
170,Sell win,0.86353,7,13,20,31,Sell,0.3,6,20
171,Buy win,0.85905,9,21,10,4,Buy,-0.4,7,50
172,Buy win,0.86108,37,88,35,2,Buy,-0.408,8,45
173,Buy win,0.86091,51,38,30,12,Buy,0.146067416,9,60
174,Sell loss,0.85923,34,20,30,0,Sell,-0.259259259,10,-110
175,Buy win,0.86275,46,32,30,37,Buy,0.179487179,0,30
176,Buy loss,0.8599,7,18,15,0,Buy,-0.44,1,-110
177,Sell win,0.85816,17,28,15,1,Sell,0.244444444,0,55
178,Sell loss,0.85702,67,156,50,0,Sell,0.399103139,1,-25
179,Buy win,0.85836,146,235,50,4,Buy,-0.233595801,0,10
180,Sell win,0.85494,28,81,50,41,Sell,0.486238532,1,0
181,Buy win,0.85863,38,26,25,10,Buy,0.1875,2,55
182,Sell win,0.85829,32,25,15,4,Sell,-0.122807018,3,60
183,Buy loss,0.8598,15,40,30,0,Buy,-0.454545455,4,-30
184,Sell loss,0.85899,48,73,30,0,Sell,0.20661157,3,-40
185,Buy win,0.86019,60,85,30,1,Buy,-0.172413793,0,0
186,Buy loss,0.86117,96,35,35,0,Buy,0.465648855,1,-120
187,Sell win,0.85684,176,115,35,52,Sell,-0.209621993,0,60
188,Buy win,0.85807,35,41,35,51,Buy,-0.078947368,1,45
189,Sell win,0.85364,24,48,25,37,Sell,0.333333333,2,0
190,Sell win,0.85211,38,19,30,4,Sell,-0.333333333,3,10
191,Buy win,0.85589,9,41,45,4,Buy,-0.64,4,10
192,Buy win,0.85499,25,41,35,16,Buy,-0.242424242,5,35
193,Buy win,0.8641,62,38,15,1,Buy,0.24,6,50
194,Sell win,0.85488,9,45,20,4,Sell,0.666666667,7,55
195,Sell win,0.85035,11,27,10,1,Sell,0.421052632,8,5
196,Sell win,0.85198,12,20,10,1,Sell,0.25,9,30
197,Sell win,0.85095,38,32,15,3,Sell,-0.085714286,10,30
198,Sell win,0.84686,47,20,15,3,Sell,-0.402985075,11,40
199,Sell loss,0.84607,46,21,20,0,Sell,-0.373134328,12,-105
200,Buy win,0.84829,61,36,20,3,Buy,0.257731959,0,55
201,Sell loss,0.85078,74,16,25,0,Sell,-0.644444444,1,-125
202,Buy win,0.85393,90,32,25,2,Buy,0.475409836,0,35
203,Buy win,0.85663,28,63,20,53,Buy,-0.384615385,1,50
204,Buy win,0.85804,8,84,15,2,Buy,-0.826086957,2,20
205,Buy loss,0.85988,25,15,15,0,Buy,0.25,3,-155
206,Sell win,0.85777,73,63,15,38,Sell,-0.073529412,0,0
207,Buy win,0.85798,27,33,15,2,Buy,-0.1,1,20
208,Sell win,0.85815,8,29,15,20,Sell,0.567567568,2,45
209,Sell win,0.85322,57,39,55,6,Sell,-0.1875,3,20
210,Sell win,0.85267,12,8,10,27,Sell,-0.2,4,30
211,Sell loss,0.8514,9,43,20,11,Sell,0.653846154,5,-120
212,Buy win,0.85378,9,43,20,6,Buy,-0.653846154,0,55
213,Sell win,0.85327,23,14,20,35,Sell,-0.243243243,1,30
214,Buy win,0.85329,7,23,10,2,Buy,-0.533333333,2,50
215,Buy win,0.85932,44,14,20,37,Buy,0.517241379,3,55
216,Sell loss,0.85311,19,82,40,0,Sell,0.623762376,4,-145
217,Buy win,0.85889,71,134,40,3,Buy,-0.307317073,0,30
218,Sell win,0.86154,40,54,35,4,Sell,0.14893617,1,55
219,Sell win,0.85784,6,37,30,5,Sell,0.720930233,2,50
220,Sell win,0.85046,100,35,65,4,Sell,-0.481481481,3,15
221,Buy loss,0.84958,21,8,15,0,Buy,0.448275862,4,-105
222,Sell win,0.84813,37,24,15,9,Sell,-0.213114754,0,55
223,Sell loss,0.84757,17,40,15,0,Sell,0.403508772,1,-130
224,Buy loss,0.84959,37,60,15,0,Buy,-0.237113402,0,-125
225,Sell win,0.84758,61,84,15,7,Sell,0.15862069,0,55
226,Sell win,0.84561,5,45,25,5,Sell,0.8,1,50
227,Sell win,0.84242,8,48,30,46,Sell,0.714285714,2,5
228,Buy win,0.84414,49,27,15,8,Buy,0.289473684,3,55
229,Sell win,0.8428,58,21,35,2,Sell,-0.46835443,4,5
230,Sell win,0.84343,10,29,10,1,Sell,0.487179487,5,10
231,Sell loss,0.84349,54,9,40,20,Sell,-0.714285714,6,-50
232,Buy win,0.84548,54,9,40,1,Buy,0.714285714,0,10
233,Sell win,0.84724,13,33,15,2,Sell,0.434782609,1,35
234,Buy win,0.85606,58,24,25,24,Buy,0.414634146,2,15
235,Sell win,0.85438,31,39,20,17,Sell,0.114285714,3,50
236,Sell loss,0.83851,9,25,10,0,Sell,0.470588235,4,-115
237,Buy win,0.83984,11,27,10,6,Buy,-0.421052632,0,60
238,Sell win,0.8382,12,18,20,19,Sell,0.2,1,0
239,Sell win,0.8397,34,13,25,3,Sell,-0.446808511,2,15
240,Buy win,0.84366,27,10,30,10,Buy,0.459459459,3,55
241,Buy win,0.8499,77,46,45,16,Buy,0.25203252,4,50
242,Sell loss,0.84923,40,57,35,0,Sell,0.175257732,5,-110
243,Buy win,0.85295,84,101,35,8,Buy,-0.091891892,0,60
244,Buy win,0.85531,127,44,60,20,Buy,0.485380117,1,55
245,Sell win,0.85099,114,9,65,2,Sell,-0.853658537,2,15
246,Buy loss,0.85485,16,46,45,0,Buy,-0.483870968,3,-105
247,Sell win,0.85004,58,88,45,57,Sell,0.205479452,0,20
248,Sell loss,0.84924,16,33,25,0,Sell,0.346938776,1,-115
249,Buy win,0.85236,43,60,25,2,Buy,-0.165048544,0,55
250,Buy loss,0.85462,14,6,20,0,Buy,0.4,1,-160
251,Sell win,0.85101,52,44,20,6,Sell,-0.083333333,0,10
252,Sell win,0.84729,12,17,15,1,Sell,0.172413793,1,10
253,Buy loss,0.84523,13,19,15,0,Buy,-0.1875,2,-135
254,Sell win,0.84311,25,31,15,17,Sell,0.107142857,0,50
255,Sell win,0.84182,19,30,10,1,Sell,0.224489796,1,35
256,Sell loss,0.84045,7,24,15,0,Sell,0.548387097,2,-120
257,Buy loss,0.84216,16,33,15,0,Buy,-0.346938776,1,-110
258,Sell win,0.84059,36,53,15,14,Sell,0.191011236,0,60
259,Sell win,0.83806,11,29,10,4,Sell,0.45,1,55
260,Buy loss,0.84165,36,8,25,0,Buy,0.636363636,2,-140
261,Sell win,0.83827,43,15,25,1,Sell,-0.482758621,0,40
262,Sell win,0.83679,6,22,20,6,Sell,0.571428571,1,35
263,Buy loss,0.8369,35,26,30,0,Buy,0.147540984,2,-110
264,Sell loss,0.8338,69,60,30,0,Sell,-0.069767442,1,-55
265,Buy win,0.83532,95,86,30,2,Buy,0.049723757,0,30
266,Sell win,0.8341,32,38,20,53,Sell,0.085714286,1,60
267,Sell loss,0.83323,44,27,15,0,Sell,-0.23943662,2,-65
268,Buy win,0.83422,49,32,15,7,Buy,0.209876543,0,35
269,Buy loss,0.8357,8,13,15,0,Buy,-0.238095238,1,-130
270,Sell loss,0.83365,65,70,15,0,Sell,0.037037037,0,-120
271,Buy win,0.83555,87,92,15,51,Buy,-0.027932961,0,55
272,Sell loss,0.83111,100,48,60,0,Sell,-0.351351351,1,-40
273,Buy win,0.83363,132,80,60,3,Buy,0.245283019,0,20
274,Sell win,0.83546,81,31,60,3,Sell,-0.446428571,1,0
275,Sell loss,0.83097,14,26,10,0,Sell,0.3,2,-130
276,Buy win,0.8325,16,28,10,1,Buy,-0.272727273,0,40
277,Buy win,0.83415,12,31,20,4,Buy,-0.441860465,1,55
278,Sell win,0.83209,11,26,15,2,Sell,0.405405405,2,50
279,Buy loss,0.84697,31,8,25,0,Buy,0.58974359,3,-110
280,Sell win,0.84408,69,46,25,3,Sell,-0.2,0,60
281,Buy win,0.84453,56,18,25,21,Buy,0.513513514,1,0
282,Sell win,0.84112,16,27,25,9,Sell,0.255813953,2,60
283,Sell win,0.8356,16,33,20,8,Sell,0.346938776,3,30
284,Sell win,0.8359,72,12,30,11,Sell,-0.714285714,4,30
285,Sell win,0.83343,81,45,40,9,Sell,-0.285714286,5,25
286,Buy win,0.83268,15,20,15,1,Buy,-0.142857143,6,40
287,Buy win,0.83774,34,67,60,1,Buy,-0.326732673,7,20
288,Sell win,0.83192,13,47,35,4,Sell,0.566666667,8,50
289,Buy win,0.8337,30,110,125,2,Buy,-0.571428571,9,5
290,Sell loss,0.83719,22,51,40,0,Sell,0.397260274,10,-125
291,Buy win,0.84189,58,87,40,32,Buy,-0.2,0,5
292,Sell loss,0.83851,23,57,35,0,Sell,0.425,1,-130
293,Buy win,0.84319,52,86,35,2,Buy,-0.246376812,0,40
294,Sell win,0.83755,8,37,35,15,Sell,0.644444444,1,30
295,Buy win,0.83408,22,58,35,13,Buy,-0.45,2,10
296,Buy win,0.8355,10,38,30,3,Buy,-0.583333333,3,10
297,Sell loss,0.83233,34,20,45,0,Sell,-0.259259259,4,-140
298,Buy win,0.83844,58,44,45,2,Buy,0.137254902,0,25
299,Buy win,0.84796,17,9,15,11,Buy,0.307692308,1,20
300,Sell win,0.84525,16,45,55,19,Sell,0.475409836,2,60
301,Sell win,0.84178,46,66,20,2,Sell,0.178571429,3,50
302,Sell loss,0.83267,28,37,10,0,Sell,0.138461538,4,-145
303,Buy win,0.83437,32,41,10,2,Buy,-0.123287671,0,45
304,Buy loss,0.83498,48,11,30,0,Buy,0.627118644,1,-110
305,Sell loss,0.83157,62,25,30,0,Sell,-0.425287356,0,-140
306,Buy win,0.83588,100,63,30,13,Buy,0.226993865,0,30
307,Sell loss,0.83448,23,28,10,0,Sell,0.098039216,1,-115
308,Buy loss,0.83589,31,36,10,0,Buy,-0.074626866,0,-140
309,Sell win,0.83413,35,40,10,3,Sell,0.066666667,0,30
310,Sell win,0.83199,15,42,20,5,Sell,0.473684211,1,60
311,Sell loss,0.82791,27,9,15,0,Sell,-0.5,2,-110
312,Buy win,0.8295,47,29,15,12,Buy,0.236842105,0,60
313,Buy win,0.83347,32,9,30,1,Buy,0.56097561,1,35
314,Buy win,0.83751,45,31,50,4,Buy,0.184210526,2,35
315,Sell win,0.84059,19,28,30,21,Sell,0.191489362,3,5
316,Sell loss,0.83955,22,32,25,10,Sell,0.185185185,4,-110
317,Buy win,0.84216,22,32,25,2,Buy,-0.185185185,0,55
