time,open,high,low,close,EMA,EMA75,ParabolicSAR
2018-08-23T04:00:00Z,6401.35,6449.5,6387.5,6436.99,6491.869798985453,6441.634367073072,6880.800324000001
2018-08-23T08:00:00Z,6438.99,6444.5,6390.67,6406.62,6489.626383222678,6439.926349167069,6868.184317520001
2018-08-23T12:00:00Z,6401.84,6495,6389.83,6438.38,6488.277794190502,6439.850917500383,6855.820631169601
2018-08-23T16:00:00Z,6438.38,6484.43,6353.77,6419.7,6486.473115396016,6438.867945914998,6843.70421854621
2018-08-23T20:00:00Z,6420.92,6575.99,6408,6525.01,6487.487243938226,6443.069997333779,6831.830134175286
2018-08-24T00:00:00Z,6525.99,6537.99,6469.8,6493.65,6487.649421729326,6445.537314537009,6820.19353149178
2018-08-24T04:00:00Z,6492.92,6552.01,6473.94,6536.99,6488.947857999607,6449.998421144959,6808.789660861945
2018-08-24T08:00:00Z,6537.98,6570,6511.23,6537.99,6490.238440683827,6454.29069328423,6797.613867644706
2018-08-24T12:00:00Z,6534.74,6563.98,6445.32,6503.51,6490.58769224478,6456.691635075243,6786.661590291812
2018-08-24T16:00:00Z,6505.25,6646.59,6498.05,6619.99,6493.993016133075,6464.657408974012,6775.928358485976
2018-08-24T20:00:00Z,6617.17,6721.09,6597.67,6692.94,6499.228463076941,6475.793145121621,6765.409791316257
2018-08-25T00:00:00Z,6692.99,6800,6689.36,6724.14,6505.147187732811,6487.907625847395,6250
2018-08-25T04:00:00Z,6724.48,6746.83,6664.25,6682.61,6509.817261739842,6497.405302635327,6261
2018-08-25T08:00:00Z,6673.68,6734.26,6673.68,6695.66,6514.70786011511,6507.076263482384,6271.78
2018-08-25T12:00:00Z,6699.88,6749.36,6669.99,6736.85,6520.553705901554,6518.284738434463,6282.3444
2018-08-25T16:00:00Z,6735.85,6735.85,6685,6710.33,6525.547818904145,6527.652799974246,6292.697512
2018-08-25T20:00:00Z,6705.01,6769.97,6688.02,6732.4,6530.991297354036,6537.640468268185,6302.84356176
2018-08-26T00:00:00Z,6732.99,6775.34,6593.24,6618.99,6533.307052686824,6541.608738108761,6312.7866905248
2018-08-26T04:00:00Z,6618.99,6637.18,6558.95,6634,6535.9568670898025,6546.115628932724,6322.530956714304
2018-08-26T08:00:00Z,6633.99,6707,6620,6692.12,6540.066423219018,6553.2377933750295,6332.080337580018
2018-08-26T12:00:00Z,6692.12,6727.25,6662.33,6677.63,6543.686517344834,6559.305705893321,6341.438730828418
2018-08-26T16:00:00Z,6677.63,6708.01,6624.79,6707.48,6547.996872151549,6566.533720239988,6350.609956211849
2018-08-26T20:00:00Z,6707.91,6720,6656.46,6700.46,6552.009059726508,6573.066709496574,6359.597757087612
2018-08-27T00:00:00Z,6700.13,6707.98,6641.35,6667.44,6555.0467160494945,6577.670284643083,6368.40580194586
2018-08-27T04:00:00Z,6670.47,6733.77,6664.14,6701.41,6558.898381416613,6583.70636831903,6377.037685906943
2018-08-27T08:00:00Z,6701.41,6720.72,6683.95,6707,6562.795792431965,6589.720691815663,6385.496932188804
2018-08-27T12:00:00Z,6707,6775.34,6666.98,6749.14,6567.699587367966,6597.497243434411,6393.786993545028
2018-08-27T16:00:00Z,6749.05,6749.06,6717.25,6737.72,6572.173808753019,6604.337377901025,6401.911253674128
2018-08-27T20:00:00Z,6737.72,6944.47,6705.3,6904.51,6580.919497996361,6618.979944832683,6409.873028600645
2018-08-28T00:00:00Z,6911.7,6944.99,6861.17,6876.52,6588.698458575404,6631.54287435304,6431.256907456619
