time,open,high,low,close,%K,%D,ATR
2020-01-02T21:00:00+07:00,1.11964,1.11965,1.11701,1.1174,29.01885709,23.97847713,0.001424678
2020-01-02T22:00:00+07:00,1.1174,1.12024,1.11711,1.12006,49.74191711,34.79083832,0.001765743
2020-01-02T23:00:00+07:00,1.12006,1.12032,1.11652,1.11663,36.29822724,38.35300048,0.002172594
2020-01-03T00:00:00+07:00,1.11663,1.11719,1.11635,1.117,37.89825913,41.31280116,0.001906075
2020-01-03T01:00:00+07:00,1.117,1.11723,1.11636,1.11703,12.13199876,28.77616171,0.00169886
2020-01-03T02:00:00+07:00,1.11703,1.11704,1.11643,1.11663,13.51805206,21.18276998,0.001481088
2020-01-03T03:00:00+07:00,1.11663,1.11717,1.11659,1.11692,12.84634761,12.83213281,0.001300871
2020-01-03T04:00:00+07:00,1.11692,1.11735,1.11691,1.1172,35.47019312,20.61153093,0.001128696
2020-01-03T05:00:00+07:00,1.1172,1.11727,1.11688,1.11713,59.04515347,35.7872314,0.000980957
2020-01-03T06:00:00+07:00,1.11713,1.11735,1.11703,1.11709,78.17230274,57.56254977,0.000848766
2020-01-03T07:00:00+07:00,1.11709,1.11761,1.11698,1.11755,81.21151842,72.80965821,0.000805013
2020-01-03T08:00:00+07:00,1.11755,1.11785,1.11722,1.11736,71.78043786,77.05475301,0.00077001
2020-01-03T09:00:00+07:00,1.11736,1.11775,1.11719,1.11727,61.26945624,71.42047084,0.000728008
2020-01-03T10:00:00+07:00,1.11727,1.11738,1.11695,1.11721,39.52653685,57.52547698,0.000668406
2020-01-03T11:00:00+07:00,1.11721,1.1175,1.11687,1.11701,27.79359625,42.86319644,0.000660725
2020-01-03T12:00:00+07:00,1.11701,1.11706,1.11644,1.11664,19.11966678,28.81326662,0.00065258
2020-01-03T13:00:00+07:00,1.11664,1.11696,1.11641,1.11692,22.17660431,23.02995578,0.000632064
2020-01-03T14:00:00+07:00,1.11692,1.11716,1.11523,1.11532,18.73628545,20.01085218,0.000891651
2020-01-03T15:00:00+07:00,1.11532,1.11605,1.11506,1.11511,14.69121318,18.53470098,0.000911321
2020-01-03T16:00:00+07:00,1.11511,1.11523,1.114,1.11402,2.215616477,11.88103837,0.000975057
2020-01-03T17:00:00+07:00,1.11402,1.11435,1.11308,1.11361,5.224095933,7.376975195,0.001034045
2020-01-03T18:00:00+07:00,1.11361,1.11361,1.1125,1.113,8.117573735,5.185762048,0.001049236
2020-01-03T19:00:00+07:00,1.113,1.11427,1.11282,1.11391,21.14603989,11.49590319,0.001129389
2020-01-03T20:00:00+07:00,1.11391,1.11488,1.11374,1.11381,32.81109053,20.69156805,0.001131511
2020-01-03T21:00:00+07:00,1.11381,1.11542,1.11353,1.11526,60.74140193,38.23284412,0.001283209
2020-01-03T22:00:00+07:00,1.11526,1.11675,1.11526,1.11634,77.61961237,57.05736828,0.001324567
2020-01-03T23:00:00+07:00,1.11634,1.11799,1.11625,1.1172,89.86434164,76.07511864,0.001407654
2020-01-04T00:00:00+07:00,1.1172,1.11741,1.1168,1.11722,85.93596766,84.47330722,0.001248123
2020-01-04T01:00:00+07:00,1.11722,1.11733,1.1166,1.11669,79.43565991,85.0786564,0.001144498
2020-01-04T02:00:00+07:00,1.11669,1.11682,1.11612,1.11674,69.26663272,78.21275343,0.001055599
2020-01-04T03:00:00+07:00,1.11674,1.11674,1.11601,1.11615,44.04505974,64.24911746,0.000990479
2020-01-04T04:00:00+07:00,1.11615,1.11621,1.11521,1.1156,26.33681134,46.54950127,0.000992383
2020-01-06T05:00:00+07:00,1.11656,1.11656,1.11589,1.11593,19.58674798,29.98953969,0.000985907
