time,open,high,low,close,Basis90,Upper90,Lower90,Basis20,Upper20,Lower20,RSI
2022-05-01T03:00:00+07:00,1.929,1.929,1.78,1.817,2.297311111,2.646457835,1.948164387,2.0558,2.262018913,1.849581087,23.04009073
2022-05-01T07:00:00+07:00,1.817,1.835,1.765,1.831,2.290533333,2.651734564,1.929332103,2.042,2.268599206,1.815400794,25.29743804
2022-05-01T11:00:00+07:00,1.831,1.869,1.819,1.848,2.283611111,2.654462827,1.912759395,2.0272,2.263668687,1.790731313,28.05692534
2022-05-01T15:00:00+07:00,1.848,1.865,1.841,1.846,2.2766,2.656314957,1.896885043,2.01275,2.256316726,1.769183274,27.92622675
2022-05-01T19:00:00+07:00,1.846,1.902,1.831,1.893,2.270677778,2.657447859,1.883907696,1.9981,2.233325764,1.762874236,35.52705468
2022-05-01T23:00:00+07:00,1.893,1.924,1.849,1.865,2.2644,2.658886648,1.869913352,1.9804,2.199173307,1.761626693,33.27564281
2022-05-02T03:00:00+07:00,1.865,1.915,1.856,1.908,2.258022222,2.656767697,1.859276748,1.96845,2.175302097,1.761597903,39.60542525
2022-05-02T07:00:00+07:00,1.908,1.927,1.886,1.895,2.251866667,2.655701418,1.848031915,1.95545,2.145793348,1.765106652,38.41881544
2022-05-02T11:00:00+07:00,1.895,1.939,1.889,1.919,2.246055556,2.65381184,1.838299271,1.9435,2.109992642,1.777007358,41.88080247
2022-05-02T15:00:00+07:00,1.919,1.92,1.808,1.813,2.2388,2.653817558,1.823782442,1.92895,2.087464952,1.770435048,33.04473573
2022-05-02T19:00:00+07:00,1.813,1.865,1.805,1.843,2.231566667,2.651207365,1.811925969,1.9157,2.055308166,1.776091834,37.09014749
2022-05-02T23:00:00+07:00,1.843,1.846,1.788,1.824,2.224744444,2.650656231,1.798832658,1.90535,2.039830147,1.770869853,35.62218295
2022-05-03T03:00:00+07:00,1.824,1.886,1.813,1.854,2.219111111,2.651034401,1.787187821,1.8965,2.019550396,1.773449604,39.68156044
2022-05-03T07:00:00+07:00,1.854,1.876,1.842,1.866,2.213388889,2.650199623,1.776578155,1.8911,2.009461987,1.772738013,41.27662717
2022-05-03T11:00:00+07:00,1.866,1.899,1.859,1.89,2.209277778,2.651191196,1.76736436,1.88605,1.995191147,1.776908853,44.44107041
2022-05-03T15:00:00+07:00,1.89,1.897,1.857,1.889,2.205088889,2.651892315,1.758285463,1.8799,1.972579879,1.787220121,44.33387026
2022-05-03T19:00:00+07:00,1.889,1.892,1.847,1.852,2.200222222,2.652725362,1.747719083,1.87345,1.954286811,1.792613189,40.44631756
2022-05-03T23:00:00+07:00,1.852,1.858,1.799,1.807,2.1942,2.653005425,1.735394575,1.86565,1.940285849,1.791014151,36.27956089
2022-05-04T03:00:00+07:00,1.807,1.84,1.796,1.82,2.1879,2.651489191,1.724310809,1.86045,1.932548474,1.788351526,38.25840913
2022-05-04T07:00:00+07:00,1.82,1.852,1.814,1.835,2.182066667,2.650038347,1.714094987,1.85575,1.921320954,1.790179046,40.55244557
2022-05-04T11:00:00+07:00,1.835,1.866,1.816,1.86,2.176466667,2.647647142,1.705286192,1.8579,1.921021787,1.794778213,44.26909842
2022-05-04T15:00:00+07:00,1.86,1.974,1.859,1.93,2.171333333,2.643075636,1.699591031,1.86285,1.931997017,1.793702983,53.1090477
2022-05-04T19:00:00+07:00,1.93,1.937,1.866,1.883,2.165088889,2.637054108,1.693123669,1.8646,1.933926474,1.795273526,47.6445366
2022-05-04T23:00:00+07:00,1.883,2,1.873,1.979,2.159888889,2.629622756,1.690155021,1.87125,1.955970423,1.786529577,57.30717541
2022-05-05T03:00:00+07:00,1.979,2.03,1.979,2.023,2.154855556,2.620623983,1.689087128,1.87775,1.985079167,1.770420833,60.87161898
2022-05-05T07:00:00+07:00,2.023,2.05,2.016,2.028,2.150144444,2.612359167,1.687929722,1.8859,2.011344649,1.760455351,61.26736441
2022-05-05T11:00:00+07:00,2.028,2.032,1.98,1.997,2.145144444,2.604130531,1.686158358,1.89035,2.024618798,1.756081202,57.39167213
2022-05-05T15:00:00+07:00,1.997,2.007,1.966,1.99,2.139466667,2.593317861,1.685615472,1.8951,2.036236671,1.753963329,56.52219111
2022-05-05T19:00:00+07:00,1.99,2.004,1.792,1.809,2.132844444,2.588394116,1.677294773,1.8896,2.035088694,1.744111306,39.75207006
2022-05-05T23:00:00+07:00,1.809,1.844,1.763,1.801,2.126277778,2.583729757,1.668825798,1.889,2.035840049,1.742159951,39.19848723
2022-05-06T03:00:00+07:00,1.801,1.824,1.781,1.809,2.119422222,2.577194798,1.661649646,1.8873,2.036990481,1.737609519,40.09686113
2022-05-06T07:00:00+07:00,1.809,1.821,1.775,1.806,2.111322222,2.56517622,1.657468224,1.8864,2.037808586,1.734991414,39.8590209
2022-05-06T11:00:00+07:00,1.806,1.806,1.741,1.765,2.102288889,2.550962712,1.653615066,1.88195,2.041896835,1.722003165,36.65866097
2022-05-06T15:00:00+07:00,1.764,1.783,1.718,1.736,2.092711111,2.535410733,1.650011489,1.87545,2.047564468,1.703335532,34.5458213
2022-05-06T19:00:00+07:00,1.736,1.789,1.705,1.751,2.083655556,2.520563902,1.646747209,1.8685,2.048737066,1.688262934,36.58183893
2022-05-06T23:00:00+07:00,1.751,1.773,1.741,1.759,2.075444444,2.508657362,1.642231527,1.862,2.04809245,1.67590755,37.69498101
