time,open,high,low,close,Basis90,Upper90,Lower90,RSI
2022-08-02T02:15:00+07:00,135.054,135.109,135.005,135.005,135.5627889,136.1640358,134.961542,31.40662378
2022-08-02T02:30:00+07:00,135.005,135.11,134.998,135.078,135.5509,136.1476887,134.9541113,37.16621069
2022-08-02T02:45:00+07:00,135.078,135.115,135.003,135.046,135.5388556,136.1321529,134.9455582,35.74915557
2022-08-02T03:00:00+07:00,135.046,135.088,134.998,135.055,135.5265889,136.1137112,134.9394666,36.48266874
2022-08-02T03:15:00+07:00,135.055,135.055,135,135.013,135.5146222,136.0992204,134.9300241,34.5030652
2022-08-02T03:30:00+07:00,135.013,135.025,134.999,135.009,135.5012111,136.0761323,134.9262899,34.31210872
2022-08-02T03:45:00+07:00,135.009,135.05,134.998,135.031,135.4884222,136.0533186,134.9235259,36.39708505
2022-08-02T04:00:00+07:00,135.031,135.142,134.991,135.009,135.4752222,136.0286764,134.921768,35.19407288
2022-08-02T04:15:00+07:00,135.009,135.05,134.963,135.05,135.4623333,136.0005598,134.9241069,39.22560323
2022-08-02T04:30:00+07:00,135.05,135.084,135.033,135.046,135.4491333,135.9689691,134.9292976,38.97088717
2022-08-02T04:45:00+07:00,135.046,135.07,135.043,135.059,135.4356556,135.9318142,134.9394969,40.3271123
2022-08-02T05:00:00+07:00,135.059,135.118,135.02,135.102,135.4222889,135.8879253,134.9566525,44.70430658
2022-08-02T05:15:00+07:00,135.102,135.17,135.094,135.117,135.4105111,135.8522006,134.9688216,46.18720633
2022-08-02T05:30:00+07:00,135.117,135.118,134.925,135.065,135.4005222,135.8322405,134.968804,41.98382091
2022-08-02T05:45:00+07:00,135.065,135.12,134.975,135.005,135.3901333,135.8143582,134.9659084,37.71838696
2022-08-02T06:00:00+07:00,135.005,135.142,135.004,135.105,135.3817889,135.7985092,134.9650686,47.32404481
2022-08-02T06:15:00+07:00,135.105,135.115,135.017,135.037,135.3732556,135.7863992,134.9601119,42.52151979
2022-08-02T06:30:00+07:00,135.037,135.101,134.968,135.013,135.3695667,135.7895261,134.9496072,40.94228442
2022-08-02T06:45:00+07:00,135.013,135.085,134.818,134.855,135.3641778,135.7977431,134.9306124,32.40871969
2022-08-02T07:00:00+07:00,134.855,135.008,134.707,134.715,135.3551111,135.8080388,134.9021834,27.0322599
2022-08-02T07:15:00+07:00,134.715,134.724,134.451,134.581,135.3448111,135.824721,134.8649012,23.08476613
2022-08-02T07:30:00+07:00,134.581,134.65,134.311,134.52,135.3340222,135.8430745,134.8249699,21.54254772
2022-08-02T07:45:00+07:00,134.52,134.746,134.48,134.691,135.3239667,135.8474705,134.8004629,34.7104107
2022-08-02T08:00:00+07:00,134.691,134.691,134.288,134.303,135.3093556,135.8712163,134.7474948,24.61537511
2022-08-02T08:15:00+07:00,134.303,134.456,134.274,134.317,135.2953,135.8914216,134.6991784,25.45780022
2022-08-02T08:30:00+07:00,134.317,134.327,134.026,134.121,135.2777667,135.9166533,134.6388801,21.787015
2022-08-02T08:45:00+07:00,134.121,134.248,134.115,134.191,135.2608778,135.9325808,134.5891747,25.8966441
