time,open,high,low,close,Upper1,Lower1,Upper2,Lower2,Upper2.5,Lower2.5
2020-01-03T14:00:00Z,0.69453,0.69494,0.69438,0.69449,0.69593517,0.69391283,0.697451924,0.692396076,0.696946339,0.692901661
2020-01-03T14:30:00Z,0.69449,0.69543,0.69448,0.69478,0.695782413,0.693893587,0.697199033,0.692476967,0.696726826,0.692949174
2020-01-03T15:00:00Z,0.69478,0.6961,0.69475,0.69597,0.695751787,0.693898213,0.697141969,0.692508031,0.696678575,0.692971425
2020-01-03T15:30:00Z,0.69597,0.69626,0.69547,0.69553,0.695700311,0.693899689,0.697050778,0.692549222,0.696600622,0.692999378
2020-01-03T16:00:00Z,0.69553,0.69625,0.69535,0.69624,0.695715442,0.693896558,0.697079604,0.692532396,0.696624883,0.692987117
2020-01-03T16:30:00Z,0.69624,0.69654,0.69614,0.69616,0.69571168,0.69389732,0.697072449,0.692536551,0.696618859,0.692990141
2020-01-03T17:00:00Z,0.69616,0.69634,0.69614,0.69624,0.6957752,0.6938908,0.6971885,0.6924775,0.6967174,0.6929486
2020-01-03T17:30:00Z,0.69624,0.69643,0.69615,0.69631,0.695867013,0.693888987,0.697350532,0.692405468,0.696856025,0.692899975
2020-01-03T18:00:00Z,0.69631,0.69631,0.69588,0.69589,0.695870022,0.693888978,0.697355806,0.692403194,0.696860545,0.692898455
2020-01-03T18:30:00Z,0.69589,0.69589,0.69547,0.69565,0.695912573,0.693904427,0.697418683,0.692398317,0.696916646,0.692900354
2020-01-03T19:00:00Z,0.69565,0.69583,0.69531,0.69545,0.695965201,0.693959799,0.697469252,0.692455748,0.696967901,0.692957099
2020-01-03T19:30:00Z,0.69545,0.69585,0.6953,0.69584,0.696045182,0.694095818,0.697507205,0.692633795,0.697019864,0.693121136
2020-01-03T20:00:00Z,0.69584,0.69586,0.6954,0.69544,0.696085354,0.694217646,0.697486134,0.692816866,0.697019207,0.693283793
2020-01-03T20:30:00Z,0.69544,0.69547,0.69524,0.69536,0.696106272,0.694365728,0.697411681,0.693060319,0.696976545,0.693495455
2020-01-03T21:00:00Z,0.69536,0.69546,0.69513,0.69515,0.696097768,0.694532232,0.697271919,0.693358081,0.696880535,0.693749465
2020-01-03T21:30:00Z,0.69515,0.69515,0.69444,0.69448,0.696030431,0.694724569,0.697009827,0.693745173,0.696683362,0.694071638
2020-01-05T22:00:00Z,0.6941,0.69422,0.69386,0.69411,0.696034287,0.694711713,0.697026218,0.693719782,0.696695575,0.694050425
2020-01-05T22:30:00Z,0.69411,0.69425,0.69349,0.6936,0.696072192,0.694563808,0.697203481,0.693432519,0.696826385,0.693809615
2020-01-05T23:00:00Z,0.6936,0.69403,0.69324,0.69376,0.69607594,0.69442206,0.697316349,0.693181651,0.696902879,0.693595121
2020-01-05T23:30:00Z,0.69376,0.69448,0.69375,0.69435,0.696075649,0.694404351,0.697329124,0.693150876,0.696911299,0.693568701
2020-01-06T00:00:00Z,0.69435,0.69538,0.69431,0.69535,0.696100888,0.694465112,0.69732772,0.69323828,0.696918776,0.693647224
2020-01-06T00:30:00Z,0.69535,0.69559,0.69497,0.69527,0.696117252,0.694497748,0.697331881,0.693283119,0.696927005,0.693687995
2020-01-06T01:00:00Z,0.69527,0.69541,0.69466,0.69502,0.696057264,0.694462736,0.69725316,0.69326684,0.696854528,0.693665472
2020-01-06T01:30:00Z,0.69502,0.69504,0.6936,0.69401,0.696023246,0.694344754,0.697282115,0.693085885,0.696862492,0.693505508
2020-01-06T02:00:00Z,0.69401,0.69477,0.69395,0.69466,0.695914978,0.694295022,0.697129946,0.693080054,0.696724957,0.693485043
2020-01-06T02:30:00Z,0.69466,0.69482,0.69446,0.69463,0.695806859,0.694250141,0.696974398,0.693082602,0.696585218,0.693471782
2020-01-06T03:00:00Z,0.69463,0.69486,0.69451,0.69452,0.695675977,0.694209023,0.696776193,0.693108807,0.696409454,0.693475546
2020-01-06T03:30:00Z,0.69452,0.69453,0.69402,0.69419,0.695515884,0.694157116,0.69653496,0.69313804,0.696195268,0.693477732
2020-01-06T04:00:00Z,0.69419,0.69447,0.69402,0.69443,0.695403033,0.694123967,0.696362333,0.693164667,0.696042566,0.693484434
2020-01-06T04:30:00Z,0.69443,0.69455,0.69409,0.69446,0.695312912,0.694095088,0.69622628,0.69318172,0.695921824,0.693486176
2020-01-06T05:00:00Z,0.69446,0.69455,0.69381,0.69391,0.695234076,0.694019924,0.696144689,0.693109311,0.695841152,0.693412848
2020-01-06T05:30:00Z,0.69391,0.69401,0.69369,0.69371,0.695091179,0.693949821,0.695947198,0.693093802,0.695661858,0.693379142
2020-01-06T06:00:00Z,0.69371,0.69373,0.69329,0.69356,0.694992797,0.693860203,0.695842244,0.693010756,0.695559095,0.693293905
2020-01-06T06:30:00Z,0.69356,0.69398,0.69345,0.69393,0.694888231,0.693821769,0.695688077,0.693021923,0.695421461,0.693288539
2020-01-06T07:00:00Z,0.69393,0.69447,0.6939,0.69445,0.694821956,0.693818044,0.69557489,0.69306511,0.695323912,0.693316088
2020-01-06T07:30:00Z,0.69445,0.69482,0.69445,0.69456,0.694827532,0.693820468,0.695582829,0.693065171,0.695331063,0.693316937
2020-01-06T08:00:00Z,0.69456,0.6951,0.6945,0.69453,0.694847926,0.693842074,0.695602316,0.693087684,0.695350853,0.693339147
2020-01-06T08:30:00Z,0.69453,0.69467,0.69386,0.69456,0.694867543,0.693918457,0.695579357,0.693206643,0.695342086,0.693443914
2020-01-06T09:00:00Z,0.69456,0.69496,0.69456,0.69493,0.694916422,0.693986578,0.695613806,0.693289194,0.695381345,0.693521655
2020-01-06T09:30:00Z,0.69493,0.6956,0.6947,0.69553,0.695030418,0.693990582,0.695810295,0.693210705,0.695550336,0.693470664
2020-01-06T10:00:00Z,0.69553,0.69576,0.69533,0.69553,0.695055191,0.693983809,0.695858727,0.693180273,0.695590882,0.693448118
2020-01-06T10:30:00Z,0.69553,0.69562,0.69522,0.6953,0.695058828,0.693983172,0.69586557,0.69317643,0.695596656,0.693445344
2020-01-06T11:00:00Z,0.6953,0.69531,0.69474,0.69511,0.695067842,0.693983158,0.695881355,0.693169645,0.695610184,0.693440816
2020-01-06T11:30:00Z,0.69511,0.69528,0.69461,0.69473,0.6950922,0.6940308,0.695888251,0.693234749,0.6956229,0.6935001
2020-01-06T12:00:00Z,0.69473,0.69543,0.69465,0.69529,0.695146806,0.694039194,0.695977515,0.693208485,0.695700612,0.693485388
2020-01-06T12:30:00Z,0.69529,0.69536,0.69491,0.69492,0.695165863,0.694049137,0.696003406,0.693211594,0.695724225,0.693490775
2020-01-06T13:00:00Z,0.69492,0.69501,0.69435,0.69438,0.69516079,0.69404021,0.696001225,0.693199775,0.69572108,0.69347992
2020-01-06T13:30:00Z,0.69438,0.6947,0.69424,0.69443,0.695166403,0.694058597,0.695997258,0.693227742,0.695720306,0.693504694
