time,open,high,low,close,ParabolicSAR,%K,%D
2021-01-04T14:00:00+07:00,1.58867,1.5888,1.58727,1.588,1.591585734,16.24427977,35.08719485
2021-01-04T14:30:00+07:00,1.588,1.58816,1.58624,1.58786,1.591397905,20.45474008,22.92961378
2021-01-04T15:00:00+07:00,1.58786,1.58931,1.58728,1.58889,1.591088431,37.84974302,24.84958762
2021-01-04T15:30:00+07:00,1.58889,1.58944,1.58745,1.58746,1.590797525,45.34751247,34.55066519
2021-01-04T16:00:00+07:00,1.58746,1.58896,1.58721,1.58886,1.590524073,62.19430486,48.46385345
2021-01-04T16:30:00+07:00,1.58886,1.59041,1.58877,1.58972,1.58624,67.8177458,58.45318771
2021-01-04T17:00:00+07:00,1.58972,1.58981,1.58866,1.58893,1.5863234,73.02607914,67.6793766
2021-01-04T17:30:00+07:00,1.58893,1.59021,1.58854,1.58941,1.586405132,68.65107914,69.83163469
2021-01-04T18:00:00+07:00,1.58941,1.59101,1.58921,1.5907,1.586485229,71.44736842,71.0415089
2021-01-04T18:30:00+07:00,1.5907,1.59197,1.59051,1.59173,1.58666622,84.53167357,74.87670704
2021-01-04T19:00:00+07:00,1.59173,1.59374,1.59111,1.59269,1.586984447,88.21757101,81.398871
2021-01-04T19:30:00+07:00,1.59269,1.59478,1.59226,1.59453,1.587524891,89.60139917,87.45021458
2021-01-04T20:00:00+07:00,1.59453,1.59475,1.59235,1.59259,1.588250402,78.82783609,85.54893542
2021-01-04T20:30:00+07:00,1.59259,1.59369,1.59214,1.59345,1.588903362,75.17609166,81.20177564
2021-01-04T21:00:00+07:00,1.59345,1.59498,1.59283,1.59468,1.589491026,73.92758241,75.97717005
2021-01-04T21:30:00+07:00,1.59468,1.59535,1.59342,1.59481,1.590149703,81.42603038,76.84323482
2021-01-04T22:00:00+07:00,1.59481,1.59759,1.59416,1.59692,1.590877744,87.71068471,81.0214325
2021-01-04T22:30:00+07:00,1.59692,1.59761,1.59589,1.59691,1.591951705,86.02897239,85.05522916
2021-01-04T23:00:00+07:00,1.59691,1.59899,1.59683,1.59724,1.592970198,82.16675205,85.30213638
2021-01-04T23:30:00+07:00,1.59724,1.60085,1.597,1.60066,1.594174159,85.4122112,84.53597855
2021-01-05T00:00:00+07:00,1.60066,1.60295,1.59972,1.60117,1.595509327,82.92780805,83.5022571
2021-01-05T00:30:00+07:00,1.60117,1.60237,1.59932,1.59939,1.596997461,75.58919529,81.30973818
2021-01-05T01:00:00+07:00,1.59939,1.60001,1.59726,1.598,1.60295,49.48081116,69.33260483
2021-01-05T01:30:00+07:00,1.598,1.59822,1.59706,1.59723,1.6028362,24.18608803,49.75203149
2021-01-05T02:00:00+07:00,1.59723,1.59798,1.59666,1.59725,1.602605152,10.78772049,28.15153989
2021-01-05T02:30:00+07:00,1.59725,1.59833,1.59702,1.59716,1.602248443,7.334027283,14.10261194
2021-01-05T03:00:00+07:00,1.59716,1.59869,1.597,1.59855,1.601913136,24.85148203,14.32440993
2021-01-05T03:30:00+07:00,1.59855,1.5993,1.59802,1.59826,1.601597948,41.92684616,24.70411849
2021-01-05T04:00:00+07:00,1.59826,1.59899,1.59726,1.59755,1.601301671,50.24536409,39.00789742
2021-01-05T04:30:00+07:00,1.59755,1.59829,1.59684,1.59698,1.601023171,33.33641291,41.83620772
2021-01-05T05:00:00+07:00,1.59698,1.59837,1.5954,1.59699,1.600761381,26.7241363,36.76863777
2021-01-05T05:30:00+07:00,1.59699,1.59753,1.59571,1.59723,1.60033247,31.1277882,30.39611247
2021-01-05T06:00:00+07:00,1.59723,1.59853,1.597,1.59848,1.599937873,57.82872652,38.56021701
2021-01-05T06:30:00+07:00,1.59848,1.59871,1.59738,1.59752,1.599574843,65.58842905,51.51498126
2021-01-05T07:00:00+07:00,1.59752,1.5989,1.59739,1.59774,1.599240855,72.2331177,65.21675776
2021-01-05T07:30:00+07:00,1.59774,1.59837,1.59687,1.59759,1.598933587,63.2798835,67.03381008
2021-01-05T08:00:00+07:00,1.59759,1.59829,1.59589,1.59604,1.5989,43.59156695,59.70152272
2021-01-05T08:30:00+07:00,1.59604,1.59701,1.59589,1.59688,1.59862,32.26930781,46.38025275
2021-01-05T09:00:00+07:00,1.59688,1.59695,1.59414,1.59432,1.5983624,13.88508892,29.91532123
2021-01-05T09:30:00+07:00,1.59432,1.59523,1.59348,1.59418,1.59794016,16.99560216,21.04999963
2021-01-05T10:00:00+07:00,1.59418,1.59444,1.59192,1.59284,1.597404941,10.8463804,13.90902382
2021-01-05T10:30:00+07:00,1.59284,1.59408,1.59244,1.59396,1.596637049,22.94540468,16.92912908
2021-01-05T11:00:00+07:00,1.59396,1.59509,1.59321,1.59461,1.595976662,36.00013696,23.26397401
2021-01-05T11:30:00+07:00,1.59461,1.59467,1.59309,1.59372,1.59540873,49.31279179,36.08611114
2021-01-05T12:00:00+07:00,1.59372,1.59374,1.59189,1.59211,1.59509,38.24492997,41.1859529
2021-01-05T12:30:00+07:00,1.59211,1.59316,1.59106,1.59159,1.59467,24.80234314,37.45335496
2021-01-05T13:00:00+07:00,1.59159,1.59263,1.59092,1.59228,1.5940202,17.54675788,26.864677
2021-01-05T13:30:00+07:00,1.59228,1.59228,1.58995,1.59026,1.59340016,17.44435675,19.93115259
2021-01-05T14:00:00+07:00,1.59026,1.59117,1.5885,1.58857,1.592710128,13.50586112,16.16565858
2021-01-05T14:30:00+07:00,1.58857,1.59162,1.58828,1.59136,1.59228,23.67280952,18.2076758
2021-01-05T15:00:00+07:00,1.59136,1.59178,1.5893,1.59071,1.58828,40.10423364,25.76096809
2021-01-05T15:30:00+07:00,1.59071,1.59295,1.59024,1.59124,1.58828,60.7867069,41.52125002
2021-01-05T16:00:00+07:00,1.59124,1.59172,1.58968,1.59055,1.5884668,55.95116789,52.28070281
2021-01-05T16:30:00+07:00,1.59055,1.59088,1.58926,1.59073,1.588646128,54.81798715,57.18528731
2021-01-05T17:00:00+07:00,1.59073,1.59174,1.59032,1.59121,1.588818283,51.30539742,54.02485082
2021-01-05T17:30:00+07:00,1.59121,1.59212,1.59071,1.59103,1.588983552,51.09184497,52.40507651
2021-01-05T18:00:00+07:00,1.59103,1.5924,1.59062,1.59216,1.58914221,64.38989868,55.59571369
2021-01-05T18:30:00+07:00,1.59216,1.59362,1.59208,1.5929,1.589294521,74.6034687,63.36173745
2021-01-05T19:00:00+07:00,1.5929,1.59521,1.59275,1.59481,1.58955405,89.22098911,76.07145216
2021-01-05T19:30:00+07:00,1.59481,1.59482,1.59234,1.59273,1.590006526,73.75859278,79.1943502
2021-01-05T20:00:00+07:00,1.59273,1.59394,1.59191,1.59358,1.590422804,67.42585241,76.80181143
2021-01-05T20:30:00+07:00,1.59358,1.59441,1.59299,1.59416,1.590805779,59.54644484,66.91029668
2021-01-05T21:00:00+07:00,1.59416,1.59462,1.59254,1.59328,1.591158117,58.06166238,61.67798654
2021-01-05T21:30:00+07:00,1.59328,1.59328,1.58932,1.59039,1.59521,43.05050505,53.55287076
2021-01-05T22:00:00+07:00,1.59039,1.59095,1.58933,1.59015,1.5950922,25.54335811,42.21850851
2021-01-05T22:30:00+07:00,1.59015,1.59072,1.58803,1.58852,1.594976756,14.18347705,27.59244674
2021-01-05T23:00:00+07:00,1.58852,1.58946,1.58707,1.58743,1.594698886,9.288032542,16.33828923
2021-01-05T23:30:00+07:00,1.58743,1.58757,1.58489,1.58612,1.594241153,8.95467672,10.80872877
2021-01-06T00:00:00+07:00,1.58612,1.5862,1.58417,1.58484,1.59349306,9.770175904,9.337628389
2021-01-06T00:30:00+07:00,1.58484,1.58552,1.58387,1.58391,1.592560754,8.375419133,9.033423919
2021-01-06T01:00:00+07:00,1.58391,1.5843,1.58339,1.58381,1.591517864,5.79507421,7.980223082
2021-01-06T01:30:00+07:00,1.58381,1.584,1.58259,1.58272,1.590379963,3.371219499,5.847237614
2021-01-06T02:00:00+07:00,1.58272,1.58309,1.58225,1.58235,1.589133569,4.020454153,4.395582621
2021-01-06T02:30:00+07:00,1.58235,1.58317,1.58157,1.58298,1.587894526,13.61276329,7.001478981
2021-01-06T03:00:00+07:00,1.58298,1.58333,1.58188,1.58288,1.586629621,28.73773203,15.45698316
2021-01-06T03:30:00+07:00,1.58288,1.58326,1.58259,1.58288,1.585617697,45.86367185,29.40472239
2021-01-06T04:00:00+07:00,1.58288,1.58362,1.58258,1.5833,1.584808158,62.09501897,45.56547428
2021-01-06T04:30:00+07:00,1.5833,1.5848,1.58317,1.5839,1.58157,70.14531061,59.36800048
2021-01-06T05:00:00+07:00,1.5839,1.58569,1.58357,1.58535,1.5816346,82.5341941,71.59150789
2021-01-06T05:30:00+07:00,1.58535,1.58594,1.58447,1.58576,1.581796816,85.95173185,79.54374552
2021-01-06T06:00:00+07:00,1.58576,1.58596,1.58391,1.58538,1.582045407,89.51973644,86.00188746
2021-01-06T06:30:00+07:00,1.58538,1.58538,1.58351,1.58428,1.582358574,72.42268002,82.63138277
2021-01-06T07:00:00+07:00,1.58428,1.58466,1.58289,1.58353,1.582646689,47.82402949,69.92214865
2021-01-06T07:30:00+07:00,1.58353,1.5867,1.58302,1.58497,1.58289,38.40834254,52.88501735
2021-01-06T08:00:00+07:00,1.58497,1.58549,1.58354,1.58452,1.58289,39.40741121,41.87992775
2021-01-06T08:30:00+07:00,1.58452,1.58607,1.58395,1.58478,1.58302,48.99387577,42.26987651
2021-01-06T09:00:00+07:00,1.58478,1.58685,1.58419,1.5859,1.583388,56.13285082,48.17804593
2021-01-06T09:30:00+07:00,1.5859,1.5876,1.58572,1.58755,1.58380344,74.84156572,59.98943077
2021-01-06T10:00:00+07:00,1.58755,1.588,1.58548,1.58577,1.58419,74.97279932,68.64907195
2021-01-06T10:30:00+07:00,1.58577,1.58654,1.58491,1.58549,1.5847996,62.3109961,70.70845371
2021-01-06T11:00:00+07:00,1.58549,1.58555,1.58158,1.58246,1.588,33.91061882,57.06480475
2021-01-06T11:30:00+07:00,1.58246,1.58381,1.58213,1.583,1.5878716,24.61674551,40.27945348
2021-01-06T12:00:00+07:00,1.583,1.583,1.58206,1.58217,1.587745768,15.00519211,24.51085215
2021-01-06T12:30:00+07:00,1.58217,1.58274,1.58186,1.58214,1.587622453,14.19957793,17.94050518
2021-01-06T13:00:00+07:00,1.58214,1.58266,1.58048,1.58119,1.587501604,11.49476617,13.56651207
2021-01-06T13:30:00+07:00,1.58119,1.58247,1.58094,1.58154,1.587220739,19.04203306,14.91212572
2021-01-06T14:00:00+07:00,1.58154,1.58237,1.58083,1.58206,1.58695111,36.1780631,22.23828744
