time,open,high,low,close,ParabolicSAR,%K,%D
2018-01-03T04:00:00Z,112.341,112.349,112.264,112.279,112.4227594,68.66666667,72.43075173
2018-01-03T06:00:00Z,112.279,112.392,112.236,112.353,112.397,67.7037037,70.33642981
2018-01-03T08:00:00Z,112.353,112.38,112.293,112.301,112.055,58.22222222,64.86419753
2018-01-03T10:00:00Z,112.301,112.327,112.211,112.235,112.0615,46.67144564,57.53245719
2018-01-03T12:00:00Z,112.235,112.281,112.195,112.228,112.06787,25.44038717,43.44468501
2018-01-03T14:00:00Z,112.228,112.5,112.191,112.395,112.0741126,31.89130411,34.6677123
2018-01-03T16:00:00Z,112.395,112.4,112.275,112.331,112.0911481,42.69270996,33.34146708
2018-01-03T18:00:00Z,112.331,112.608,112.298,112.526,112.1075022,63.88753075,46.15718161
2018-01-03T20:00:00Z,112.526,112.526,112.409,112.502,112.137532,66.74117017,57.77380363
2018-01-03T22:00:00Z,112.502,112.624,112.461,112.608,112.1657601,83.74030568,71.45633553
2018-01-04T00:00:00Z,112.608,112.778,112.606,112.728,112.2024193,86.98160925,79.1543617
2018-01-04T02:00:00Z,112.728,112.731,112.639,112.663,112.2599774,87.46871957,86.06354483
2018-01-04T04:00:00Z,112.663,112.669,112.617,112.66,112.3117796,78.04099634,84.16377505
2018-01-04T06:00:00Z,112.66,112.661,112.488,112.581,112.3584017,60.63941216,75.38304269
2018-01-04T08:00:00Z,112.581,112.673,112.539,112.545,112.4003615,41.84391407,60.17477419
2018-01-04T10:00:00Z,112.545,112.617,112.527,112.602,112.4381254,34.80788075,45.76373566
2018-01-04T12:00:00Z,112.602,112.847,112.599,112.827,112.4721128,53.66590734,43.43923405
2018-01-04T14:00:00Z,112.827,112.857,112.753,112.773,112.5170993,72.85944065,53.77774291
2018-01-04T16:00:00Z,112.773,112.864,112.748,112.768,112.5646854,81.05936494,69.19490431
2018-01-04T18:00:00Z,112.768,112.839,112.725,112.749,112.6125757,71.5414988,75.1534348
2018-01-04T20:00:00Z,112.749,112.781,112.71,112.734,112.6528036,62.77737342,71.79274572
2018-01-04T22:00:00Z,112.734,112.804,112.717,112.802,112.686595,58.85300896,64.39062706
2018-01-05T00:00:00Z,112.802,112.807,112.728,112.773,112.71,50.53091563,57.38709934
2018-01-05T02:00:00Z,112.773,112.852,112.723,112.832,112.864,62.1882812,57.19073526
2018-01-05T04:00:00Z,112.832,113.003,112.827,112.998,112.723,75.03936641,62.58618775
2018-01-05T06:00:00Z,112.998,113.156,112.982,113.145,112.723,93.90110452,77.04291738
2018-01-05T08:00:00Z,113.145,113.241,113.137,113.226,112.74032,97.63068923,88.85705339
