time,open,high,low,close,EMA90,EMA75,EMA60,EMA45,EMA30,ParabolicSAR,%K,%D
2021-06-30T12:00:00+07:00,0.85923,0.86092,0.85875,0.85912,0.85836065,0.858207711,0.85810452,0.858103977,0.858317235,0.857832488,17.04718417,20.10369875
2021-06-30T16:00:00+07:00,0.85912,0.85979,0.85687,0.85834,0.858360197,0.858211192,0.858112241,0.858114239,0.858318704,0.86093,25.34077456,20.36980664
2021-06-30T20:00:00+07:00,0.85834,0.85906,0.85752,0.85855,0.858364368,0.858220108,0.858126594,0.858133185,0.858333626,0.86092,31.70979198,24.69925024
2021-07-01T00:00:00+07:00,0.85855,0.85875,0.85699,0.85706,0.858335701,0.858189579,0.858091624,0.858086525,0.858251457,0.860839,27.48971193,28.18009283
2021-07-01T04:00:00+07:00,0.85706,0.85789,0.85676,0.85783,0.858324586,0.858180116,0.858083046,0.858075372,0.858224266,0.86075962,23.96466445,27.72138946
2021-07-01T08:00:00+07:00,0.85783,0.85802,0.85723,0.85752,0.858306903,0.858162745,0.858064585,0.858051225,0.85817883,0.860599635,18.49834004,23.31757214
2021-07-01T12:00:00+07:00,0.85752,0.85977,0.85636,0.85947,0.858332466,0.858197146,0.858110664,0.858112911,0.858262131,0.86044605,47.33533605,29.93278018
2021-07-01T16:00:00+07:00,0.85947,0.86155,0.8592,0.86005,0.858370214,0.858245906,0.858174249,0.858197132,0.858377477,0.85636,62.46104006,42.76490538
2021-07-01T20:00:00+07:00,0.86005,0.86142,0.85924,0.86073,0.858422077,0.858311276,0.858258044,0.858307257,0.858529253,0.85636,82.1669991,63.98779174
2021-07-02T00:00:00+07:00,0.86073,0.86133,0.8599,0.85995,0.858455658,0.858354401,0.858313518,0.85837868,0.858620914,0.8564638,74.82337829,73.15047248
2021-07-02T04:00:00+07:00,0.85995,0.86116,0.85965,0.86062,0.858503226,0.858414022,0.858389141,0.858476129,0.858749887,0.856565524,78.48426461,78.49154733
2021-07-02T08:00:00+07:00,0.86062,0.86092,0.85971,0.8601,0.85853832,0.85845839,0.858445234,0.858546732,0.858836991,0.856665214,63.18342694,72.16368995
2021-07-02T12:00:00+07:00,0.8601,0.86095,0.85899,0.85987,0.858567587,0.858495537,0.858491948,0.858604266,0.858903637,0.856762909,52.19759632,64.62176262
2021-07-02T16:00:00+07:00,0.85987,0.86105,0.85934,0.85975,0.858593575,0.858528549,0.858533196,0.85865408,0.858958241,0.856858651,35.66349886,50.34817404
2021-07-02T20:00:00+07:00,0.85975,0.86018,0.85792,0.85795,0.85857943,0.858513324,0.858514074,0.858623468,0.858893193,0.856952478,23.20618339,37.02242619
2021-07-03T00:00:00+07:00,0.85795,0.85825,0.8569,0.85748,0.858555267,0.858486132,0.85848017,0.858573752,0.85880202,0.86155,15.79348734,24.8877232
2021-07-05T04:00:00+07:00,0.857,0.85823,0.85675,0.8578,0.858538667,0.858468076,0.85845787,0.858540111,0.858737373,0.861457,13.1068114,17.36882738
2021-07-05T08:00:00+07:00,0.8578,0.85797,0.85735,0.85767,0.858519576,0.858447074,0.858432038,0.85850228,0.85866851,0.86126872,19.92995237,16.27675037
2021-07-05T12:00:00+07:00,0.85767,0.85797,0.85668,0.85702,0.858486618,0.858409519,0.858385742,0.858437833,0.858562155,0.861087971,18.50941307,17.18205894
2021-07-05T16:00:00+07:00,0.85702,0.85754,0.85621,0.85682,0.858449989,0.85836769,0.858334406,0.858367492,0.858449758,0.860823493,20.33719845,19.59218796
2021-07-05T20:00:00+07:00,0.85682,0.85709,0.85623,0.85645,0.858406033,0.858317224,0.858272622,0.858284123,0.858320741,0.860454413,17.16581154,18.67080768
2021-07-06T00:00:00+07:00,0.85645,0.85698,0.85611,0.85614,0.85835623,0.858259929,0.8582027,0.8581909,0.858180048,0.86011486,14.46535071,17.3227869
2021-07-06T04:00:00+07:00,0.85614,0.8569,0.85582,0.85588,0.858301808,0.858197299,0.858126546,0.858090426,0.858031658,0.859714374,5.428263006,12.35314175
