time,open,high,low,close,EMA,ParabolicSAR,Basis,Upper,Lower,%K,%D
2021-10-25T09:00:00-04:00,86.579,86.78,85.892,85.927,85.45457936685985,84.1013328181248,85.428,86.78,84.076,70.58397366682448,84.06854613816138
2021-10-25T13:00:00-04:00,85.927,86.26,85.804,86.14,85.49880005286889,84.31562619267481,85.8355,86.78,84.891,51.458619990734014,71.41974844838056
2021-10-25T17:00:00-04:00,86.14,86.283,86.075,86.176,85.54249037203864,84.51277609726083,85.8355,86.78,84.891,32.28443907855377,51.44234424537074
2021-10-25T21:00:00-04:00,86.176,86.583,85.912,86.442,85.60052325126196,84.69415400947996,86.12049999999999,86.78,85.461,45.96994535519094,43.2376681414929
2021-10-26T01:00:00-04:00,86.442,86.442,85.725,85.848,85.61648949311603,84.86102168872156,86.2165,86.78,85.653,38.38079144329615,38.878391959013605
2021-10-26T05:00:00-04:00,85.848,86.532,85.534,86.47,85.67155468710855,85.01453995362384,86.15700000000001,86.78,85.534,55.4184854219487,46.58974074014525
2021-10-26T09:00:00-04:00,86.47,86.709,85.893,86.612,85.73222857826283,85.15577675733392,86.15700000000001,86.78,85.534,64.2104282192979,52.66990169484757
2021-10-26T13:00:00-04:00,86.612,86.708,86.366,86.421,85.77666544418136,85.28571461674721,86.15700000000001,86.78,85.534,85.48729286250311,68.37206883458323
2021-10-26T17:00:00-04:00,86.421,86.497,86.263,86.492,85.8228160606858,85.40525744740744,86.15700000000001,86.78,85.534,82.92198581560268,77.53990229913455
2021-10-26T21:00:00-04:00,86.492,86.52,85.932,86.179,85.8457956696738,85.51523685161484,86.1215,86.709,85.534,70.63829787234046,79.6825255168154
2021-10-27T01:00:00-04:00,86.179,86.179,85.366,85.636,85.83226046517872,86.78,86.0375,86.709,85.366,52.176592048076806,68.57895857867331
2021-10-27T05:00:00-04:00,85.636,85.867,85.355,85.578,85.81585656419945,86.75172,86.03200000000001,86.709,85.355,30.493251114087176,51.102713678168136
2021-10-27T09:00:00-04:00,85.578,86.07,84.464,84.785,85.74934968908981,86.6958512,85.5865,86.709,84.464,17.39965892930371,33.35650069715589
2021-10-27T13:00:00-04:00,84.785,85.133,84.27,84.295,85.65552067689048,86.561940128,85.48949999999999,86.709,84.27,11.068614556561842,19.653841533317564
2021-10-27T17:00:00-04:00,84.295,84.502,83.965,83.97,85.54677740741367,86.37858491776001,85.337,86.709,83.965,5.649929056575464,11.372734180813664
