time,open,high,low,close,Basis90,Upper90,Lower90,Basis20,Upper20,Lower20,RSI
2020-11-08T07:00:00+07:00,1.074,1.136,1.032,1.116,1.714266667,2.920539118,0.507994215,1.01395,1.183811679,0.844088321,50.13225682
2020-11-09T07:00:00+07:00,1.116,1.127,1,1.03,1.708488889,2.922807728,0.494170049,1.0133,1.18281118,0.84378882,45.24899853
2020-11-10T07:00:00+07:00,1.03,1.23,1.022,1.185,1.702966667,2.92222737,0.483705964,1.0175,1.199217913,0.835782087,53.95456356
2020-11-11T07:00:00+07:00,1.185,1.203,1.088,1.1,1.692966667,2.917072052,0.468861281,1.0168,1.197128145,0.836471855,49.32301303
2020-11-12T07:00:00+07:00,1.1,1.127,1.014,1.038,1.683744444,2.914921932,0.452566957,1.01515,1.194062576,0.836237424,46.20724078
2020-11-13T07:00:00+07:00,1.038,1.099,1.027,1.075,1.677155556,2.914929001,0.43938211,1.01615,1.196162527,0.836137473,48.30594588
2020-11-14T07:00:00+07:00,1.075,1.081,1.002,1.034,1.669355556,2.914373728,0.424337383,1.0131,1.1897,0.8365,46.15696923
2020-11-15T07:00:00+07:00,1.034,1.194,1.033,1.184,1.664122222,2.913290473,0.414953972,1.02065,1.212279095,0.829020905,54.18691685
2020-11-16T07:00:00+07:00,1.184,1.34,1.16,1.264,1.659533333,2.91150984,0.407556827,1.0283,1.244399144,0.812200856,57.80154155
2020-11-17T07:00:00+07:00,1.264,1.315,1.118,1.245,1.655588889,2.910524209,0.400653569,1.0404,1.275723097,0.805076903,56.65817735
2020-11-18T07:00:00+07:00,1.245,1.266,1.086,1.137,1.648444444,2.907778876,0.389110013,1.0459,1.28482752,0.80697248,50.53857758
2020-11-19T07:00:00+07:00,1.137,1.198,1.077,1.119,1.644,2.907945322,0.380054678,1.05225,1.291859578,0.812640422,49.57745651
2020-11-20T07:00:00+07:00,1.119,1.213,1.111,1.146,1.639522222,2.907630603,0.371413842,1.06075,1.300997268,0.820502732,51.08030354
2020-11-21T07:00:00+07:00,1.146,1.281,1.114,1.255,1.636433333,2.906916638,0.365950029,1.07425,1.326021226,0.822478774,56.69213043
2020-11-22T07:00:00+07:00,1.255,1.271,1.124,1.189,1.629288889,2.902521564,0.356056214,1.08675,1.335222836,0.838277164,52.74650105
2020-11-23T07:00:00+07:00,1.189,1.362,1.151,1.286,1.624977778,2.900201644,0.349753911,1.1084,1.346887232,0.869912768,57.43524125
