time,open,high,low,close,Basis90,Upper90,Lower90,RSI
2022-08-02T02:15:00+07:00,131.68,131.716,131.648,131.654,132.3809889,133.3460918,131.4158859,33.5791855
2022-08-02T02:30:00+07:00,131.654,131.724,131.627,131.685,132.3639889,133.323615,131.4043628,36.14064909
2022-08-02T02:45:00+07:00,131.685,131.705,131.621,131.643,132.3465111,133.3007125,131.3923097,34.21543792
2022-08-02T03:00:00+07:00,131.643,131.668,131.607,131.62,132.3289,133.2775636,131.3802364,33.17327876
2022-08-02T03:15:00+07:00,131.62,131.649,131.607,131.618,132.3113444,133.2534807,131.3692082,33.07892696
2022-08-02T03:30:00+07:00,131.618,131.633,131.601,131.631,132.2922556,133.2190136,131.3654975,34.38528167
2022-08-02T03:45:00+07:00,131.631,131.64,131.597,131.608,132.2733222,133.1854839,131.3611605,33.15223312
2022-08-02T04:00:00+07:00,131.608,131.645,131.603,131.605,132.2543889,133.150371,131.3584068,32.986077
2022-08-02T04:15:00+07:00,131.605,131.629,131.599,131.623,132.2353778,133.1113078,131.3594477,35.08822359
2022-08-02T04:30:00+07:00,131.623,131.657,131.623,131.65,132.2164444,133.0681693,131.3647196,38.21884069
2022-08-02T04:45:00+07:00,131.65,131.672,131.637,131.648,132.1961556,133.0133847,131.3789264,38.07236443
2022-08-02T05:00:00+07:00,131.648,131.701,131.613,131.685,132.1755889,132.9488922,131.4022856,42.46549871
2022-08-02T05:15:00+07:00,131.685,131.728,131.666,131.693,132.1569556,132.8942172,131.4196939,43.40042229
2022-08-02T05:30:00+07:00,131.693,131.693,131.474,131.639,132.1408444,132.859058,131.4226309,38.81541101
2022-08-02T05:45:00+07:00,131.639,131.699,131.519,131.555,132.1251,132.8317753,131.4184247,32.97890549
2022-08-02T06:00:00+07:00,131.555,131.681,131.509,131.591,132.1104111,132.8058353,131.4149869,37.32829329
2022-08-02T06:15:00+07:00,131.591,131.606,131.519,131.55,132.0956333,132.7814734,131.4097933,34.57621899
2022-08-02T06:30:00+07:00,131.55,131.639,131.487,131.546,132.0876,132.7820128,131.3931872,34.31044699
2022-08-02T06:45:00+07:00,131.546,131.667,131.376,131.404,132.0781,132.7861337,131.3700663,26.51783829
2022-08-02T07:00:00+07:00,131.404,131.527,131.274,131.294,132.0657667,132.7891669,131.3423665,22.29378551
2022-08-02T07:15:00+07:00,131.294,131.315,130.971,131.033,132.0503444,132.8014455,131.2992434,15.84459859
2022-08-02T07:30:00+07:00,131.033,131.125,130.579,130.791,132.0327667,132.8257209,131.2398124,12.29354121
2022-08-02T07:45:00+07:00,130.791,130.978,130.703,130.937,132.0160889,132.8368995,131.1952783,23.44142567
2022-08-02T08:00:00+07:00,130.937,130.97,130.752,130.797,131.9978222,132.8524703,131.1431741,20.7215836
2022-08-02T08:15:00+07:00,130.797,130.937,130.727,130.746,131.9794111,132.869028,131.0897943,19.81943563
2022-08-02T08:30:00+07:00,130.746,130.766,130.391,130.566,131.9564,132.883152,131.029648,17.00540498
2022-08-02T08:45:00+07:00,130.566,130.713,130.564,130.683,131.9341222,132.8855236,130.9827209,24.50839296
2022-08-02T09:00:00+07:00,130.683,130.796,130.545,130.727,131.9138556,132.8892379,130.9384732,27.17474774
2022-08-02T09:15:00+07:00,130.727,130.752,130.635,130.686,131.8928222,132.891293,130.8943515,26.24455211
2022-08-02T09:30:00+07:00,130.686,130.765,130.564,130.631,131.8709556,132.8925385,130.8493726,25.00789466
2022-08-02T09:45:00+07:00,130.631,130.742,130.619,130.673,131.8509222,132.8947317,130.8071127,27.80549506
2022-08-02T10:00:00+07:00,130.673,130.946,130.635,130.857,131.8327444,132.8881115,130.7773774,38.61034087
2022-08-02T10:15:00+07:00,130.857,130.869,130.789,130.869,131.8135222,132.8753632,130.7516813,39.24892265
2022-08-02T10:30:00+07:00,130.869,130.946,130.841,130.872,131.7944333,132.8615091,130.7273575,39.41858497
2022-08-02T10:45:00+07:00,130.872,130.908,130.785,130.844,131.7756889,132.8495979,130.7017799,38.34229092
2022-08-02T11:00:00+07:00,130.844,130.854,130.727,130.755,131.7560889,132.8393665,130.6728113,35.06496263
2022-08-02T11:15:00+07:00,130.755,130.821,130.733,130.807,131.7366778,132.8246674,130.6486882,38.37908147
2022-08-02T11:30:00+07:00,130.807,130.864,130.737,130.769,131.7163,132.8073187,130.6252813,36.89708891
2022-08-02T11:45:00+07:00,130.769,130.799,130.719,130.719,131.6963444,132.7938788,130.5988101,34.98292696
2022-08-02T12:00:00+07:00,130.719,130.723,130.635,130.664,131.6759667,132.7812831,130.5706502,32.95749288
2022-08-02T12:15:00+07:00,130.664,130.696,130.421,130.474,131.6557667,132.7815711,130.5299622,27.11667129
2022-08-02T12:30:00+07:00,130.474,130.653,130.463,130.647,131.6383778,132.7775452,130.4992104,37.9071043
2022-08-02T12:45:00+07:00,130.647,130.701,130.614,130.652,131.6196333,132.7675542,130.4717125,38.19192039
2022-08-02T13:00:00+07:00,130.652,130.875,130.634,130.827,131.6019111,132.7489839,130.4548383,47.30284569
2022-08-02T13:15:00+07:00,130.827,131.092,130.822,130.914,131.5837111,132.7218519,130.4455703,51.15746358
2022-08-02T13:30:00+07:00,130.914,130.928,130.785,130.814,131.5651333,132.6983288,130.4319379,46.91004153
2022-08-02T13:45:00+07:00,130.814,130.928,130.73,130.863,131.5469444,132.672056,130.4218329,49.13841051
2022-08-02T14:00:00+07:00,130.863,130.948,130.659,130.751,131.5293889,132.6543236,130.4044542,44.53689125
2022-08-02T14:15:00+07:00,130.751,130.874,130.712,130.847,131.5127333,132.6331914,130.3922753,48.94971147
2022-08-02T14:30:00+07:00,130.847,130.893,130.732,130.819,131.4955889,132.61075,130.3804278,47.75623573
2022-08-02T14:45:00+07:00,130.819,130.865,130.761,130.826,131.4798,132.5921937,130.3674063,48.09694276
2022-08-02T15:00:00+07:00,130.826,131.022,130.784,130.957,131.4678556,132.579361,130.3563501,54.12626715
2022-08-02T15:15:00+07:00,130.957,131.117,130.868,131.105,131.4577222,132.5656404,130.3498041,59.80696413
2022-08-02T15:30:00+07:00,131.105,131.178,130.995,131.01,131.4462333,132.5510353,130.3414314,55.09105723
2022-08-02T15:45:00+07:00,131.01,131.044,130.867,130.873,131.4331444,132.5368886,130.3294003,49.08063128
2022-08-02T16:00:00+07:00,130.873,131.054,130.844,130.976,131.4208556,132.5200477,130.3216634,53.21345132
2022-08-02T16:15:00+07:00,130.976,130.992,130.802,130.833,131.4052111,132.4973229,130.3130993,47.45472498
2022-08-02T16:30:00+07:00,130.833,130.839,130.699,130.797,131.3893333,132.474782,130.3038847,46.10210162
2022-08-02T16:45:00+07:00,130.797,130.879,130.787,130.803,131.3721111,132.4449663,130.2992559,46.37643996
2022-08-02T17:00:00+07:00,130.803,130.973,130.801,130.925,131.3557111,132.4101199,130.3013024,51.75382148
