time,open,high,low,close,EMA40,EMA75,ParabolicSAR
2005-06-17T02:00:00Z,480.44,481.95999,478.66,479.17999,385.2476424,290.2761051,445.526461
2005-06-20T02:00:00Z,479.32001,480.31,475.13,475.13,389.6321476,295.1406812,448.5971441
2005-06-21T02:00:00Z,474.14999,483.92999,473.44,483.12,394.1925307,300.0875054,451.4221726
2005-06-22T02:00:00Z,483.12,485.54001,480.45999,480.54001,398.4046028,304.8362555,454.6729543
2005-06-23T02:00:00Z,481.95999,487.42001,481.95999,486.38,402.6960856,309.6137225,458.377001
2005-06-24T02:00:00Z,485.35001,486.95999,483.13,483.13,406.6196912,314.1799403,462.4430223
2005-06-27T02:00:00Z,484.04999,484.04999,477.84,478.37,410.1197063,318.5007314,465.9398006
2005-06-28T02:00:00Z,478.95999,481.39001,477.48001,478.75,413.4675255,322.7178174,468.9470299
2005-06-29T02:00:00Z,479.32001,483.72,479.14001,479.45001,416.6861833,326.8423488,471.5332471
2005-06-30T02:00:00Z,479.98999,480.57999,471.66,471.66,419.3678329,330.6533396,487.42001
2005-07-04T02:00:00Z,471.45001,472.48999,464.53,469.14001,421.7957439,334.2977257,487.1048098
2005-07-05T02:00:00Z,469.09,469.17001,463.64001,463.95999,423.8525364,337.7098905,486.2018174
2005-07-06T02:00:00Z,465.48999,466.22,459.67001,461.57999,425.6929,340.96963,484.848109
2005-07-07T02:00:00Z,459.54999,460.23001,445.42001,446.03,426.6849537,343.7343766,482.833861
2005-07-08T02:00:00Z,445.35999,450.32001,440.29001,450.32001,427.8378832,346.5392616,479.0924759
2005-07-11T02:00:00Z,456.01999,456.73999,448.39001,448.70999,428.8560348,349.227965,474.43618
2005-07-12T02:00:00Z,451.54001,456.92001,451.26999,455.56,430.1586672,352.0261765,470.3386396
2005-07-13T02:00:00Z,456.29001,463.10001,454.76001,463.10001,431.765562,354.9491721,466.7328041
2005-07-14T02:00:00Z,465.60001,467.76999,462.37,465.01001,433.3872424,357.8455099,440.29001
2005-07-15T02:00:00Z,464.22,464.22,459.69,460.32001,434.7010359,360.5422073,440.8396096
2005-07-18T02:00:00Z,461.03,461.87,456.14999,458.41,435.8575708,363.1176755,441.3782172
2005-07-19T02:00:00Z,458.41,460.44,454.76001,454.76001,436.779641,365.5293159,441.9060527
2005-07-20T02:00:00Z,457.26001,457.85001,453.70001,456.31,437.7323414,367.9182813,442.4233314
2005-07-21T02:00:00Z,456.88,457.32999,453.69,455.17001,438.5829594,370.2143794,442.9302646
2005-07-25T02:00:00Z,458.22,463.95001,458.07999,463.95001,439.8203765,372.6811065,443.4270591
2005-07-26T02:00:00Z,464.09,464.29001,460.23001,461.60999,440.8832845,375.0213403,443.9139177
2005-07-27T02:00:00Z,462.09,468.79999,460.78,468.79999,442.245075,377.4891995,444.3910392
2005-07-28T02:00:00Z,468.89999,477.5,468.89999,472.32001,443.712145,379.9847471,445.3673972
2005-07-29T02:00:00Z,474.07001,478.07999,473.73999,477.14999,445.3432594,382.5417272,447.2953534
2005-08-01T02:00:00Z,478.37,478.69,472.92001,476.88,446.881637,385.0243133,449.7581243
2005-08-02T02:00:00Z,479.38,485.41,478.57999,484.39999,448.7118005,387.6394627,452.6513119
2005-08-03T02:00:00Z,488.73001,490.45001,483.53,487.82999,450.6200049,390.2760556,456.5823544
2005-08-04T02:00:00Z,490.23001,491.72,484.39999,484.39999,452.2678091,392.7530012,461.3238262
2005-08-05T02:00:00Z,484.20001,487.51001,481.34,485.19,453.8737696,395.1855538,466.187214
2005-08-08T02:00:00Z,485.57001,486.67001,482.92999,485.31,455.4072442,397.5572498,470.2724598
2005-08-09T02:00:00Z,486.09,488.79001,481.91,481.91,456.7000616,399.777059,473.7040662
2005-08-10T02:00:00Z,485.62,486.48001,483.01001,484.16,458.0395708,401.9976627,476.5866156
2005-08-11T02:00:00Z,484.51001,485.84,481.38,481.38,459.1781283,404.0866716,479.0079571
2005-08-15T02:00:00Z,481.10001,481.10001,474.73001,477.48001,460.070903,406.0180752,491.72
2005-08-16T02:00:00Z,477.48001,480.32999,469.48001,470.25,460.5674443,407.708389,491.3802002
2005-08-17T02:00:00Z,467.92999,472.35001,466.14001,471.01001,461.0768378,409.3742211,490.5041926
2005-08-18T02:00:00Z,474.60999,476.97,470.89001,475.01001,461.7565047,411.1014787,489.0423416
2005-08-19T02:00:00Z,480.04999,482.16,475,482.16,462.7517972,412.9714398,487.6682017
2005-08-22T02:00:00Z,482.16,490.39001,481.23999,490.39001,464.1000027,415.0087706,466.14001
2005-08-23T02:00:00Z,495.34,496.63,488.92999,489.79999,465.3536606,416.9769606,466.62501
2005-08-24T02:00:00Z,491.04999,496.69,488.41,494.04001,466.7529947,419.0049356,467.8252096
2005-08-25T02:00:00Z,496.31,497.23001,491.39999,491.39999,467.9552872,420.9100686,469.557097
2005-08-26T02:00:00Z,491.95999,495.97,488.76999,494.73999,469.261858,422.8529613,471.7709301
2005-08-29T02:00:00Z,492.82001,495.19,487.56,491.42001,470.3427435,424.6573573,473.8076565
2005-08-30T02:00:00Z,489.64001,492.34,488.41,491.92999,471.3957799,426.4276897,475.6814447
2005-08-31T02:00:00Z,493.73999,496.62,491.13,495.78,472.5852541,428.2527505,477.40533
2005-09-01T02:00:00Z,499.60001,505.57001,495.78,505.57001,474.1942665,430.2874152,478.9913044
2005-09-02T02:00:00Z,503.70999,507.22,501.75,505.26999,475.7101555,432.2606409,481.6491749
2005-09-05T02:00:00Z,505.28,507.32001,502.98999,503.07999,477.0452694,434.124308,484.7176739
2005-09-06T02:00:00Z,503.07999,507.09,499.78,500.78,478.2030611,435.8784051,487.882001
2005-09-07T02:00:00Z,500.78,507,500.78,502.69,479.3975459,437.636605,490.6033222
2005-09-08T02:00:00Z,502.92999,508.87,500.76001,507.79001,480.7825442,439.4827472,492.9436585
2005-09-09T02:00:00Z,510.95999,510.95999,505.19,505.51999,481.9892489,441.2205694,495.4918732
2005-09-12T02:00:00Z,505.51999,509.66,505,505.39001,483.1307494,442.9092389,498.2761342
2005-09-13T02:00:00Z,504.97,506.35999,501.10001,502.89001,484.0946158,444.4876803,500.5592282
2005-09-14T02:00:00Z,502.69,507.91,502.69,507.91,485.2563418,446.1566887,501.10001
2005-09-15T02:00:00Z,508.89999,509.62,502.56,502.56,486.1004227,447.6409863,510.95999
2005-09-16T02:00:00Z,502.56,503.14001,496.97,500.17999,486.7872309,449.0235917,510.7919902
