time,open,high,low,close,EMA,ParabolicSAR
2002-03-04T22:00:00Z,0.52,0.521,0.5185,0.5202,0.5151168812739756,0.5120609599999999
2002-03-05T22:00:00Z,0.5202,0.5231,0.5186999999999999,0.5225,0.5154770334069524,0.5124305215999999
2002-03-06T22:00:00Z,0.5225,0.5263,0.5215,0.5252,0.5159513244602718,0.5130706903039999
2002-03-07T22:00:00Z,0.5252,0.5253,0.521,0.5229,0.5162902842426976,0.5141290350796799
2002-03-10T22:00:00Z,0.5215,0.5222,0.5194,0.5216999999999999,0.5165541728162246,0.5151027122733055
2002-03-11T22:00:00Z,0.5216999999999999,0.5218,0.519,0.5208,0.5167612863373844,0.515998495291441
2002-03-12T22:00:00Z,0.5208,0.5208,0.5183,0.5196999999999999,0.5169046382233656,0.5168226156681257
2002-03-13T22:00:00Z,0.5196999999999999,0.5241,0.5194,0.5234,0.517221485139299,0.5175808064146756
2002-03-14T22:00:00Z,0.5234,0.5263,0.5226999999999999,0.5257999999999999,0.5176399492788454,0.5182783419015016
2002-03-17T22:00:00Z,0.5256,0.5263,0.5225,0.5251,0.5180038541920724,0.5189200745493815
2002-03-18T22:00:00Z,0.5251,0.5253,0.5225,0.5229,0.5182426905729469,0.5195104685854309
2002-03-19T22:00:00Z,0.5229,0.5314,0.5215,0.5304,0.5188357300571934,0.5200536310985965
2002-03-20T22:00:00Z,0.5304,0.5332,0.529,0.5306,0.5194095968836718,0.5211882679887369
2002-03-21T22:00:00Z,0.5306,0.5336,0.5294,0.5302,0.5199359580112975,0.5215
2002-03-24T22:00:00Z,0.5302,0.5326,0.5293,0.53,0.5204268868887952,0.5231939999999999
2002-03-25T22:00:00Z,0.53,0.5301,0.5264,0.5277999999999999,0.5207865509430003,0.52465084
2002-03-26T22:00:00Z,0.5277999999999999,0.5285,0.5267999999999999,0.5277999999999999,0.5211286704091954,0.5259037223999999
2002-03-27T22:00:00Z,0.5277999999999999,0.5347,0.5276,0.5336,0.5217370279502103,0.5264
