time,open,high,low,close,EMA75,EMA90,EMA60,EMA30,ParabolicSAR,EMA45
2009-04-07T06:00:00Z,311.42,315.41,309.58,309.58,300.8763015,299.7031111,301.8475977,303.3443595,299.0154252,302.0798766
2009-04-08T02:00:00Z,305.78,308.36,305.78,306.25,301.0177147,299.8469988,301.9919388,303.5318202,300.3269912,302.2611863
2009-04-08T06:00:00Z,306.09,307.79,305.93,307.46,301.1872485,300.0143175,302.1712195,303.7852512,301.5336319,302.4872217
2009-04-09T02:00:00Z,311.73,316.6,311.73,314.96,301.5496893,300.342794,302.5905238,304.5062027,302.6437414,303.0295164
2009-04-09T06:00:00Z,314.17,314.3,310.02,310.91,301.7960133,300.5750403,302.8632935,304.9193509,304.0393672,303.3721461
2009-04-10T02:00:00Z,313.49,314.26,310.21,311.18,302.0429603,300.8081163,303.1359724,305.3232638,305.2954305,303.711618
2009-04-10T06:00:00Z,310.91,318.92,310.75,318.57,302.4778824,301.1984874,303.6420061,306.1778919,306.4258874,304.3576346
2009-04-16T02:00:00Z,314.91,321.37,312.92,317.48,302.872675,301.5563229,304.0957108,306.9070602,307.925181,304.9281722
2009-04-16T06:00:00Z,317.03,317.22,312.93,317.22,303.2502362,301.9005795,304.5260154,307.5724111,309.8074556,305.4625995
2009-04-17T02:00:00Z,319.21,322.97,316.68,317.09,303.6144405,302.2344129,304.9379493,308.1864491,311.4262118,305.9681387
2009-04-17T06:00:00Z,317.17,321.66,314.93,320.47,304.0580078,302.6351951,305.4471969,308.9789363,312.93,306.5986544
2009-04-20T02:00:00Z,320.62,331.3,320.13,331.22,304.7727971,303.2634325,306.2922068,310.4138436,314.5364,307.6691477
2009-04-20T06:00:00Z,330.8,332.72,328.4,328.49,305.396934,303.8178626,307.0200033,311.5800472,314.93,308.5744021
2009-04-21T02:00:00Z,322.3,326.21,322.3,325.52,305.9264884,304.2948326,307.6265606,312.479399,318.488,309.3111673
2009-04-21T06:00:00Z,325.64,328.53,325.35,328.02,306.5078966,304.8162649,308.2951979,313.4820185,321.3344,310.1245948
2009-04-22T02:00:00Z,330.54,331.22,323.4,325.41,307.0053203,305.2688744,308.856339,314.2515657,332.72,310.7891776
2009-04-22T06:00:00Z,324,324.18,321.87,323.09,307.4286014,305.6605475,309.3230164,314.8217872,332.5336,311.323996
2009-04-23T02:00:00Z,323.65,325.45,322.97,324.14,307.868375,306.0666893,309.8088191,315.4229622,332.107056,311.8812135
2009-04-23T06:00:00Z,324.49,326.94,324.48,326.94,308.3702599,306.5254434,310.3704972,316.1659969,331.6975738,312.5359434
2009-04-24T02:00:00Z,330.45,333.48,329.46,332.29,308.9997268,307.0916974,311.0891694,317.2062552,321.87,313.3948154
2009-04-24T06:00:00Z,332.54,335.04,332.08,332.83,309.6268392,307.6573744,311.8019835,318.2142387,322.1022,314.2398234
2009-04-27T02:00:00Z,332.73,335.12,331.17,333.32,310.2503434,308.2213881,312.5074923,319.188804,322.619712,315.0693963
2009-04-27T06:00:00Z,333.43,335.42,332.26,333.4,310.8595449,308.7747642,313.1924925,320.1056553,323.3697293,315.8663791
2009-04-28T02:00:00Z,335.49,337.85,330.25,330.57,311.3782411,309.2537804,313.7622469,320.7807743,324.3337509,316.505667
2009-04-28T06:00:00Z,329.48,332.63,328.55,331.76,311.9146032,309.7484226,314.3523371,321.4891115,325.6853758,317.1688988
2009-04-29T02:00:00Z,334.48,335.11,332.07,334.96,312.521061,310.3025232,315.0279982,322.3582011,326.9018383,317.942425
2009-04-29T06:00:00Z,335.74,340.12,335.74,340.12,313.2473489,310.9578524,315.8506868,323.5041236,327.9966544,318.9066674
