time,open,high,low,close,EMA45,EMA90,EMA75,ParabolicSAR,EMA30,EMA60
2014-01-22T18:00:00Z,108.42,108.634,108.093,108.4725,107.0855708,107.1862667,107.2445249,107.4320279,107.1582765,107.1664712
2014-01-22T22:00:00Z,108.4725,108.5575,108.27,108.277,107.137372,107.2102388,107.2716953,107.600304,107.2304522,107.2028819
2014-01-23T02:00:00Z,108.277,108.529,108.204,108.32,107.1887906,107.2346292,107.2992822,107.7450214,107.3007456,107.2395088
2014-01-23T06:00:00Z,108.32,108.566,108.156,108.473,107.2446258,107.2618461,107.3301695,107.8694784,107.3763749,107.2799511
2014-01-23T10:00:00Z,108.473,108.58,107.927,107.955,107.2755117,107.2770803,107.3466125,108.634,107.4137056,107.3020838
2014-01-23T14:00:00Z,107.955,108.363,107.675,107.957,107.3051416,107.2920236,107.3626753,108.61986,107.4487568,107.3235565
2014-01-23T18:00:00Z,107.957,108.233,107.67,107.8475,107.3287224,107.3042318,107.3754338,108.5820656,107.4744822,107.340735
2014-01-23T22:00:00Z,107.8475,108.006,107.8075,107.986,107.3572997,107.3192158,107.3915014,108.5273417,107.5074833,107.3618912
2014-01-24T02:00:00Z,107.986,108.055,107.929,107.978,107.3842866,107.3336945,107.4069355,108.4759012,107.5378392,107.3820915
2014-01-24T06:00:00Z,107.978,108.083,107.239,107.329,107.3818829,107.3335914,107.4048846,108.4275471,107.5243657,107.3803508
2014-01-24T10:00:00Z,107.329,107.367,106.517,107.315,107.3789749,107.3331828,107.4025192,108.3324633,107.5108583,107.3782081
2014-01-24T14:00:00Z,107.315,108.268,107.006,108.165,107.4131499,107.3514644,107.4225845,106.517,107.553061,107.4040046
2014-01-24T18:00:00Z,108.165,108.307,108.001,108.21,107.4477956,107.3703334,107.443306,106.517,107.5954441,107.4304307
2014-01-26T22:00:00Z,108.21,108.21,107.758,107.79,107.462674,107.3795568,107.4524295,106.5886,107.6079961,107.4422198
2014-01-27T02:00:00Z,107.79,107.974,107.693,107.838,107.4789926,107.3896325,107.4625761,106.657336,107.6228351,107.4551962
2014-01-27T06:00:00Z,107.838,108.065,107.511,107.866,107.495819,107.4001021,107.4731925,106.7233226,107.6385231,107.4686652
2014-01-27T10:00:00Z,107.866,107.914,107.173,107.415,107.4923051,107.4004295,107.4716611,106.7866697,107.6241023,107.4669057
2014-01-27T14:00:00Z,107.415,107.746,106.935,107.105,107.4754657,107.3939366,107.4620121,106.8474829,107.5906118,107.4550399
2014-01-27T18:00:00Z,107.105,107.435,106.683,107.2455,107.4654672,107.3906742,107.4563145,108.307,107.5683465,107.4481698
2014-01-27T22:00:00Z,107.2455,107.334,107.184,107.198,107.4538382,107.3864396,107.4495167,108.27452,107.5444532,107.4399675
2014-01-28T02:00:00Z,107.198,107.23,107.119,107.146,107.440454,107.3811552,107.4415294,108.2426896,107.5187466,107.4303292
2014-01-28T06:00:00Z,107.146,107.608,106.988,107.407,107.4389994,107.3817233,107.4406208,108.2114958,107.5115371,107.4295643
2014-01-28T10:00:00Z,107.407,107.519,107.045,107.257,107.4310864,107.3789821,107.4357886,108.1809259,107.4951154,107.4239065
2014-01-28T14:00:00Z,107.257,108.015,107.062,107.495,107.4338653,107.3815319,107.4373468,108.1509674,107.4951079,107.4262374
2014-01-28T18:00:00Z,107.495,107.772,107.375,107.7305,107.4467624,107.3892016,107.4450614,108.121608,107.5102945,107.4362132
2014-01-28T22:00:00Z,107.7305,107.7335,107.589,107.621,107.454338,107.394296,107.4496913,108.0928359,107.5174368,107.4422718
2014-01-29T02:00:00Z,107.621,107.817,107.587,107.596,107.4604972,107.3987291,107.4535416,108.0646391,107.5225054,107.4473121
2014-01-29T06:00:00Z,107.596,107.815,107.296,107.326,107.4546495,107.3971306,107.4501852,108.0370064,107.5098276,107.4433346
2014-01-29T10:00:00Z,107.326,108.254,107.153,107.391,107.4518821,107.3969959,107.4486277,106.683,107.5021613,107.4416187
