time,open,high,low,close,Basic90,Upper90,Lower90,RSI
2022-09-02T05:15:00+07:00,1593.7,1595.7,1587.1,1588.2,1556.755556,1585.569751,1527.94136,61.96881024
2022-09-02T05:30:00+07:00,1587.9,1588.9,1584.2,1585.6,1557.004444,1586.417743,1527.591146,59.94237504
2022-09-02T05:45:00+07:00,1584,1589.1,1584,1586.1,1557.305556,1587.342649,1527.268462,60.21183535
2022-09-02T06:00:00+07:00,1587.5,1588.5,1581.6,1585.8,1557.848889,1588.157732,1527.540045,59.95125371
2022-09-02T06:15:00+07:00,1585.3,1590.3,1584.6,1587.2,1558.242222,1589.139946,1527.344499,60.80376044
2022-09-02T06:30:00+07:00,1585.6,1589.3,1583.6,1587.6,1558.646667,1590.112785,1527.180548,61.05881594
2022-09-02T06:45:00+07:00,1588.3,1588.3,1583,1585.6,1558.978889,1590.941012,1527.016766,58.99183315
2022-09-02T07:00:00+07:00,1584.6,1584.6,1579.2,1583.3,1559.214444,1591.5751,1526.853788,56.61812936
2022-09-02T07:15:00+07:00,1582.2,1582.2,1572.9,1579.1,1559.427778,1592.055742,1526.799814,52.46646202
2022-09-02T07:30:00+07:00,1579.1,1579.4,1576.7,1577.9,1559.498889,1592.259414,1526.738364,51.30881632
2022-09-02T07:45:00+07:00,1577.3,1583.8,1577.3,1582.4,1559.616667,1592.628493,1526.604841,55.29254528
2022-09-02T08:00:00+07:00,1581.8,1582.8,1571.2,1574.4,1559.763333,1592.918972,1526.607694,47.8044713
2022-09-02T08:15:00+07:00,1574.5,1581.2,1574.2,1580.8,1560.021111,1593.464961,1526.577261,53.25808887
2022-09-02T08:30:00+07:00,1581,1581,1577.1,1577.3,1560.238889,1593.874157,1526.60362,50.17081411
2022-09-02T08:45:00+07:00,1576.8,1580.6,1575.9,1579.6,1560.498889,1594.366218,1526.63156,52.13443381
2022-09-02T09:00:00+07:00,1580,1582.6,1573.4,1574.6,1560.797778,1594.682812,1526.912744,47.73091182
2022-09-02T09:15:00+07:00,1573.5,1576.8,1568.9,1571.6,1561.037778,1594.919475,1527.156081,45.26070802
2022-09-02T09:30:00+07:00,1572.2,1575,1572.1,1574.3,1561.356667,1595.191377,1527.521957,47.87529937
2022-09-02T09:45:00+07:00,1575.1,1578.2,1574.9,1577.7,1561.654444,1595.587387,1527.721502,51.04625663
