time,open,high,low,close,Basis90,Upper90,Lower90,Basis20,Upper20,Lower20,RSI,
2016-01-23T01:00:00+07:00,0.70064,0.70107,0.69965,0.69975,0.699720444,0.719264855,0.680176034,0.6940425,0.705269654,0.682815346,59.55314872,NaN
2016-01-25T05:00:00+07:00,0.70001,0.701,0.6981,0.69932,0.699464111,0.718408448,0.680519775,0.694359,0.705804399,0.682913601,58.48499109,NaN
2016-01-25T09:00:00+07:00,0.69932,0.70315,0.6991,0.70166,0.699242,0.717600341,0.680883659,0.694907,0.706644939,0.683169061,62.4337494,NaN
2016-01-25T13:00:00+07:00,0.70166,0.7024,0.69675,0.69835,0.698983667,0.716720076,0.681247257,0.6953625,0.706890603,0.683834397,54.5323113,NaN
2016-01-25T17:00:00+07:00,0.69835,0.69943,0.69726,0.69729,0.698745778,0.715985392,0.681506164,0.695911,0.706685202,0.685136798,52.25170789,NaN
2016-01-25T21:00:00+07:00,0.69729,0.69928,0.69621,0.69795,0.698525667,0.715287831,0.681763502,0.696491,0.706354407,0.686627593,53.55417072,NaN
2016-01-26T01:00:00+07:00,0.69795,0.69843,0.69494,0.69542,0.698264444,0.714470062,0.682058827,0.696878,0.705899662,0.687856338,48.13391301,NaN
2016-01-26T05:00:00+07:00,0.69542,0.69553,0.69338,0.69528,0.697975889,0.713442086,0.682509692,0.6973215,0.705015558,0.689627442,47.84533817,NaN
2016-01-26T09:00:00+07:00,0.69528,0.69679,0.69453,0.69508,0.697699556,0.712457943,0.682941168,0.697546,0.704683169,0.690408831,47.40807165,NaN
2016-01-26T13:00:00+07:00,0.69508,0.69678,0.69186,0.69662,0.697466222,0.711608619,0.683323825,0.6976915,0.704625691,0.690757309,51.11296497,NaN
2016-01-26T17:00:00+07:00,0.69662,0.7001,0.6956,0.70004,0.697277444,0.710810683,0.683744206,0.698229,0.704052524,0.692405476,58.1618323,NaN
2016-01-26T21:00:00+07:00,0.70004,0.70198,0.69936,0.70191,0.697135667,0.710196197,0.684075136,0.6987225,0.704012913,0.693432087,61.43604849,NaN
2016-01-27T01:00:00+07:00,0.70191,0.70211,0.7003,0.70045,0.696963556,0.709422748,0.684504363,0.69913,0.703565245,0.694694755,57.64309171,NaN
2016-01-27T05:00:00+07:00,0.70045,0.70413,0.69907,0.70272,0.696852667,0.70892118,0.684784153,0.69933,0.704026318,0.694633682,61.61147597,NaN
2016-01-27T09:00:00+07:00,0.70272,0.70399,0.70063,0.70288,0.696751,0.708455035,0.685046965,0.699482,0.704424819,0.694539181,61.8825526,NaN
2016-01-27T13:00:00+07:00,0.70288,0.7052,0.70163,0.70382,0.696707444,0.708275968,0.685138921,0.6997275,0.705008465,0.694446535,63.51269309,NaN
2016-01-27T17:00:00+07:00,0.70382,0.70686,0.70281,0.70604,0.696683778,0.708166804,0.685200751,0.699917,0.705785721,0.694048279,67.09210093,NaN
2016-01-27T21:00:00+07:00,0.70604,0.70817,0.70337,0.70652,0.696693889,0.708209892,0.685177886,0.7001605,0.706666188,0.693654812,67.82701022,NaN
2016-01-28T01:00:00+07:00,0.70652,0.70711,0.70013,0.70257,0.696643444,0.708015372,0.685271517,0.7002155,0.706782848,0.693648152,56.62098604,NaN
2016-01-28T05:00:00+07:00,0.70257,0.70467,0.7008,0.70467,0.696663,0.708083913,0.685242087,0.700417,0.707265367,0.693568633,60.36970647,NaN
2016-01-28T09:00:00+07:00,0.70467,0.70478,0.70316,0.70379,0.696668556,0.708102836,0.685234275,0.700619,0.707613523,0.693624477,58.10372972,NaN
2016-01-28T13:00:00+07:00,0.70379,0.70908,0.7037,0.70869,0.696734222,0.708374172,0.685094273,0.7010875,0.708880838,0.693294162,65.80116126,NaN
2016-01-28T17:00:00+07:00,0.70869,0.70946,0.70614,0.70944,0.696853889,0.708788694,0.684919084,0.7014765,0.710079879,0.692873121,66.80641231,NaN
2016-01-28T21:00:00+07:00,0.70944,0.71284,0.70798,0.70922,0.696928333,0.709085101,0.684771566,0.70202,0.711123511,0.692916489,66.19178288,NaN
2016-01-29T01:00:00+07:00,0.70922,0.70937,0.70751,0.70829,0.697007889,0.709365651,0.684650127,0.70257,0.71179236,0.69334764,63.5309035,NaN
2016-01-29T05:00:00+07:00,0.70829,0.70995,0.70744,0.70995,0.697064,0.709609031,0.684518969,0.70317,0.712669259,0.693670741,66.14685648,NaN
2016-01-29T09:00:00+07:00,0.70995,0.7135,0.70677,0.71262,0.697148,0.710003468,0.684292532,0.70403,0.713680156,0.694379844,69.8882147,NaN
2016-01-29T13:00:00+07:00,0.71262,0.7141,0.70896,0.70919,0.697224,0.710280881,0.684167119,0.7047255,0.713736785,0.695714215,60.61967276,NaN
2016-01-29T17:00:00+07:00,0.70919,0.71005,0.70698,0.70877,0.697314111,0.710574949,0.684053273,0.70541,0.713409597,0.697410403,59.57775967,NaN
2016-01-29T21:00:00+07:00,0.70877,0.7109,0.70585,0.70795,0.697410111,0.710851226,0.683968996,0.7059765,0.712944094,0.699008906,57.49981675,NaN
2016-01-30T01:00:00+07:00,0.70795,0.70865,0.70671,0.70825,0.697560111,0.711179268,0.683940954,0.706387,0.712856829,0.699917171,58.07592621,NaN
2016-02-01T05:00:00+07:00,0.70801,0.70837,0.70425,0.70626,0.697670333,0.711408259,0.683932408,0.7066045,0.712741599,0.700467401,52.94866198,NaN
2016-02-01T09:00:00+07:00,0.70626,0.70828,0.70577,0.70774,0.697790222,0.711688302,0.683892142,0.706969,0.712429296,0.701508704,56.05595967,NaN
2016-02-01T13:00:00+07:00,0.70774,0.7081,0.70613,0.70631,0.69785,0.711847509,0.683852491,0.7071485,0.712263381,0.702033619,52.45159605,NaN
2016-02-01T17:00:00+07:00,0.70631,0.70811,0.70623,0.70636,0.697894778,0.711974866,0.683814689,0.7073225,0.712068154,0.702576846,52.56644081,NaN
2016-02-01T21:00:00+07:00,0.70636,0.70914,0.70625,0.70804,0.698006556,0.712246396,0.683766715,0.7075335,0.71200481,0.70306219,56.37882407,NaN
2016-02-02T01:00:00+07:00,0.70804,0.71208,0.70782,0.71081,0.698133,0.71262109,0.68364491,0.707772,0.712405148,0.703138852,61.82668364,NaN
2016-02-02T05:00:00+07:00,0.71081,0.71157,0.70921,0.71085,0.698258222,0.712986991,0.683529454,0.7079885,0.712769702,0.703207298,61.90068005,NaN
2016-02-02T09:00:00+07:00,0.71085,0.71293,0.70637,0.70742,0.698360222,0.713213692,0.683506752,0.708231,0.712331887,0.704130113,52.50239341,NaN
2016-02-02T13:00:00+07:00,0.70742,0.70894,0.70396,0.70439,0.698424111,0.713331213,0.683517009,0.708217,0.712368024,0.704065976,45.87606951,NaN
2016-02-02T17:00:00+07:00,0.70439,0.70632,0.70402,0.70476,0.698470556,0.713430189,0.683510922,0.7082655,0.712226825,0.704304175,46.75971429,NaN
