time,open,high,low,close,EMA100,EMA30,EMA45,EMA75,ParabolicSAR
2019-01-08T08:00:00Z,0.71204,0.71347,0.71203,0.71338,0.7051445,0.712579452,0.711279072,0.707773608,0.714108228
2019-01-08T09:00:00Z,0.71338,0.71392,0.71287,0.71293,0.705298668,0.712602068,0.711350852,0.707909303,0.71164
2019-01-08T10:00:00Z,0.71293,0.71294,0.71225,0.71244,0.705440081,0.712591612,0.711398206,0.708028531,0.7116856
2019-01-08T11:00:00Z,0.71244,0.71371,0.71233,0.71371,0.705603842,0.712663766,0.711498719,0.708178044,0.711730288
2019-01-08T12:00:00Z,0.71371,0.71463,0.71322,0.71368,0.705763766,0.71272933,0.711593557,0.708322832,0.711774082
2019-01-08T13:00:00Z,0.71368,0.71396,0.71278,0.71283,0.705903691,0.712735825,0.711647315,0.708441442,0.711888319
2019-01-08T14:00:00Z,0.71283,0.7145,0.71267,0.71382,0.70606045,0.712805771,0.71174178,0.708582983,0.711997986
2019-01-08T15:00:00Z,0.71382,0.71405,0.71179,0.71281,0.706194104,0.712806044,0.711788224,0.70869422,0.71463
2019-01-08T16:00:00Z,0.71281,0.71338,0.71259,0.71327,0.706334221,0.712835977,0.711852649,0.708814635,0.7145732
2019-01-08T17:00:00Z,0.71327,0.71449,0.71311,0.7144,0.706493939,0.712936882,0.711963404,0.708961619,0.714517536
2019-01-08T18:00:00Z,0.7144,0.71459,0.71381,0.71381,0.706638812,0.712993212,0.712043691,0.709089208,0.71179
2019-01-08T19:00:00Z,0.71381,0.71412,0.71365,0.71395,0.706783588,0.71305494,0.712126574,0.709217123,0.711846
2019-01-08T20:00:00Z,0.71395,0.71405,0.71355,0.71388,0.706924111,0.71310817,0.712202809,0.709339831,0.71190088
2019-01-08T21:00:00Z,0.71388,0.71429,0.7138,0.71397,0.707063633,0.713163772,0.712279644,0.709461677,0.711954662
2019-01-08T22:00:00Z,0.71397,0.71456,0.71343,0.71377,0.707196433,0.713202883,0.712344442,0.709575054,0.712007369
2019-01-08T23:00:00Z,0.71377,0.71714,0.71376,0.71651,0.70738086,0.713416246,0.712525553,0.709757553,0.712059022
2019-01-09T00:00:00Z,0.71651,0.71692,0.71433,0.71468,0.707525397,0.713497778,0.712619225,0.709887091,0.712262261
2019-01-09T01:00:00Z,0.71468,0.71628,0.7144,0.71586,0.707690439,0.71365018,0.712760128,0.710044272,0.71245737
2019-01-09T02:00:00Z,0.71586,0.71667,0.71534,0.7157,0.707849044,0.713782426,0.712887949,0.710193107,0.712644676
2019-01-09T03:00:00Z,0.7157,0.71647,0.71569,0.71617,0.708013815,0.713936463,0.713030646,0.710350394,0.712824489
2019-01-09T04:00:00Z,0.71617,0.71619,0.71494,0.71536,0.708159284,0.714028304,0.713131923,0.710482226,0.712997109
2019-01-09T05:00:00Z,0.71536,0.7159,0.71516,0.71545,0.708303655,0.714120026,0.713232709,0.710612957,0.713162825
2019-01-09T06:00:00Z,0.71545,0.71549,0.71481,0.71483,0.708432889,0.714165831,0.713302156,0.710723932,0.713321912
2019-01-09T07:00:00Z,0.71483,0.71598,0.71459,0.71549,0.708572634,0.714251261,0.71339728,0.710849354,0.713474635
2019-01-09T08:00:00Z,0.71549,0.71618,0.71536,0.71557,0.708711196,0.714336341,0.713491746,0.710973582,0.71362125
2019-01-09T09:00:00Z,0.71557,0.71635,0.71532,0.71578,0.708851172,0.714429481,0.713591235,0.711100067,0.713762
