time,open,high,low,close,basic,upper,lower,%K,%D
2022-01-01T16:30:00+07:00,0.84187,0.84194,0.83795,0.84164,0.8405315,0.846315693,0.834747307,62.90618683,58.88507069
2022-01-01T17:00:00+07:00,0.84319,0.84396,0.83718,0.83718,0.84076,0.845550044,0.835969956,47.34393783,57.36286708
2022-01-01T17:30:00+07:00,0.83676,0.84118,0.83523,0.83903,0.840726,0.845554869,0.835897131,35.67975058,48.64329175
2022-01-01T18:00:00+07:00,0.83872,0.8422,0.83831,0.84058,0.8405155,0.844969911,0.836061089,34.93699885,39.32022909
2022-01-01T18:30:00+07:00,0.84068,0.84152,0.83876,0.83876,0.84045,0.844966778,0.835933222,48.41542574,39.67739172
2022-01-01T19:00:00+07:00,0.83879,0.84128,0.83879,0.84128,0.8404005,0.844857717,0.835943283,57.00649103,46.78630521
2022-01-01T19:30:00+07:00,0.84168,0.84423,0.84168,0.84358,0.840454,0.845035176,0.835872824,67.50477281,57.64222986
2022-01-01T20:00:00+07:00,0.84388,0.84523,0.84132,0.84256,0.8404345,0.844976163,0.835892837,74.49840759,66.33655714
2022-01-01T20:30:00+07:00,0.84307,0.84307,0.84043,0.84169,0.840451,0.845008363,0.835893637,66.49329928,69.49882656
2022-01-01T21:00:00+07:00,0.84106,0.84278,0.84024,0.84275,0.840696,0.845194166,0.836197834,56.06426776,65.68532488
2022-01-01T21:30:00+07:00,0.84279,0.84279,0.84009,0.84079,0.840974,0.844709063,0.837238937,40.13176512,54.22977739
2022-01-01T22:00:00+07:00,0.83997,0.84234,0.83958,0.84193,0.8408935,0.844469908,0.837317092,38.90076021,45.03226436
2022-01-01T22:30:00+07:00,0.84137,0.84527,0.84137,0.84244,0.840878,0.844424653,0.837331347,35.15840593,38.06364375
2022-01-01T23:00:00+07:00,0.84291,0.84764,0.84291,0.84738,0.8411395,0.84566021,0.83661879,62.87691143,45.64535919
2022-01-01T23:30:00+07:00,0.84706,0.84778,0.84488,0.84532,0.841504,0.846137238,0.836870762,72.34593798,56.79375178
2022-01-02T00:00:00+07:00,0.8458,0.84742,0.84468,0.84742,0.8419795,0.846977393,0.836981607,87.46131655,74.22805532
2022-01-02T00:30:00+07:00,0.84775,0.853,0.84775,0.85102,0.8424625,0.848811922,0.836113078,82.86160686,80.88962046
2022-01-02T01:00:00+07:00,0.85217,0.85288,0.85,0.85086,0.8429145,0.850230167,0.835598833,85.79190088,85.3716081
2022-01-02T01:30:00+07:00,0.85103,0.85256,0.84943,0.85143,0.8434945,0.851542686,0.835446314,80.96525141,83.20625305
2022-01-02T02:00:00+07:00,0.85221,0.85663,0.85054,0.85301,0.8440325,0.85305551,0.83500949,76.54260091,81.09991773
2022-01-02T02:30:00+07:00,0.85333,0.85333,0.84999,0.85264,0.8445825,0.854271551,0.834893449,68.63482941,75.38089391
2022-01-02T03:00:00+07:00,0.85253,0.85402,0.85149,0.85178,0.8453125,0.854859621,0.835765379,52.47118981,65.88287338
2022-01-02T03:30:00+07:00,0.85216,0.85301,0.84601,0.84601,0.8456615,0.854764447,0.836558553,29.23548549,50.1138349
2022-01-02T04:00:00+07:00,0.84618,0.85072,0.84618,0.84708,0.8459865,0.854800083,0.837172917,14.23807282,31.9815827
2022-01-02T04:30:00+07:00,0.84772,0.84811,0.84523,0.84603,0.84635,0.854517413,0.838182587,6.392193663,16.62191732
2022-01-02T05:00:00+07:00,0.84605,0.84809,0.84475,0.84636,0.846604,0.854433918,0.838774082,12.18147809,10.93724819
2022-01-02T05:30:00+07:00,0.84667,0.84845,0.84558,0.84723,0.8467865,0.854495187,0.839077813,18.83110593,12.46825923
2022-01-02T06:00:00+07:00,0.8471,0.84871,0.8461,0.84696,0.8470065,0.854467305,0.839545695,28.13683061,19.71647154
2022-01-02T06:30:00+07:00,0.8459,0.85127,0.84547,0.8509,0.847467,0.854691556,0.840242444,53.78926397,33.5857335
2022-01-02T07:00:00+07:00,0.85096,0.85144,0.84113,0.84391,0.847525,0.854614512,0.840435488,52.76923045,44.89844168
2022-01-02T07:30:00+07:00,0.844,0.84771,0.844,0.84657,0.847814,0.854220048,0.841407952,58.01785746,54.85878396
2022-01-02T08:00:00+07:00,0.84582,0.84639,0.84229,0.84315,0.847875,0.854075714,0.841674286,33.10701584,47.96470125
2022-01-02T08:30:00+07:00,0.84319,0.84332,0.84128,0.84271,0.8478885,0.854042826,0.841734174,29.22728742,40.11738691
2022-01-02T09:00:00+07:00,0.84232,0.84408,0.84115,0.84186,0.8476125,0.854304874,0.840920126,13.99935338,25.44455221
2022-01-02T09:30:00+07:00,0.84166,0.84387,0.84104,0.84317,0.847505,0.854407007,0.840602993,18.11315487,20.44659856
2022-01-02T10:00:00+07:00,0.84357,0.84378,0.84226,0.84322,0.847295,0.854445671,0.840144329,26.5874003,19.56663618
2022-01-02T10:30:00+07:00,0.84392,0.84519,0.84278,0.84402,0.846945,0.854016923,0.839873077,48.16297515,30.95451011
2022-01-02T11:00:00+07:00,0.84431,0.84634,0.84431,0.84588,0.846696,0.853546219,0.839845781,67.95854906,47.5696415
2022-01-02T11:30:00+07:00,0.84594,0.84654,0.8375,0.83934,0.8460915,0.853288986,0.838894014,61.16065531,59.09405984
2022-01-02T12:00:00+07:00,0.83888,0.84126,0.83847,0.8405,0.845466,0.852315719,0.838616281,48.28685924,59.13535454
2022-01-02T12:30:00+07:00,0.84082,0.84353,0.84082,0.84313,0.8449905,0.851057821,0.838923179,38.60619469,49.35123641
2022-01-02T13:00:00+07:00,0.84285,0.8438,0.84145,0.84276,0.8445395,0.849809637,0.839269363,51.21681416,46.0366227
2022-01-02T13:30:00+07:00,0.84176,0.84344,0.84138,0.84149,0.8443135,0.849698428,0.838928572,54.86725664,48.2300885
2022-01-02T14:00:00+07:00,0.84095,0.84166,0.84014,0.84096,0.8440075,0.84942427,0.83859073,49.67990226,51.92132435
2022-01-02T14:30:00+07:00,0.84142,0.84306,0.84112,0.84277,0.8438445,0.849203912,0.838485088,54.23726319,52.9281407
2022-01-02T15:00:00+07:00,0.84235,0.84295,0.84007,0.84239,0.843646,0.848911288,0.838380712,60.25767095,54.72494547
2022-01-02T15:30:00+07:00,0.84259,0.84493,0.84167,0.844,0.8434845,0.848491992,0.838477008,71.64017082,62.04503499
2022-01-02T16:00:00+07:00,0.84352,0.84854,0.84348,0.84603,0.843438,0.848331508,0.838544492,71.1428622,67.68023465
2022-01-02T16:30:00+07:00,0.84671,0.84839,0.84634,0.84722,0.843254,0.847195499,0.839312501,78.5485932,73.77720874
2022-01-02T17:00:00+07:00,0.84687,0.8475,0.84567,0.8463,0.8433735,0.847526553,0.839220447,76.11176702,75.2677408
2022-01-02T17:30:00+07:00,0.84625,0.84679,0.84463,0.84471,0.8432805,0.847220929,0.839340071,67.40655577,74.02230533
2022-01-02T18:00:00+07:00,0.84414,0.84762,0.84409,0.84723,0.8434845,0.847782967,0.839186033,63.97158495,69.16330258
2022-01-02T18:30:00+07:00,0.84742,0.84815,0.84506,0.8454,0.843619,0.847979999,0.839258001,49.60871737,60.3289527
2022-01-02T19:00:00+07:00,0.84554,0.84621,0.84307,0.84489,0.8437705,0.848086839,0.839454161,46.80085329,53.4603852
2022-01-02T19:30:00+07:00,0.84463,0.84885,0.84463,0.84657,0.8439405,0.84841381,0.83946719,42.28184038,46.23047035
2022-01-02T20:00:00+07:00,0.84688,0.84688,0.84444,0.84636,0.8440975,0.84867777,0.83951723,51.10027337,46.72765568
2022-01-02T20:30:00+07:00,0.84545,0.84598,0.844,0.84505,0.844149,0.848747752,0.839550248,50.57670127,47.98627167
2022-01-02T21:00:00+07:00,0.84426,0.84687,0.84365,0.84398,0.844054,0.848583774,0.839524226,35.64013841,45.77237101
2022-01-02T21:30:00+07:00,0.84509,0.84602,0.8442,0.84546,0.84436,0.848371897,0.840348103,28.26923077,38.16202348
2022-01-02T22:00:00+07:00,0.84615,0.8489,0.84501,0.84873,0.8447715,0.848803553,0.840739447,49.1045139,37.67129436
2022-01-02T22:30:00+07:00,0.84891,0.86683,0.84811,0.85594,0.845412,0.851658972,0.839165028,61.52981392,46.3011862
2022-01-02T23:00:00+07:00,0.85659,0.85833,0.85395,0.85763,0.8461555,0.854234038,0.838076962,70.03078735,60.22170506
2022-01-02T23:30:00+07:00,0.85834,0.86273,0.85834,0.8617,0.847166,0.857420329,0.836911671,63.55381129,65.03813752
2022-01-03T00:00:00+07:00,0.86205,0.86423,0.85765,0.85973,0.8481045,0.859307002,0.836901998,68.3675447,67.31738111
2022-01-03T00:30:00+07:00,0.86043,0.86123,0.85653,0.85735,0.8488335,0.860442754,0.837224246,64.71699862,65.5461182
2022-01-03T01:00:00+07:00,0.85662,0.85696,0.84803,0.84936,0.849182,0.860408783,0.837955217,41.67663194,58.25372508
2022-01-03T01:30:00+07:00,0.84948,0.85252,0.84623,0.85252,0.849608,0.860661171,0.838554829,30.83776512,45.74379856
2022-01-03T02:00:00+07:00,0.85144,0.85493,0.85024,0.852,0.8499065,0.860879198,0.838933802,25.06995885,32.52811863
2022-01-03T02:30:00+07:00,0.85125,0.85287,0.85,0.85165,0.850128,0.861053582,0.839202418,34.37777778,30.09516725
2022-01-03T03:00:00+07:00,0.85143,0.85377,0.85024,0.85235,0.8504305,0.861249883,0.839611117,41.74174519,33.72982727
2022-01-03T03:30:00+07:00,0.8521,0.85222,0.85022,0.852,0.850795,0.861305731,0.840284269,53.1638397,43.09445422
2022-01-03T04:00:00+07:00,0.85073,0.85347,0.85073,0.85216,0.8510415,0.861436846,0.840646154,55.72385773,50.20981421
2022-01-03T04:30:00+07:00,0.85236,0.85394,0.85177,0.85294,0.8514185,0.861510589,0.841326411,61.58483861,56.82417868
2022-01-03T05:00:00+07:00,0.85335,0.85663,0.85335,0.8558,0.851964,0.861760694,0.842167306,68.49471961,61.93447198
2022-01-03T05:30:00+07:00,0.8557,0.85801,0.85493,0.85694,0.8524825,0.862179557,0.842785443,82.645071,70.90820974
2022-01-03T06:00:00+07:00,0.85654,0.86088,0.85654,0.86072,0.8532005,0.863102273,0.843298727,90.57985632,80.57321564
2022-01-03T06:30:00+07:00,0.86093,0.86146,0.85859,0.85926,0.853911,0.863402219,0.844419781,87.32808951,86.85100561
2022-01-03T07:00:00+07:00,0.8587,0.8587,0.85531,0.85531,0.8544775,0.862812129,0.846142871,66.62917372,81.51237319
2022-01-03T07:30:00+07:00,0.85471,0.85555,0.85315,0.85315,0.854862,0.862139641,0.847584359,33.82129195,62.59285173
2022-01-03T08:00:00+07:00,0.85266,0.85373,0.84823,0.85053,0.854952,0.861963749,0.847940251,13.85080863,38.10042476
2022-01-03T08:30:00+07:00,0.85025,0.85216,0.84896,0.85158,0.854734,0.861879165,0.847588835,14.23532376,20.63580811
