time,open,high,low,close,basic,upper,lower,%K,%D
2021-01-02T05:00:00Z,29449.26,29686,29443.3,29676.2,29368,29686,29050,90.58910724,82.61236555
2021-01-02T06:00:00Z,29686,29825,29571.57,29790.49,29437.5,29825,29050,98.34344765,89.76661849
2021-01-02T07:00:00Z,29795.09,29895,29721.78,29834.26,29472.5,29895,29050,100,96.31085163
2021-01-02T08:00:00Z,29829.59,29928,29721.62,29913.72,29489,29928,29050,100,99.44781588
2021-01-02T09:00:00Z,29912.43,29990,29654,29688.04,29587.25,29990,29184.5,79.99971171,93.33323724
2021-01-02T10:00:00Z,29666.79,29898.5,29543.93,29748.67,29650.25,29990,29310.5,63.21628556,81.07199909
2021-01-02T11:00:00Z,29738.61,29849.38,29689.08,29822.42,29650.25,29990,29310.5,50.27370617,64.49656781
2021-01-02T12:00:00Z,29822.42,30958.06,29800,30668.76,30134.28,30958.06,29310.5,70.27399446,61.25466207
2021-01-02T13:00:00Z,30663.43,31550,30552.86,31550,30496.65,31550,29443.3,87.05742061,69.20170708
2021-01-02T14:00:00Z,31550,31584.31,31144.78,31344.73,30564.12,31584.31,29543.93,92.81919579,83.38353695
2021-01-02T15:00:00Z,31323.49,31886.42,30750,31782.96,30715.175,31886.42,29543.93,89.32221527,89.73294389
2021-01-02T16:00:00Z,31758,33099.24,31757.37,32531.17,31321.585,33099.24,29543.93,89.32221527,90.48787544
2021-01-02T17:00:00Z,32530.13,33022.44,32450,32914.41,31321.585,33099.24,29543.93,96.50301948,91.71581667
2021-01-02T18:00:00Z,32909.86,33333,32511.62,33026.28,31438.465,33333,29543.93,100,95.27507825
2021-01-02T19:00:00Z,33032.97,33268.37,32714.46,33080.5,31511.04,33333,29689.08,100,98.83433983
2021-01-02T20:00:00Z,33082.29,33112.26,30000,30682.47,31566.5,33333,29800,66.66666667,88.88888889
2021-01-02T21:00:00Z,30674.72,31939.12,30228.73,31700,31666.5,33333,30000,40.67167681,69.11278116
2021-01-02T22:00:00Z,31696.74,32300,31452.94,32185.44,31666.5,33333,30000,17.58396545,41.64076964
2021-01-02T23:00:00Z,32179.06,32260.79,31634.16,32216.53,31666.5,33333,30000,28.01354371,28.75639532
2021-01-03T00:00:00Z,32216.51,32518.88,31977.45,32485.72,31666.5,33333,30000,32.7301536,26.10922092
2021-01-03T01:00:00Z,32450.3,32832.27,32259.86,32595.32,31666.5,33333,30000,35.20461107,31.98276946
2021-01-03T02:00:00Z,32621.73,32911.22,32585.34,32746.89,31666.5,33333,30000,38.4370246,35.45726309
2021-01-03T03:00:00Z,32784.01,32789.67,32479.91,32611.55,31634.185,33268.37,30000,38.44939828,37.36367798
2021-01-03T04:00:00Z,32612.19,33268.37,32479.91,33213.84,31634.185,33268.37,30000,41.60269434,39.49637241
2021-01-03T05:00:00Z,33204.02,34182,33129.58,33725.07,32205.365,34182,30228.73,46.59252626,42.21487296
2021-01-03T06:00:00Z,33774.91,34116.76,33660.3,33992.16,32817.47,34182,31452.94,54.51739056,47.57087039
2021-01-03T07:00:00Z,33978.02,34800,33779.72,34484.5,33217.08,34800,31634.16,60.92698796,54.01230159
2021-01-03T08:00:00Z,34495.37,34652.95,33761.69,34380.28,33388.725,34800,31977.45,63.18240952,59.54226268
2021-01-03T09:00:00Z,34386.79,34604.11,33831.66,34204.21,33529.93,34800,32259.86,70.93147306,65.01362351
2021-01-03T10:00:00Z,34207.66,34378.7,33428.35,33907.43,33639.955,34800,32479.91,64.99331088,66.36906449
2021-01-03T11:00:00Z,33884.04,34466.72,33807.11,34447.28,33639.955,34800,32479.91,65.31051672,67.07843355
2021-01-03T12:00:00Z,34425.03,34622.67,33985,34144.71,33639.955,34800,32479.91,47.91182947,59.40521902
2021-01-03T13:00:00Z,34121.88,34404.49,33834,33913.32,33964.79,34800,33129.58,31.56701875,48.26312165
2021-01-03T14:00:00Z,33915.31,34192.68,33534.39,33924.68,34114.175,34800,33428.35,10.59921911,30.02602245
2021-01-03T15:00:00Z,33894.5,33950,32793.03,33557.89,33796.515,34800,32793.03,0.256651464,14.14096311
2021-01-03T16:00:00Z,33549.05,33855.83,32000,32399.99,33326.475,34652.95,32000,0.256651464,3.704174014
2021-01-03T17:00:00Z,32399.99,33243.81,32327.76,32892.39,33311.335,34622.67,32000,5.538211308,2.017171412
2021-01-03T18:00:00Z,32938.22,33036.19,32252.26,32759.78,33311.335,34622.67,32000,9.648977897,5.14794689
2021-01-03T19:00:00Z,32758.87,32905.1,32450,32775.76,33311.335,34622.67,32000,13.94874195,9.711977053
2021-01-03T20:00:00Z,32744.07,33850,32723.66,33722.25,33311.335,34622.67,32000,22.64579545,15.4145051
2021-01-03T21:00:00Z,33743.84,33872.26,33548.84,33585.4,33202.245,34404.49,32000,31.75362283,22.78272007
2021-01-03T22:00:00Z,33576.44,33687.71,33029.84,33163.95,33096.34,34192.68,32000,36.1496565,30.18302492
2021-01-03T23:00:00Z,33144.24,33629.4,32720.53,33097.83,32975,33950,32000,29.92971087,32.61099673
2021-01-04T00:00:00Z,33068.83,33148.89,32450.97,32895.35,32936.13,33872.26,32000,21.82587687,29.30174808
2021-01-04T01:00:00Z,32891.23,33360.89,32640.34,33239.84,33062.26,33872.26,32252.26,25.27388334,25.67649036
2021-01-04T02:00:00Z,33217.79,33629.4,33011.39,33502.96,33062.26,33872.26,32252.26,36.575907,27.89188907
2021-01-04T03:00:00Z,33524.7,33593.25,33228.64,33593.17,33161.13,33872.26,32450,52.50406356,38.1179513
2021-01-04T04:00:00Z,33590.85,33669.76,33249.25,33331.88,33161.615,33872.26,32450.97,60.59049032,49.89015363
2021-01-04T05:00:00Z,33336.76,33390.8,32884.2,32884.55,33161.615,33872.26,32450.97,47.83792493,53.6441596
2021-01-04T06:00:00Z,32910.35,33468.46,32889.66,33280.06,33069.34,33687.71,32450.97,41.49453382,49.97431636
2021-01-04T07:00:00Z,33279.41,33300,31748.18,32092.71,32708.97,33669.76,31748.18,21.26430286,36.8655872
2021-01-04T08:00:00Z,32111.77,32557.9,31407.34,32044.41,32538.55,33669.76,31407.34,14.69952542,25.81945403
2021-01-04T09:00:00Z,32026.23,32100,30261.13,31000,31965.445,33669.76,30261.13,0,11.98794276
2021-01-04T10:00:00Z,31009.39,31182.16,27734,30270,30701.88,33669.76,27734,0,4.899841806
2021-01-04T11:00:00Z,30286.76,30921.48,29402.55,30796.34,30701.88,33669.76,27734,7.423917257,2.474639086
2021-01-04T12:00:00Z,30796.48,31463,30461.85,31268.33,30701.88,33669.76,27734,20.91404317,9.44598681
2021-01-04T13:00:00Z,31243.73,31433,30600.5,31433,30601.23,33468.46,27734,36.45288367,21.59694803
2021-01-04T14:00:00Z,31433,32169.78,31433,32144.43,30601.23,33468.46,27734,52.78111064,36.7160125
2021-01-04T15:00:00Z,32147.25,32246.97,31581.04,31792.05,30517,33300,27734,59.61216251,49.61538561
2021-01-04T16:00:00Z,31785.85,31939.12,30700,31298.75,30145.95,32557.9,27734,59.90568607,57.43298641
2021-01-04T17:00:00Z,31340.03,31527.44,30600.01,31004.54,29990.485,32246.97,27734,51.33278095,56.95020984
2021-01-04T18:00:00Z,31016.44,31448,31000.58,31172.41,29990.485,32246.97,27734,49.19333341,53.47726681
2021-01-04T19:00:00Z,31179.5,31887.58,31118.69,31678.62,30824.76,32246.97,29402.55,58.8450404,53.12371825
