time,open,high,low,close,basic,upper,lower,%K,%D
2022-07-01T08:45:00+07:00,1.28826,1.28835,1.28781,1.2882,1.2876785,1.288490418,1.286866582,83.51914303,86.1680712
2022-07-01T09:00:00+07:00,1.2882,1.2884,1.28728,1.28782,1.287699,1.288503435,1.286894565,63.93799276,77.5056747
2022-07-01T09:15:00+07:00,1.28782,1.2885,1.28773,1.28835,1.2877525,1.288580338,1.286924662,63.98335545,70.48016375
2022-07-01T09:30:00+07:00,1.28835,1.28898,1.28817,1.28882,1.2878285,1.288750005,1.286906995,69.36882782,65.76339201
2022-07-01T09:45:00+07:00,1.28882,1.28941,1.28858,1.28922,1.2879195,1.288999583,1.286839417,86.59007909,73.31408746
2022-07-01T10:00:00+07:00,1.28922,1.29036,1.28909,1.29016,1.288009,1.289457418,1.286560582,91.724847,82.56125131
2022-07-01T10:15:00+07:00,1.29016,1.29064,1.2897,1.29043,1.288118,1.289909933,1.286326067,92.45660362,90.25717657
2022-07-01T10:30:00+07:00,1.29043,1.29084,1.29019,1.2908,1.288263,1.290397489,1.286128511,94.93062377,93.03735813
2022-07-01T10:45:00+07:00,1.2908,1.29161,1.2908,1.29107,1.288452,1.290860249,1.286043751,91.15453188,92.84725309
2022-07-01T11:00:00+07:00,1.29107,1.29168,1.29083,1.29163,1.288649,1.291396405,1.285901595,92.91652952,93.00056172
2022-07-01T11:15:00+07:00,1.29163,1.29232,1.2915,1.29229,1.2888835,1.292007531,1.285759469,93.03422591,92.3684291
2022-07-01T11:30:00+07:00,1.29229,1.29238,1.29166,1.29201,1.289099,1.292452905,1.285745095,93.34316091,93.09797211
2022-07-01T11:45:00+07:00,1.29201,1.2924,1.29175,1.29229,1.289351,1.292864886,1.285837114,91.69499489,92.6907939
2022-07-01T12:00:00+07:00,1.29229,1.2929,1.29219,1.29247,1.2896065,1.293245056,1.285967944,85.15235866,90.06350482
2022-07-01T12:15:00+07:00,1.29247,1.29288,1.29206,1.29209,1.2898635,1.293440797,1.286286203,71.49830343,82.78188566
2022-07-01T12:30:00+07:00,1.29209,1.29289,1.29198,1.29231,1.2901045,1.293659088,1.286549912,57.92975504,71.52680571
2022-07-01T12:45:00+07:00,1.29231,1.29244,1.29172,1.29195,1.290313,1.293785999,1.286840001,38.01791247,55.81532365
2022-07-01T13:00:00+07:00,1.29195,1.2921,1.29153,1.29178,1.2905105,1.293842625,1.287178375,30.05301848,42.00022866
2022-07-01T13:15:00+07:00,1.29178,1.29229,1.29177,1.29186,1.2906905,1.293903713,1.287477287,20.6681355,29.57968882
2022-07-01T13:30:00+07:00,1.29186,1.29241,1.29176,1.29189,1.290872,1.293921469,1.287822531,22.99448977,24.57188125
2022-07-01T13:45:00+07:00,1.29189,1.29257,1.29156,1.29233,1.2910785,1.293929102,1.288227898,42.55279035,28.73847187
2022-07-01T14:00:00+07:00,1.29233,1.2928,1.29164,1.2925,1.2913125,1.293799964,1.288825036,59.92387264,41.82371758
2022-07-01T14:15:00+07:00,1.2925,1.29308,1.29186,1.29216,1.291503,1.293607919,1.289398081,64.25823796,55.57830032
2022-07-01T14:30:00+07:00,1.29216,1.29258,1.29139,1.29217,1.2916705,1.293393213,1.289947787,54.00182771,59.3946461
2022-07-01T14:45:00+07:00,1.29217,1.29286,1.29164,1.29269,1.291844,1.293205696,1.290482304,54.18353576,57.48120048
2022-07-01T15:00:00+07:00,1.29269,1.29383,1.29243,1.29268,1.29197,1.293137613,1.290802387,58.64859185,55.61131844
2022-07-01T15:15:00+07:00,1.29268,1.29281,1.29157,1.29162,1.2920295,1.292977835,1.291081165,46.40605296,53.07939352
2022-07-01T15:30:00+07:00,1.29162,1.29194,1.29126,1.29152,1.2920655,1.292867833,1.291263167,24.13727116,43.06397199
2022-07-01T15:45:00+07:00,1.29152,1.29166,1.29106,1.29145,1.2920845,1.292805512,1.291363488,11.20746114,27.25026175
2022-07-01T16:00:00+07:00,1.29145,1.29146,1.29061,1.29105,1.2920555,1.292885692,1.291225308,12.62025006,15.98832745
2022-07-01T16:15:00+07:00,1.29105,1.29206,1.29083,1.29206,1.292044,1.292867223,1.291220777,31.21770319,18.34847146
2022-07-01T16:30:00+07:00,1.29206,1.29219,1.291,1.29138,1.2920125,1.29288524,1.29113976,42.76928813,28.86908046
2022-07-01T16:45:00+07:00,1.29138,1.2918,1.29122,1.29166,1.291981,1.292856874,1.291105126,60.36632144,44.78443759
2022-07-01T17:00:00+07:00,1.29166,1.29229,1.29138,1.29211,1.291963,1.292812332,1.291113668,68.15852923,57.09804627
