time,open,high,low,close,Basis90,Upper90,Lower90,%K,%D
2021-01-07T10:00:00-05:00,0.91934,0.9219,0.91896,0.92111,0.919639333,0.926260129,0.913018538,24.21699396,26.45144322
2021-01-07T11:00:00-05:00,0.92111,0.9228,0.92101,0.92197,0.919714,0.926286502,0.913141498,43.54589372,31.85903245
2021-01-07T12:00:00-05:00,0.92197,0.92221,0.92096,0.92118,0.919776556,0.926296297,0.913256814,59.42028986,42.39439251
2021-01-07T13:00:00-05:00,0.92118,0.92159,0.92016,0.92028,0.919841778,0.926262158,0.913421398,53.56783414,52.1780059
2021-01-07T14:00:00-05:00,0.92028,0.92109,0.9197,0.92096,0.919906222,0.926253352,0.913559092,46.69384058,53.22732152
2021-01-07T15:00:00-05:00,0.92096,0.92102,0.91972,0.92022,0.919967444,0.926218477,0.913716412,34.41084229,44.890839
2021-01-07T16:00:00-05:00,0.92022,0.92125,0.91998,0.9206,0.920030111,0.926191528,0.913868694,34.9047002,38.66979436
2021-01-07T17:00:00-05:00,0.9206,0.92065,0.91948,0.92022,0.920101222,0.926120393,0.914082051,29.23395243,32.84983164
2021-01-07T18:00:00-05:00,0.92022,0.92163,0.9202,0.92163,0.920178667,0.926094276,0.914263057,56.97588792,40.37151352
2021-01-07T19:00:00-05:00,0.92163,0.92164,0.92034,0.92048,0.920239444,0.926052908,0.914425981,60.45579545,48.88854527
2021-01-07T20:00:00-05:00,0.92048,0.9207,0.91941,0.9199,0.920291111,0.926008136,0.914574086,56.08979682,57.8404934
2021-01-07T21:00:00-05:00,0.9199,0.92058,0.91977,0.92038,0.920333333,0.925995973,0.914670693,37.2557161,51.26710279
2021-01-07T22:00:00-05:00,0.92038,0.9206,0.91974,0.9201,0.92039,0.925938952,0.914841048,32.13751868,41.8276772
2021-01-07T23:00:00-05:00,0.9201,0.92093,0.91964,0.92042,0.920439,0.92590971,0.91496829,39.9103139,36.43451623
2021-01-08T00:00:00-05:00,0.92042,0.92114,0.92036,0.92068,0.920502111,0.925850057,0.915154165,49.88119616,40.64300958
2021-01-08T01:00:00-05:00,0.92068,0.92157,0.92036,0.92094,0.920569,0.925784963,0.915353037,62.01979913,50.60376973
2021-01-08T02:00:00-05:00,0.92094,0.92248,0.92021,0.92051,0.920619667,0.925742939,0.915496394,57.1339068,56.34496736
2021-01-08T03:00:00-05:00,0.92051,0.92081,0.91963,0.92018,0.920680333,0.925649725,0.915710941,39.09652046,52.75007546
2021-01-08T04:00:00-05:00,0.92018,0.921,0.92015,0.92089,0.920736333,0.925599181,0.915873486,31.38085825,42.53709517
2021-01-08T05:00:00-05:00,0.92089,0.92125,0.92016,0.92042,0.920791556,0.925524157,0.916058954,30.40935673,33.62891181
2021-01-08T06:00:00-05:00,0.92042,0.9216,0.92034,0.92128,0.920854111,0.925460363,0.916247859,43.2748538,35.02168959
2021-01-08T07:00:00-05:00,0.92128,0.922,0.92099,0.92159,0.920907333,0.925435005,0.916379662,56.10481901,43.26300985
2021-01-08T08:00:00-05:00,0.92159,0.92284,0.92046,0.92266,0.920965333,0.925447359,0.916483308,77.96790299,59.1158586
2021-01-08T09:00:00-05:00,0.92266,0.92278,0.92065,0.9211,0.921006667,0.925423816,0.916589517,70.36119966,68.14464055
2021-01-08T10:00:00-05:00,0.9211,0.92113,0.91933,0.92048,0.921054222,0.925353948,0.916754496,53.71556994,67.3482242
2021-01-08T11:00:00-05:00,0.92048,0.92184,0.9204,0.92077,0.921101556,0.925292557,0.916910554,36.28793355,53.45490105
2021-01-08T12:00:00-05:00,0.92077,0.92131,0.91931,0.91947,0.921124333,0.925256928,0.916991739,26.10725056,38.70358468
2021-01-08T13:00:00-05:00,0.91947,0.91983,0.91781,0.91869,0.921145556,0.925207711,0.917083401,21.08815212,27.82777874
2021-01-08T14:00:00-05:00,0.91869,0.9191,0.91797,0.91819,0.921163111,0.925159838,0.917166384,10.55603191,19.2504782
2021-01-08T15:00:00-05:00,0.91819,0.91924,0.91811,0.91864,0.921169111,0.925149012,0.91718921,15.91035044,15.85151149
2021-01-08T16:00:00-05:00,0.91864,0.91914,0.91734,0.91757,0.921146778,0.92518424,0.917109316,11.93942159,12.80193465
2021-01-10T17:00:00-05:00,0.91832,0.91893,0.91644,0.91711,0.921118889,0.925232116,0.917005662,15.38433206,14.41136803
2021-01-10T18:00:00-05:00,0.91711,0.91813,0.91613,0.91632,0.921075,0.925306126,0.916843874,10.55559581,12.62644982
2021-01-10T19:00:00-05:00,0.91632,0.91693,0.91593,0.91639,0.921039333,0.925372481,0.916706186,13.25687251,13.06560013
2021-01-10T20:00:00-05:00,0.91639,0.91693,0.91595,0.91666,0.921003,0.925426638,0.916579362,14.24934625,12.68727152
2021-01-10T21:00:00-05:00,0.91666,0.91708,0.9159,0.91693,0.920968667,0.925469579,0.916467754,23.54403778,17.01675218
2021-01-10T22:00:00-05:00,0.91693,0.9175,0.91668,0.91727,0.920953333,0.925494956,0.916411711,39.38993665,25.72777356
2021-01-10T23:00:00-05:00,0.91727,0.91765,0.91668,0.9172,0.920936111,0.925522558,0.916349664,56.57136373,39.83511272
2021-01-11T00:00:00-05:00,0.9172,0.9174,0.91675,0.91718,0.920934,0.925527181,0.916340819,69.621183,55.19416113
2021-01-11T01:00:00-05:00,0.91718,0.91761,0.91666,0.91751,0.920920556,0.925546546,0.916294565,79.80952381,68.66735685
2021-01-11T02:00:00-05:00,0.91751,0.91794,0.9171,0.91724,0.920904778,0.925571012,0.916238543,70.15178571,73.19416418
2021-01-11T03:00:00-05:00,0.91724,0.91801,0.91708,0.91745,0.920885,0.925594351,0.916175649,65.27700617,71.74610523
2021-01-11T04:00:00-05:00,0.91745,0.91783,0.91706,0.91744,0.920859111,0.925618052,0.91610017,53.86959877,63.09946355
2021-01-11T05:00:00-05:00,0.91744,0.91901,0.9173,0.91838,0.920846,0.925625642,0.916066358,63.16259522,60.76973339
2021-01-11T06:00:00-05:00,0.91838,0.91894,0.91803,0.91832,0.920831222,0.925633733,0.916028711,65.19488392,60.7423593
2021-01-11T07:00:00-05:00,0.91832,0.91917,0.91775,0.91911,0.920834778,0.925631709,0.916037846,78.32109069,68.89285661
2021-01-11T08:00:00-05:00,0.91911,0.92017,0.91852,0.91963,0.920844,0.925628424,0.916059576,81.46947956,74.99515139
2021-01-11T09:00:00-05:00,0.91963,0.9199,0.9164,0.91671,0.920813889,0.925667394,0.915960384,62.67195524,74.15417516
2021-01-11T10:00:00-05:00,0.91671,0.91847,0.91653,0.91763,0.920809556,0.925673716,0.915945396,41.16182077,61.76775186
2021-01-11T11:00:00-05:00,0.91763,0.91782,0.91639,0.91759,0.920798111,0.925687605,0.915908618,24.19827937,42.67735179
2021-01-11T12:00:00-05:00,0.91759,0.91765,0.91671,0.91675,0.920768111,0.925723017,0.915813205,24.63194532,29.99734849
2021-01-11T13:00:00-05:00,0.91675,0.91733,0.91661,0.91711,0.920742667,0.925748669,0.915736664,20.59422059,23.14148176
2021-01-11T14:00:00-05:00,0.91711,0.91754,0.91643,0.91659,0.920712778,0.925785039,0.915640517,13.21733822,19.48116804
2021-01-11T15:00:00-05:00,0.91659,0.91674,0.91574,0.91575,0.920679,0.925841711,0.915516289,10.20299145,14.67151675
2021-01-11T16:00:00-05:00,0.91575,0.91628,0.91525,0.9154,0.920640333,0.925907432,0.915373234,5.448717949,9.623015873
2021-01-11T17:00:00-05:00,0.9154,0.91557,0.91421,0.9155,0.920591889,0.925965923,0.915217855,15.15650266,10.26940402
2021-01-11T18:00:00-05:00,0.9155,0.9164,0.91509,0.91627,0.920547,0.925996662,0.915097338,35.61686687,18.74069582
2021-01-11T19:00:00-05:00,0.91627,0.91679,0.91577,0.91651,0.920492,0.926003261,0.914980739,63.24929581,38.00755511
2021-01-11T20:00:00-05:00,0.91651,0.91662,0.91537,0.9161,0.920414333,0.925973758,0.914854909,74.75498755,57.87371674
