time,open,high,low,close,EMA60,EMA100,EMA,EMA45,EMA75,ParabolicSAR
2019-01-08T08:00:00Z,108.979,109.018,108.88,108.912,108.4692814,108.29839,108.6130667,108.5295916,108.4137092,108.737
2019-01-08T09:00:00Z,108.912,108.947,108.804,108.873,108.4825181,108.3097684,108.6298366,108.5445224,108.4257958,108.80018
2019-01-08T10:00:00Z,108.873,108.901,108.675,108.718,108.4902388,108.3178522,108.6355246,108.5520649,108.4334853,109.088
2019-01-08T11:00:00Z,108.718,108.79,108.686,108.726,108.4979687,108.3259343,108.6413617,108.5596273,108.4411831,109.07974
2019-01-08T12:00:00Z,108.726,108.768,108.601,108.765,108.5067238,108.3346287,108.6493384,108.5685565,108.4497046,109.0716452
2019-01-08T13:00:00Z,108.765,108.88,108.704,108.873,108.5187329,108.3452895,108.6637681,108.5817932,108.460844,109.0528194
2019-01-08T14:00:00Z,108.873,108.961,108.816,108.861,108.5299547,108.3555016,108.6764928,108.5939326,108.4713744,109.0347466
2019-01-08T15:00:00Z,108.861,108.895,108.594,108.617,108.5328087,108.3606798,108.6726545,108.5949356,108.4752066,109.0173968
2019-01-08T16:00:00Z,108.617,108.671,108.44,108.582,108.5344215,108.3650624,108.6668059,108.5943732,108.478017,108.9919929
2019-01-08T17:00:00Z,108.582,108.645,108.497,108.588,108.5361782,108.369477,108.6617216,108.5940961,108.4809113,108.9478335
2019-01-08T18:00:00Z,108.588,108.676,108.561,108.644,108.5397133,108.3749131,108.6605783,108.5962658,108.4852031,108.9072068
2019-01-08T19:00:00Z,108.644,108.684,108.621,108.647,108.5432309,108.3803009,108.6597023,108.5984716,108.4894609,108.8698303
2019-01-08T20:00:00Z,108.647,108.799,108.622,108.762,108.5504037,108.3878593,108.6663021,108.6055816,108.496633,108.8354439
2019-01-08T21:00:00Z,108.762,108.833,108.712,108.735,108.556456,108.3947334,108.6707342,108.6112085,108.5029058,108.44
2019-01-08T22:00:00Z,108.735,108.856,108.706,108.787,108.5640148,108.4025011,108.6782353,108.6188516,108.510382,108.44786
2019-01-08T23:00:00Z,108.787,108.83,108.752,108.753,108.5702111,108.4094416,108.6830588,108.6246841,108.5167666,108.4641856
2019-01-09T00:00:00Z,108.753,108.846,108.692,108.712,108.5748599,108.4154329,108.684926,108.6284804,108.5219044,108.4798582
2019-01-09T01:00:00Z,108.712,108.802,108.681,108.79,108.5819137,108.4228501,108.6917049,108.635503,108.5289595,108.4949038
2019-01-09T02:00:00Z,108.79,109.004,108.776,108.908,108.592605,108.432457,108.7056595,108.6473507,108.5389343,108.5093477
2019-01-09T03:00:00Z,108.908,108.946,108.831,108.898,108.602618,108.4416757,108.7180685,108.6582485,108.5483834,108.5390268
2019-01-09T04:00:00Z,108.898,108.945,108.835,108.864,108.6111879,108.4500385,108.7274835,108.6671942,108.5566891,108.5669252
2019-01-09T05:00:00Z,108.864,108.925,108.82,108.854,108.6191489,108.4580378,108.7356458,108.6753162,108.564513,108.5931497
2019-01-09T06:00:00Z,108.854,108.894,108.816,108.834,108.6261932,108.4654826,108.7419912,108.6822155,108.5716048,108.6178007
2019-01-09T07:00:00Z,108.834,108.99,108.816,108.913,108.6355967,108.4743443,108.7530241,108.6922496,108.5805889,108.6409727
2019-01-09T08:00:00Z,108.913,108.929,108.79,108.871,108.6433149,108.4821989,108.7606354,108.7000214,108.5882313,108.6627543
2019-01-09T09:00:00Z,108.871,108.966,108.87,108.907,108.6519603,108.4906108,108.7700783,108.7090205,108.5966199,108.6832291
2019-01-09T10:00:00Z,108.907,108.943,108.878,108.887,108.6596665,108.4984601,108.7776216,108.7167587,108.6042615,108.7024753
2019-01-09T11:00:00Z,108.887,108.927,108.84,108.913,108.6679725,108.5066688,108.7863557,108.7252909,108.6123862,108.7205668
2019-01-09T12:00:00Z,108.913,108.942,108.865,108.883,108.6750226,108.5141209,108.7925908,108.7321478,108.6195076,108.7375728
2019-01-09T13:00:00Z,108.883,108.884,108.724,108.748,108.6774153,108.5187521,108.789714,108.7328371,108.622889,109.004
2019-01-09T14:00:00Z,108.748,108.756,108.417,108.447,108.6698607,108.5173313,108.7676034,108.7204094,108.6182603,108.9984
2019-01-09T15:00:00Z,108.447,108.516,108.051,108.187,108.6540292,108.5107901,108.7301451,108.6972177,108.6069114,108.975144
2019-01-09T16:00:00Z,108.187,108.418,108.173,108.391,108.6454053,108.508418,108.7082648,108.6839038,108.6012295,108.9196954
2019-01-09T17:00:00Z,108.391,108.4,108.266,108.317,108.6346379,108.5046276,108.6830219,108.6679515,108.5937498,108.8675736
2019-01-09T18:00:00Z,108.317,108.328,108.213,108.269,108.6226498,108.4999617,108.6563108,108.6506058,108.5852037,108.8185792
2019-01-09T19:00:00Z,108.269,108.365,108.03,108.28,108.6114154,108.495606,108.6320327,108.6344925,108.5771721,108.7725245
2019-01-09T20:00:00Z,108.28,108.316,107.972,108.006,108.5915657,108.4859108,108.5916435,108.6071667,108.5621412,108.7131225
2019-01-09T21:00:00Z,108.006,108.167,108.002,108.166,108.5776127,108.479576,108.5641826,108.5879856,108.5517164,108.6390103
2019-01-09T22:00:00Z,108.166,108.171,108.103,108.156,108.5637893,108.4731685,108.5378483,108.5692036,108.5413029,108.5723092
2019-01-09T23:00:00Z,108.156,108.231,108.151,108.186,108.5514028,108.467482,108.5151484,108.5525426,108.5319528,108.5122783
2019-01-10T00:00:00Z,108.186,108.258,107.985,108.015,108.5338158,108.458522,108.4828807,108.5291711,108.5183488,108.4582505
2019-01-10T01:00:00Z,108.015,108.025,107.844,107.969,108.5152973,108.4488285,108.4497271,108.5048159,108.5038922,108.4096254
2019-01-10T02:00:00Z,107.969,108.001,107.868,107.974,108.4975498,108.4394259,108.4190351,108.4817369,108.4899477,108.3417504
2019-01-10T03:00:00Z,107.974,107.993,107.86,107.873,108.4770728,108.4282096,108.383807,108.4552701,108.4737122,108.2820203
2019-01-10T04:00:00Z,107.873,107.981,107.82,107.976,108.4606442,108.4192549,108.3574969,108.4344323,108.4606145,108.2294579
2019-01-10T05:00:00Z,107.976,107.985,107.874,107.909,108.4425575,108.4091509,108.3285616,108.4115874,108.4460984,108.1721338
2019-01-10T06:00:00Z,107.909,107.952,107.77,107.824,108.4222769,108.3975637,108.2960092,108.3860401,108.4297273,108.1228351
2019-01-10T07:00:00Z,107.824,107.936,107.821,107.921,108.4058416,108.3881268,108.2718151,108.365821,108.4163398,108.0663814
2019-01-10T08:00:00Z,107.921,108.051,107.824,108.042,108.3939124,108.3812728,108.2569883,108.3517418,108.4064887,107.77
2019-01-10T09:00:00Z,108.042,108.148,108.035,108.093,108.3840464,108.3755644,108.2464084,108.3404922,108.398239,107.77562
2019-01-10T10:00:00Z,108.093,108.227,108.092,108.131,108.3757498,108.3707216,108.2389627,108.3313838,108.3912064,107.7905152
2019-01-10T11:00:00Z,108.131,108.133,107.962,108.03,108.3644137,108.3639746,108.2254812,108.3182802,108.381701,107.8167043
2019-01-10T12:00:00Z,108.03,108.122,108.03,108.083,108.355187,108.3584108,108.2162889,108.3080506,108.3738404,107.841322
2019-01-10T13:00:00Z,108.083,108.198,108.052,108.192,108.3498366,108.3551155,108.2147219,108.3030049,108.3690552,107.8644627
2019-01-10T14:00:00Z,108.192,108.223,107.919,108.009,108.3386617,108.3482617,108.2014495,108.2902221,108.35958,107.8862149
2019-01-10T15:00:00Z,108.009,108.226,107.989,108.201,108.3341482,108.3453457,108.2014205,108.2863429,108.3554069,107.906662
2019-01-10T16:00:00Z,108.201,108.341,108.191,108.29,108.3327007,108.3442497,108.2071353,108.2865019,108.3536856,107.919
2019-01-10T17:00:00Z,108.29,108.435,108.226,108.391,108.3346121,108.3451755,108.2189975,108.2910453,108.3546676,107.95276
2019-01-10T18:00:00Z,108.391,108.442,108.202,108.344,108.3349199,108.3451522,108.2270622,108.2933477,108.3543869,108.000984
2019-01-10T19:00:00Z,108.344,108.459,108.341,108.417,108.3376111,108.3465749,108.2393163,108.2987238,108.3560346,108.0539059
2019-01-10T20:00:00Z,108.417,108.494,108.404,108.481,108.3423124,108.3492368,108.2549088,108.3066489,108.3593231,108.1106191
2019-01-10T21:00:00Z,108.481,108.519,108.42,108.428,108.3451218,108.3507965,108.2660759,108.311925,108.3611304,108.17196
2019-01-10T22:00:00Z,108.428,108.443,108.357,108.437,108.3481342,108.3525035,108.2771033,108.3173631,108.363127,108.2344272
2019-01-10T23:00:00Z,108.437,108.461,108.282,108.283,108.3459986,108.3511271,108.2774837,108.315869,108.3610184,108.519
2019-01-11T00:00:00Z,108.283,108.474,108.273,108.406,108.3479659,108.3522137,108.2857751,108.3197878,108.3622021,108.51426
2019-01-11T01:00:00Z,108.406,108.426,108.317,108.395,108.349508,108.353061,108.2928219,108.3230579,108.3630652,108.5046096
2019-01-11T02:00:00Z,108.395,108.403,108.25,108.309,108.3481799,108.3521885,108.2938656,108.3224466,108.3616425,108.4953452
2019-01-11T03:00:00Z,108.309,108.356,108.28,108.296,108.3464691,108.3510759,108.2940033,108.3212968,108.359915,108.4806245
2019-01-11T04:00:00Z,108.296,108.334,108.231,108.317,108.3455029,108.3504011,108.295487,108.32111,108.3587857,108.466787
2019-01-11T05:00:00Z,108.317,108.349,108.266,108.3,108.344011,108.349403,108.2957781,108.3201922,108.3572387,108.4479241
2019-01-11T06:00:00Z,108.3,108.41,108.268,108.375,108.345027,108.3499099,108.3008892,108.3225751,108.3577061,108.4305701
2019-01-11T07:00:00Z,108.375,108.432,108.325,108.329,108.3445015,108.3494959,108.3027028,108.3228544,108.3569507,108.231
