time,open,high,low,close,EMA30,EMA40,EMA60,EMA75,EMA100,ParabolicSAR
2014-02-03T14:00:00Z,1.63463,1.63667,1.62899,1.63108,1.647195592,1.648282119,1.64887147,1.648809002,1.64734672,1.645393323
2014-02-03T18:00:00Z,1.63108,1.63149,1.62932,1.63048,1.646117167,1.647413723,1.648268471,1.64832666,1.647012725,1.642440725
2014-02-03T22:00:00Z,1.63048,1.63175,1.63019,1.63054,1.645112188,1.646590615,1.64768721,1.64785859,1.646686532,1.640019595
2014-02-04T02:00:00Z,1.63054,1.63122,1.62824,1.62899,1.644072047,1.645732048,1.647074186,1.647362048,1.646336106,1.638034268
2014-02-04T06:00:00Z,1.62899,1.63417,1.62567,1.63311,1.643364818,1.645116338,1.646616344,1.646986994,1.646074203,1.636075414
2014-02-04T10:00:00Z,1.63311,1.63445,1.63019,1.63035,1.642525153,1.644396029,1.646083021,1.646549179,1.645762833,1.62567
2014-02-04T14:00:00Z,1.63035,1.63231,1.62906,1.63226,1.641862885,1.643804028,1.645629808,1.646173148,1.64549545,1.62567
2014-02-04T18:00:00Z,1.63226,1.63329,1.63162,1.63234,1.641248505,1.643244807,1.645194076,1.645809117,1.645234946,1.6258456
2014-02-04T22:00:00Z,1.63234,1.63401,1.63209,1.63337,1.640740214,1.642763109,1.644806402,1.645481772,1.644999996,1.626017688
2014-02-05T02:00:00Z,1.63337,1.63409,1.63214,1.63375,1.640289233,1.642323445,1.644443897,1.645173041,1.644777224,1.626186334
2014-02-05T06:00:00Z,1.63375,1.63411,1.62656,1.62713,1.63944025,1.641582301,1.643876228,1.644698225,1.644427774,1.626351608
2014-02-05T10:00:00Z,1.62713,1.62864,1.62519,1.62687,1.638629266,1.640864628,1.643318647,1.644229061,1.644080096,1.63445
2014-02-05T14:00:00Z,1.62687,1.63227,1.62633,1.63211,1.638208668,1.640437573,1.64295115,1.643910138,1.643843064,1.6342648
2014-02-05T18:00:00Z,1.63211,1.63324,1.63054,1.63083,1.637732625,1.639968911,1.642553735,1.643565924,1.64358538,1.634083304
2014-02-05T22:00:00Z,1.63083,1.63291,1.63006,1.63114,1.637307295,1.639538232,1.642179514,1.643238926,1.643338936,1.633905438
2014-02-06T02:00:00Z,1.63114,1.63177,1.62981,1.6301,1.636842308,1.639077831,1.641783465,1.642893165,1.643076779,1.633731129
2014-02-06T06:00:00Z,1.6301,1.63164,1.62865,1.62962,1.636376352,1.638616473,1.641384663,1.642543871,1.642810308,1.633560307
2014-02-06T10:00:00Z,1.62962,1.63159,1.62725,1.63022,1.635979168,1.638206889,1.641018608,1.642219559,1.642560995,1.6333929
2014-02-06T14:00:00Z,1.63022,1.63486,1.62915,1.63397,1.635849545,1.638000212,1.640787506,1.642002465,1.642390877,1.62519
2014-02-06T18:00:00Z,1.63397,1.63403,1.63183,1.632,1.635601187,1.637707518,1.640499391,1.641739242,1.642185117,1.6253834
2014-02-06T22:00:00Z,1.632,1.63259,1.63072,1.63208,1.635374014,1.637433005,1.640223346,1.641485052,1.641985015,1.625572932
2014-02-07T02:00:00Z,1.63208,1.63306,1.63198,1.63264,1.635197626,1.6371992,1.639974711,1.641252287,1.641799966,1.625758673
2014-02-07T06:00:00Z,1.63264,1.63585,1.63008,1.63411,1.635127456,1.637048508,1.639782426,1.641064332,1.641647689,1.6259407
2014-02-07T10:00:00Z,1.63411,1.63938,1.63247,1.63601,1.635184395,1.636997849,1.63965874,1.640931323,1.641536052,1.626337072
2014-02-07T14:00:00Z,1.63601,1.64009,1.63482,1.63925,1.635446692,1.63710771,1.639645338,1.640887078,1.641490783,1.627119648
