,status,open_time,open_price,high_setup,real_high,high_bar,low_setup,real_low,low_bar,DD_point,DD_bar,TP_get,TP_bar,TP_same,side,result,profit,prob
25,Buy loss,2020-03-27T12:30:00Z,77.859,77.829,77.829,69,77.149,77.149,63,77.05,36,78.196,0,78.196,Buy,loss,-1.189705882,-0.005150242
26,Sell win,2020-03-27T12:30:00Z,77.05,77.829,77.829,105,77.149,77.149,99,77.281,0,76.72876,3,78.196,Sell,win,0.472411765,0.002045073
27,Sell win,2020-03-30T00:30:00Z,76.508,77.393,76.917,11,76.644,76.644,20,76.999,13,76.475286,18,76.329,Sell,win,0.043676903,0.000189078
28,Sell loss,2020-04-02T13:00:00Z,75.175,76.108,76.108,13,75.258,75.258,36,76.428,3,74.7327,0,0,Sell,loss,-1.474117647,-0.006381462
29,Buy win,2020-04-02T14:30:00Z,76.428,76.108,76.108,16,75.258,75.258,39,75.822,0,76.6333,42,0,Buy,win,0.241529412,0.001045582
30,Buy win,2020-04-06T05:30:00Z,77.055,76.929,76.929,30,76.07,76.07,16,76.871,0,77.459862,3,0,Buy,win,0.471317811,0.002040337
31,Sell loss,2020-04-08T14:30:00Z,77.335,77.775,77.775,7,77.368,77.368,28,77.79,18,77.298,0,77.298,Sell,loss,-1.117936118,-0.00483955
32,Buy win,2020-04-08T23:30:00Z,77.79,77.775,77.775,25,77.368,77.368,46,77.308,24,77.823,27,77.823,Buy,win,0.081081081,0.000351
33,Sell win,2020-04-13T07:00:00Z,77.328,77.818,77.818,19,77.368,77.368,73,77.418,0,77.0899,14,0,Sell,win,0.529111111,0.002290524
34,Sell win,2020-04-14T15:00:00Z,76.989,77.693,77.693,22,77.069,77.069,50,77.269,11,76.958,21,76.958,Sell,win,0.049679487,0.000215063
35,Sell win,2020-04-16T14:00:00Z,75.977,77.226,76.782,83,76.066,76.066,33,77.081,15,75.977,121,75.977,Sell,win,0,0
36,Buy win,2020-04-22T07:30:00Z,76.074,76.019,76.019,25,75.608,75.608,6,75.916,0,76.272998,10,0,Buy,win,0.484180049,0.002096018
37,Buy win,2020-04-23T06:00:00Z,76.322,76.286,76.286,33,75.93,75.93,11,75.876,4,76.506008,15,0,Buy,win,0.516876404,0.00223756
38,Sell win,2020-04-24T14:00:00Z,76.231,76.852,76.63,46,76.304,76.304,12,76.397,0,76.102532,6,0,Sell,win,0.234430657,0.001014851
39,Sell loss,2020-04-27T13:00:00Z,76.125,76.416,76.416,23,76.131,76.131,29,76.417,13,76.125,0,76.125,Sell,loss,-1.024561404,-0.004435331
40,Buy win,2020-04-27T19:30:00Z,76.417,76.416,76.416,36,76.131,76.131,42,76.164,23,76.517,82,76.517,Buy,win,0.350877193,0.001518949
41,Sell win,2020-05-01T07:30:00Z,76.181,77.21,77.21,25,76.305,76.305,116,76.339,0,75.74571,15,0,Sell,win,0.480983425,0.002082179
