time,open,high,low,close,%K,%D,ATR
2020-01-03T02:00:00+07:00,0.69826,0.69835,0.69794,0.69817,17.06989247,23.8104144,0.001031429
2020-01-03T03:00:00+07:00,0.69817,0.69878,0.69805,0.69865,20.8311117,17.33046909,0.000964286
2020-01-03T04:00:00+07:00,0.69865,0.69922,0.6986,0.69916,47.19383833,28.3649475,0.000969286
2020-01-03T05:00:00+07:00,0.69916,0.69919,0.69807,0.69814,48.1010964,38.70868215,0.000997857
2020-01-03T06:00:00+07:00,0.69814,0.69865,0.69802,0.69833,47.23806265,47.51099913,0.000972143
2020-01-03T07:00:00+07:00,0.69833,0.69854,0.69786,0.69834,27.12928922,40.82281609,0.000961429
2020-01-03T08:00:00+07:00,0.69834,0.69866,0.69732,0.69736,22.62271027,32.33002071,0.000956429
2020-01-03T09:00:00+07:00,0.69736,0.69773,0.69658,0.69681,15.40388045,21.71862664,0.000969286
2020-01-03T10:00:00+07:00,0.69681,0.69701,0.69625,0.69682,11.52299199,16.51652757,0.000955714
2020-01-03T11:00:00+07:00,0.69682,0.69716,0.69647,0.6965,14.27905227,13.73530824,0.000936429
2020-01-03T12:00:00+07:00,0.6965,0.69668,0.6958,0.69603,14.02228477,13.27477634,0.000872857
2020-01-03T13:00:00+07:00,0.69603,0.69629,0.69578,0.69619,13.14701435,13.81611713,0.000751429
2020-01-03T14:00:00+07:00,0.69619,0.6964,0.69522,0.69541,12.9538045,13.37436787,0.000793571
2020-01-03T15:00:00+07:00,0.69541,0.69592,0.695,0.69507,11.35339873,12.48473919,0.00083
2020-01-03T16:00:00+07:00,0.69507,0.69511,0.6936,0.69368,5.21065259,9.839285275,0.000908571
2020-01-03T17:00:00+07:00,0.69368,0.69403,0.69348,0.69367,4.114997551,6.893016292,0.000895714
2020-01-03T18:00:00+07:00,0.69367,0.69371,0.69303,0.69323,5.012990004,4.779546715,0.0009
2020-01-03T19:00:00+07:00,0.69323,0.69488,0.69311,0.6947,23.40901151,10.84566636,0.000946429
2020-01-03T20:00:00+07:00,0.6947,0.69555,0.69453,0.69453,41.08133158,23.1677777,0.000974286
2020-01-03T21:00:00+07:00,0.69453,0.69543,0.69438,0.69478,62.25124037,42.24719449,0.001000714
2020-01-03T22:00:00+07:00,0.69478,0.69626,0.69475,0.69553,68.78921159,57.37392785,0.001012857
2020-01-03T23:00:00+07:00,0.69553,0.69654,0.69535,0.69616,78.58836935,69.87627377,0.001015714
2020-01-04T00:00:00+07:00,0.69616,0.69643,0.69614,0.69631,85.22417182,77.53391759,0.000982143
2020-01-04T01:00:00+07:00,0.69631,0.69631,0.69547,0.69565,79.02314365,80.94522827,0.000992857
2020-01-04T02:00:00+07:00,0.69565,0.69585,0.6953,0.69584,69.68066763,77.97599437,0.000969286
2020-01-04T03:00:00+07:00,0.69584,0.69586,0.69524,0.69536,42.97364009,63.89248379,0.000977143
2020-01-04T04:00:00+07:00,0.69536,0.69546,0.69444,0.69448,24.04489141,45.56639971,0.000965714
2020-01-06T05:00:00+07:00,0.6941,0.69425,0.69349,0.6936,5.047176234,24.02190258,0.000970714
2020-01-06T06:00:00+07:00,0.6936,0.69448,0.69324,0.69435,16.09239056,15.06148607,0.000951429
2020-01-06T07:00:00+07:00,0.69435,0.69559,0.69431,0.69527,41.24934582,20.79630421,0.001003571
2020-01-06T08:00:00+07:00,0.69527,0.69541,0.6936,0.69401,50.87109523,36.07094387,0.001084286
2020-01-06T09:00:00+07:00,0.69401,0.69482,0.69395,0.69463,56.46526988,49.52857031,0.00102
2020-01-06T10:00:00+07:00,0.69463,0.69486,0.69402,0.69419,44.11347518,50.4832801,0.001007143
2020-01-06T11:00:00+07:00,0.69419,0.69455,0.69402,0.69446,47.5968495,49.39186485,0.00097
2020-01-06T12:00:00+07:00,0.69446,0.69455,0.69369,0.69371,29.90632013,40.5388816,0.000923571
2020-01-06T13:00:00+07:00,0.69371,0.69398,0.69329,0.69393,30.01925323,35.84080762,0.000887857
2020-01-06T14:00:00+07:00,0.69393,0.69482,0.6939,0.69456,42.57779967,34.16779101,0.000932857
2020-01-06T15:00:00+07:00,0.69456,0.6951,0.69386,0.69456,63.94059894,45.51255061,0.000961429
2020-01-06T16:00:00+07:00,0.69456,0.6956,0.69456,0.69553,82.67572086,63.06470649,0.000996429
2020-01-06T17:00:00+07:00,0.69553,0.69576,0.69522,0.6953,82.83732035,76.48454671,0.000990714
2020-01-06T18:00:00+07:00,0.6953,0.69531,0.69461,0.69473,74.71189629,80.07497917,0.000967857
2020-01-06T19:00:00+07:00,0.69473,0.69543,0.69465,0.69492,60.9851552,72.84479061,0.000952857
2020-01-06T20:00:00+07:00,0.69492,0.69501,0.69424,0.69443,38.02631579,57.90778909,0.000919286
2020-01-06T21:00:00+07:00,0.69443,0.69451,0.69254,0.69277,25.14411028,41.38519375,0.000968571
2020-01-06T22:00:00+07:00,0.69277,0.69369,0.6926,0.69333,15.65949909,26.27664172,0.000917143
2020-01-06T23:00:00+07:00,0.69333,0.6936,0.69287,0.69311,18.06722689,19.62361209,0.000907143
2020-01-07T00:00:00+07:00,0.69311,0.69354,0.69305,0.69352,28.91164563,20.8794572,0.000882143
2020-01-07T01:00:00+07:00,0.69352,0.69387,0.69336,0.69354,36.72023936,27.89970396,0.000880714
2020-01-07T02:00:00+07:00,0.69354,0.69359,0.69316,0.69338,50.61828584,38.75005694,0.00085
2020-01-07T03:00:00+07:00,0.69338,0.69404,0.69336,0.69402,70.15644748,52.49832423,0.000849286
2020-01-07T04:00:00+07:00,0.69402,0.69417,0.69383,0.69395,80.02168799,66.93214044,0.000807857
2020-01-07T05:00:00+07:00,0.69395,0.69424,0.69356,0.69386,81.15418532,77.1107736,0.000767857
2020-01-07T06:00:00+07:00,0.69386,0.69391,0.69332,0.69368,64.44003527,75.20530286,0.000735714
2020-01-07T07:00:00+07:00,0.69368,0.69392,0.69268,0.69287,41.71415005,62.43612355,0.000785714
2020-01-07T08:00:00+07:00,0.69287,0.69366,0.69285,0.69322,31.64767331,45.93395288,0.000793571
2020-01-07T09:00:00+07:00,0.69322,0.69347,0.69277,0.69306,23.71794872,32.35992403,0.000787857
2020-01-07T10:00:00+07:00,0.69306,0.69385,0.69297,0.69364,45.46457127,33.61006443,0.000795714
2020-01-07T11:00:00+07:00,0.69364,0.69364,0.69267,0.69275,36.05944307,35.08065435,0.000724286
2020-01-07T12:00:00+07:00,0.69275,0.69314,0.6912,0.69126,28.69450193,36.73950542,0.000785
2020-01-07T13:00:00+07:00,0.69126,0.69195,0.69049,0.69133,11.22138365,25.32510955,0.000837143
2020-01-07T14:00:00+07:00,0.69133,0.69177,0.68984,0.69004,10.75056071,16.88881543,0.00094
2020-01-07T15:00:00+07:00,0.69004,0.69127,0.68996,0.69058,16.48707179,12.81967205,0.000997143
2020-01-07T16:00:00+07:00,0.69058,0.69085,0.68896,0.68928,10.70557259,12.64773503,0.001101429
2020-01-07T17:00:00+07:00,0.68928,0.68937,0.68772,0.68793,10.69790854,12.63018431,0.001170714
2020-01-07T18:00:00+07:00,0.68793,0.68803,0.68703,0.68763,8.426089749,9.943190292,0.001217857
2020-01-07T19:00:00+07:00,0.68763,0.68835,0.68753,0.6876,10.35538769,9.826461993,0.001227857
2020-01-07T20:00:00+07:00,0.6876,0.68794,0.6865,0.68666,9.926594998,9.56935748,0.001288571
2020-01-07T21:00:00+07:00,0.68666,0.68696,0.68636,0.6866,8.364993024,9.548991905,0.001242857
2020-01-07T22:00:00+07:00,0.6866,0.68727,0.68617,0.68685,14.28141447,10.8576675,0.001263571
2020-01-07T23:00:00+07:00,0.68685,0.68711,0.68601,0.68602,13.19781097,11.94807282,0.001292143
2020-01-08T00:00:00+07:00,0.68602,0.6869,0.68591,0.68683,25.64673601,17.70865381,0.0013
2020-01-08T01:00:00+07:00,0.68683,0.68712,0.6867,0.6867,34.61192759,24.48549152,0.001260714
2020-01-08T02:00:00+07:00,0.6867,0.68691,0.68648,0.68688,58.24398725,39.50088362,0.001152857
2020-01-08T03:00:00+07:00,0.68688,0.68704,0.68671,0.68679,67.37967914,53.41186466,0.001072143
2020-01-08T04:00:00+07:00,0.68679,0.68695,0.68615,0.6869,75.28966132,66.97110924,0.000991429
2020-01-08T05:00:00+07:00,0.6869,0.68705,0.68651,0.68678,73.16463605,71.94465884,0.000936429
2020-01-08T06:00:00+07:00,0.68678,0.68684,0.685,0.68596,64.53196791,70.99542176,0.000932857
2020-01-08T07:00:00+07:00,0.68596,0.68646,0.68501,0.68592,52.21859023,63.30506473,0.000918571
2020-01-08T08:00:00+07:00,0.68592,0.68729,0.68569,0.68653,52.83984805,56.53013539,0.000961429
2020-01-08T09:00:00+07:00,0.68653,0.68839,0.68645,0.68766,63.38545085,56.14796304,0.001041429
2020-01-08T10:00:00+07:00,0.68766,0.68808,0.68663,0.68715,69.56671089,61.93066993,0.001042143
2020-01-08T11:00:00+07:00,0.68715,0.68758,0.68673,0.68697,66.6253571,66.52583961,0.00106
2020-01-08T12:00:00+07:00,0.68697,0.68726,0.68675,0.68696,56.14901054,64.11369284,0.001017857
2020-01-08T13:00:00+07:00,0.68696,0.68758,0.68693,0.68706,45.48950056,56.08795607,0.000985714
2020-01-08T14:00:00+07:00,0.68706,0.68855,0.68703,0.68818,53.06983422,51.56944844,0.001023571
2020-01-08T15:00:00+07:00,0.68818,0.68847,0.68725,0.68756,52.59228708,50.38387396,0.001080714
2020-01-08T16:00:00+07:00,0.68756,0.68777,0.68704,0.68723,51.00007631,52.22073254,0.001102143
2020-01-08T17:00:00+07:00,0.68723,0.68734,0.68641,0.68671,28.76325129,44.11853823,0.001145
2020-01-08T18:00:00+07:00,0.68671,0.68718,0.68671,0.68709,24.1536864,34.63900467,0.001121429
2020-01-08T19:00:00+07:00,0.68709,0.68729,0.68588,0.68626,20.1554024,24.35744669,0.001183571
2020-01-08T20:00:00+07:00,0.68626,0.68689,0.68578,0.68673,31.39540302,25.23483061,0.001131429
2020-01-08T21:00:00+07:00,0.68673,0.68681,0.6856,0.68577,24.06020769,25.20367104,0.001114286
2020-01-08T22:00:00+07:00,0.68577,0.68603,0.6849,0.6855,27.53780364,27.66447145,0.001080714
2020-01-08T23:00:00+07:00,0.6855,0.68738,0.68491,0.68696,39.31307786,30.3036964,0.001118571
2020-01-09T00:00:00+07:00,0.68696,0.68793,0.68696,0.6876,65.75934318,44.20340823,0.001084286
2020-01-09T01:00:00+07:00,0.6876,0.68766,0.68708,0.68715,82.14361759,62.40534621,0.001065
2020-01-09T02:00:00+07:00,0.68715,0.68731,0.6869,0.68715,79.20792079,75.70362719,0.001057857
2020-01-09T03:00:00+07:00,0.68715,0.68719,0.68649,0.68658,67.93762158,76.42971999,0.001061429
2020-01-09T04:00:00+07:00,0.68658,0.68723,0.68643,0.68652,45.18514633,64.11022957,0.00101
2020-01-09T05:00:00+07:00,0.68652,0.68713,0.68632,0.68652,25.40779546,46.17685446,0.000980714
2020-01-09T06:00:00+07:00,0.68652,0.68758,0.68628,0.68752,38.76999617,36.45431265,0.001021429
2020-01-09T07:00:00+07:00,0.68752,0.68788,0.68717,0.68733,58.64499617,40.94092927,0.001005714
2020-01-09T08:00:00+07:00,0.68733,0.68806,0.68687,0.68744,75.39271824,57.60257019,0.001057143
2020-01-09T09:00:00+07:00,0.68744,0.68765,0.68707,0.68744,65.32069288,66.45280243,0.000997857
2020-01-09T10:00:00+07:00,0.68744,0.6875,0.68694,0.68709,58.61423221,66.44254778,0.000958571
2020-01-09T11:00:00+07:00,0.68709,0.68729,0.68664,0.68722,50.50640924,58.14711145,0.000918571
2020-01-09T12:00:00+07:00,0.68722,0.68757,0.68709,0.68752,49.4408398,52.85382708,0.000872143
2020-01-09T13:00:00+07:00,0.68752,0.68767,0.68711,0.68759,65.01663704,54.98796203,0.000735714
2020-01-09T14:00:00+07:00,0.68759,0.68783,0.68732,0.68755,76.89180964,63.78309549,0.000702857
2020-01-09T15:00:00+07:00,0.68755,0.68755,0.68627,0.6863,56.87555829,66.26133499,0.000752857
2020-01-09T16:00:00+07:00,0.6863,0.68643,0.68544,0.68577,30.73373218,54.83370004,0.000794286
2020-01-09T17:00:00+07:00,0.68577,0.68632,0.68549,0.68627,16.81954726,34.80961258,0.000803571
2020-01-09T18:00:00+07:00,0.68627,0.68658,0.68578,0.68582,21.47838215,23.01055386,0.000803571
2020-01-09T19:00:00+07:00,0.68582,0.68675,0.68567,0.68609,27.14443409,21.81412117,0.000822857
2020-01-09T20:00:00+07:00,0.68609,0.68669,0.68588,0.68646,41.5226214,30.04847921,0.000787857
2020-01-09T21:00:00+07:00,0.68646,0.68647,0.68543,0.68617,54.90962956,41.19222835,0.000811429
2020-01-09T22:00:00+07:00,0.68617,0.68617,0.68509,0.68536,50.06275391,48.83166829,0.000803571
2020-01-09T23:00:00+07:00,0.68536,0.68563,0.68507,0.68559,34.42601575,46.46613307,0.000802143
2020-01-10T00:00:00+07:00,0.68559,0.68562,0.68503,0.68519,18.95199847,34.48025604,0.000804286
2020-01-10T01:00:00+07:00,0.68519,0.68548,0.68511,0.68525,18.62290432,24.00030618,0.000784286
2020-01-10T02:00:00+07:00,0.68525,0.68531,0.68509,0.68512,10.93702295,16.17064191,0.000765714
2020-01-10T03:00:00+07:00,0.68512,0.68557,0.6851,0.68555,36.61306043,22.05766256,0.000759286
2020-01-10T04:00:00+07:00,0.68555,0.68586,0.68549,0.68584,64.05058832,37.2002239,0.000749286
2020-01-10T05:00:00+07:00,0.68584,0.68584,0.68525,0.68531,70.94281889,57.20215588,0.0007
2020-01-10T06:00:00+07:00,0.68531,0.68565,0.68519,0.68533,52.4435404,62.47898254,0.000662143
2020-01-10T07:00:00+07:00,0.68533,0.68714,0.68509,0.68587,32.59634674,51.99423534,0.000749286
2020-01-10T08:00:00+07:00,0.68587,0.68643,0.68546,0.6855,29.73920389,38.25969701,0.000761429
2020-01-10T09:00:00+07:00,0.6855,0.68636,0.68535,0.6863,39.02439024,33.78664696,0.000756429
2020-01-10T10:00:00+07:00,0.6863,0.68696,0.68601,0.68695,56.58536585,41.78298666,0.000766429
2020-01-10T11:00:00+07:00,0.68695,0.6877,0.68685,0.68725,77.50490608,57.70488739,0.000752857
2020-01-10T12:00:00+07:00,0.68725,0.68798,0.68705,0.68788,89.89601555,74.66209583,0.000742143
2020-01-10T13:00:00+07:00,0.68788,0.68825,0.68779,0.68784,88.27280276,85.2245748,0.000735
2020-01-10T14:00:00+07:00,0.68784,0.68789,0.68718,0.68778,87.02588158,88.3982333,0.000743571
2020-01-10T15:00:00+07:00,0.68778,0.68778,0.68702,0.68727,64.95997537,80.0862199,0.000771429
2020-01-10T16:00:00+07:00,0.68727,0.68776,0.68702,0.68764,53.14145374,68.37577023,0.000808571
2020-01-10T17:00:00+07:00,0.68764,0.68776,0.68737,0.68773,46.04336043,54.71492985,0.000802857
2020-01-10T18:00:00+07:00,0.68773,0.68876,0.6876,0.68835,61.52228764,53.56903394,0.000859286
2020-01-10T19:00:00+07:00,0.68835,0.68835,0.6877,0.68775,58.70479394,55.42348067,0.000863571
2020-01-10T20:00:00+07:00,0.68775,0.68921,0.68734,0.68794,53.46664567,57.89790908,0.000964286
2020-01-10T21:00:00+07:00,0.68794,0.689,0.68765,0.68889,55.61695198,55.92946387,0.000914286
2020-01-10T22:00:00+07:00,0.68889,0.69072,0.68855,0.69056,73.38770171,60.82376646,0.001
2020-01-10T23:00:00+07:00,0.69056,0.69059,0.68945,0.69015,87.09668913,72.03378094,0.001009286
2020-01-11T00:00:00+07:00,0.69015,0.6911,0.68984,0.69058,88.19085988,82.89175024,0.001031429
2020-01-11T01:00:00+07:00,0.69058,0.69072,0.69033,0.69035,82.52239234,85.93664711,0.000998571
2020-01-11T02:00:00+07:00,0.69035,0.69102,0.69032,0.69095,86.1829098,85.632054,0.000982143
2020-01-11T03:00:00+07:00,0.69095,0.69096,0.69043,0.6906,80.69182877,83.13237697,0.000987143
2020-01-11T04:00:00+07:00,0.6906,0.69064,0.68978,0.68997,59.40285205,75.42586354,0.000997857
2020-01-13T05:00:00+07:00,0.6897,0.68999,0.68931,0.68963,34.26811979,58.12093354,0.000992143
2020-01-13T06:00:00+07:00,0.68963,0.69057,0.68963,0.68998,24.09622541,39.25573242,0.001006429
2020-01-13T07:00:00+07:00,0.68998,0.69045,0.68976,0.69038,40.91440723,33.09291748,0.001027857
2020-01-13T08:00:00+07:00,0.69038,0.69134,0.69028,0.69123,66.20368406,43.73810557,0.001020714
2020-01-13T09:00:00+07:00,0.69123,0.6915,0.6909,0.69148,86.17217454,64.43008861,0.001017143
2020-01-13T10:00:00+07:00,0.69148,0.69199,0.69142,0.69166,93.22832931,81.86806264,0.000924286
2020-01-13T11:00:00+07:00,0.69166,0.69176,0.69131,0.69132,85.01962136,88.14004174,0.00086
2020-01-13T12:00:00+07:00,0.69132,0.69187,0.69128,0.6917,79.67101393,85.9729882,0.000747143
2020-01-13T13:00:00+07:00,0.6917,0.69185,0.69131,0.69165,73.93447736,79.54170422,0.000704286
