status,Index,result,profit,prob
Buy,174,loss,-0.071,-1.30725E-05
Sell,175,loss,-0.078,-1.43954E-05
Buy,176,win,1.178,0.000216842
Sell,177,loss,-0.116,-2.05464E-05
Buy,178,loss,-0.122,-2.15291E-05
Sell,179,loss,-0.126,-2.2322E-05
Buy,180,win,0.039,6.88137E-06
Sell,181,win,0.195,3.43641E-05
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
